,DNASE1 (1773)
ACH-000004,-0.025069452261260398
ACH-000005,-0.20325976072094265
ACH-000007,0.006752186546520906
ACH-000009,0.07176063524508647
ACH-000011,-0.18259910197323706
ACH-000012,-0.15745329548597745
ACH-000013,-0.18780061662280575
ACH-000014,-0.008337677843701766
ACH-000015,-0.2352273544110421
ACH-000017,-0.07822553621283995
ACH-000018,0.01623585129219848
ACH-000019,0.014801527730841887
ACH-000021,-0.12240765334403655
ACH-000022,-0.047771002442823264
ACH-000025,-0.0035947101050326936
ACH-000028,-0.15164174528948188
ACH-000030,0.018277621555929543
ACH-000035,-0.09560631447428716
ACH-000036,-0.3000994867963221
ACH-000037,-0.1462569473004105
ACH-000039,-0.040175278107625854
ACH-000040,-0.28366106394858714
ACH-000041,-0.08393291857045929
ACH-000042,-0.13380390365829475
ACH-000045,-0.21879074386444186
ACH-000047,-0.2284697315946749
ACH-000052,0.13046763191177987
ACH-000053,-0.12037071278405068
ACH-000054,-0.09158006781057668
ACH-000055,-0.011081362994427572
ACH-000060,-0.08396656025071693
ACH-000067,-0.17748941350257816
ACH-000070,-0.10049630135799628
ACH-000075,-0.09214355611714008
ACH-000078,-0.029544771613550173
ACH-000082,-0.06071508069863867
ACH-000085,-0.08158256769750266
ACH-000086,-0.04403359718564506
ACH-000087,-0.11402053761718706
ACH-000092,-0.11203739789569038
ACH-000095,-0.17050655419837474
ACH-000097,-0.219822336992588
ACH-000098,-0.12914014001744895
ACH-000099,-0.10740263699432644
ACH-000108,-0.21949575282143727
ACH-000113,-0.14592269688502216
ACH-000116,-0.12845953681388653
ACH-000118,-0.1185208165102337
ACH-000120,-0.12325038371887888
ACH-000123,-0.07450517572796944
ACH-000127,-0.020619429355675917
ACH-000128,-0.019287606208274174
ACH-000132,-0.10360549543555468
ACH-000133,-0.0102859561965467
ACH-000137,-0.04017857229391919
ACH-000138,-0.2179728084576642
ACH-000142,-0.2197388360258574
ACH-000143,-0.15295176775459354
ACH-000146,-0.06348608483094803
ACH-000148,-0.08999980189539349
ACH-000150,-0.21537619279461925
ACH-000152,-0.08246579324383455
ACH-000153,0.184965136930292
ACH-000159,-0.10516525545744768
ACH-000160,0.04752287319648691
ACH-000163,-0.05094762978874925
ACH-000167,0.21402508129840514
ACH-000168,-0.031395283227229474
ACH-000169,-0.0112563921937549
ACH-000178,-0.09845123485174732
ACH-000183,-0.13351495758936827
ACH-000188,-0.05556037089231667
ACH-000189,-0.16399149157422813
ACH-000190,-0.07069222042140076
ACH-000198,-0.03216692532881337
ACH-000203,-0.2816013711448039
ACH-000204,-0.0037529627236949797
ACH-000206,0.07796971887732229
ACH-000207,-0.22350614426029172
ACH-000208,-0.015715061224126192
