,INTS3 (65123)
ACH-000004,-1.2990121462532436
ACH-000005,-1.014472769313238
ACH-000007,-0.956007818071312
ACH-000009,-1.1460684525909586
ACH-000011,-1.2836122095938964
ACH-000012,-0.9745688083300632
ACH-000013,-1.092945490671854
ACH-000014,-1.2232160801500915
ACH-000015,-1.2543900290419523
ACH-000017,-1.1144712843403777
ACH-000018,-1.240997104799736
ACH-000019,-1.0246741379668247
ACH-000021,-1.2269022516222412
ACH-000022,-1.2242498145962877
ACH-000025,-1.1020048618914182
ACH-000028,-1.2120911048793592
ACH-000030,-1.2796640936824522
ACH-000035,-1.247616387428938
ACH-000036,-1.2474724155938988
ACH-000037,-1.2368186517043478
ACH-000039,-1.3072530132849578
ACH-000040,-1.1995812184502566
ACH-000041,-1.3658076425158212
ACH-000042,-1.3280776154295912
ACH-000045,-1.2995063679756405
ACH-000047,-1.1880293284792194
ACH-000052,-1.2560948479385616
ACH-000053,-1.2503752290940295
ACH-000054,-1.028866341688191
ACH-000055,-1.2595240487399542
ACH-000060,-1.480621002025595
ACH-000067,-1.2682417491064533
ACH-000070,-1.309537403767152
ACH-000075,-0.982924184149071
ACH-000078,-1.0130678299624252
ACH-000082,-1.2715381592619497
ACH-000085,-1.3107602527622852
ACH-000086,-1.0559350947219974
ACH-000087,-1.3940489370464328
ACH-000092,-1.1992140637013209
ACH-000095,-1.1407847803715236
ACH-000097,-0.9712577707219462
ACH-000098,-1.0693667472523292
ACH-000099,-1.0375907680472514
ACH-000108,-1.3281663671165898
ACH-000113,-1.2476063120642136
ACH-000116,-1.248006878650492
ACH-000118,-1.336372348777927
ACH-000120,-1.0681154735903722
ACH-000123,-1.1568715984009468
ACH-000127,-1.2864575189351437
ACH-000128,-1.08016591479111
ACH-000132,-1.1742769831246591
ACH-000133,-1.0645503197127015
ACH-000137,-1.4316276559786592
ACH-000138,-1.090253361031146
ACH-000142,-1.0699910968482669
ACH-000143,-1.1800473079576197
ACH-000146,-1.257791339533372
ACH-000148,-1.4020373918322933
ACH-000150,-1.078645962686957
ACH-000152,-1.3714254428527148
ACH-000153,-1.7321182320581103
ACH-000159,-1.035812126336206
ACH-000160,-1.3899560660795616
ACH-000163,-1.2744311511980215
ACH-000167,-1.6784410084643069
ACH-000168,-1.0883177656104894
ACH-000169,-1.2469152810679138
ACH-000178,-1.1742233515715086
ACH-000183,-1.2336554005747935
ACH-000188,-1.2152370537456696
ACH-000189,-1.0367127888535541
ACH-000190,-1.0084676797992702
ACH-000198,-1.304062793228441
ACH-000203,-0.4381322234797002
ACH-000204,-1.0932186729105178
ACH-000206,-1.0672227945899788
ACH-000207,-1.0091197684969797
ACH-000208,-1.140225447601852
ACH-000210,-1.2967249054653238
ACH-000211,-1.2147188925697627
ACH-000215,-1.1206803409762005
ACH-000221,-1.3691573310999008
ACH-000222,-1.4080248046413304
ACH-000223,-1.2508073400185749
ACH-000226,-1.2449658873067486
ACH-000227,-0.9348909711980968
ACH-000228,-1.3438210510257438
ACH-000231,-1.1333569292403458
ACH-000232,-1.1289720131976315
ACH-000233,-1.0033338936398508
ACH-000234,-1.1427643521732471
ACH-000235,-1.0824504590154311
ACH-000237,-1.3172864160748845
ACH-000238,-1.016495575539494
ACH-000242,-1.6062760219393408
ACH-000243,-1.2897494346553606
ACH-000244,-1.4268902392463796
ACH-000246,-1.1475498365528751
ACH-000248,-1.19459012234649
ACH-000250,-1.0890383025147858
ACH-000251,-1.9338697440508568
ACH-000252,-0.9793485384337294
ACH-000253,-1.3516058835245837
ACH-000255,-1.2154496954917515
ACH-000256,-1.241274541758861
ACH-000257,-1.2718103666904959
ACH-000258,-1.0075284514331388
ACH-000259,-1.283251580088552
ACH-000260,-1.2288816189679967
ACH-000261,-1.1274706221846014
ACH-000262,-1.3532353836987103
ACH-000263,-1.1875546591755168
ACH-000264,-0.9982863372765112
ACH-000265,-1.3363475717573043
ACH-000266,-1.2852803788307332
ACH-000272,-1.1000590228462366
ACH-000274,-1.0926232710862491
ACH-000277,-1.17562541729061
ACH-000278,-1.1910594820334373
ACH-000279,-1.1432815349747498
ACH-000280,-1.177251293913778
ACH-000281,-1.074883548457592
ACH-000288,-1.0956420302837473
ACH-000291,-1.3742621857379305
ACH-000293,-1.710104596527843
ACH-000294,-1.4369566519561507
ACH-000295,-1.4127052919824097
ACH-000296,-0.9377132414774698
ACH-000302,-1.3102178803335944
ACH-000304,-1.7146430031844386
ACH-000307,-1.3004363509753707
ACH-000308,-1.2196520371334971
ACH-000310,-1.0197990873710705
ACH-000311,-1.1333413642475272
ACH-000312,-1.2197387501338386
ACH-000315,-1.061632912974874
ACH-000316,-1.0786642563112567
ACH-000317,-1.0516232368547735
ACH-000318,-1.3847961885313649
ACH-000319,-1.2493891047525354
ACH-000320,-1.2286459839720962
ACH-000322,-0.9313949306428336
ACH-000323,-1.2497439006813669
ACH-000324,-1.2694049574213706
ACH-000329,-1.1189013257489775
ACH-000330,-1.1955129118902563
ACH-000331,-1.2559739728498889
ACH-000332,-1.1798799272481857
ACH-000334,-1.3490381334089567
ACH-000335,-1.1270719735237045
ACH-000336,-1.309894314582133
ACH-000337,-0.7816359240694531
ACH-000338,-1.1047550710761402
ACH-000339,-1.1967406750240834
ACH-000341,-1.3681065310632392
ACH-000348,-1.1680795847792549
ACH-000350,-1.1211784640179834
ACH-000352,-1.3021862160686115
ACH-000356,-1.1148499648638004
ACH-000361,-1.3067268820493465
ACH-000362,-1.2581157929460742
ACH-000363,-1.276816394819495
ACH-000364,-1.1820921009370529
ACH-000365,-1.2206012994627808
ACH-000366,-1.13150056414029
ACH-000368,-1.396495626823156
ACH-000374,-1.325987366959695
ACH-000375,-0.9398783107957084
ACH-000376,-1.0977141242164616
ACH-000381,-1.3584086724796294
ACH-000383,-1.0974964798754947
ACH-000387,-1.2641921020681235
ACH-000389,-1.1825042358182924
