,RGR (5995)
ACH-000004,-0.017248028667914108
ACH-000005,-0.2530134633392226
ACH-000007,-0.14826507528918806
ACH-000009,-0.10150005979347722
ACH-000011,-0.032793917594045915
ACH-000012,-0.02465991842591134
ACH-000013,-0.03726088643383817
ACH-000014,-0.103771362785367
ACH-000015,-0.05044850455279203
ACH-000017,-0.1899023944435385
ACH-000018,-0.04507016697855005
ACH-000019,-0.23842093666696315
ACH-000021,-0.028618046759690787
ACH-000022,-0.025452716813474968
ACH-000025,0.009370834748890595
ACH-000028,-0.18004343902772976
ACH-000030,-0.3264810376327739
ACH-000035,0.018525360117087768
ACH-000036,-0.13520952823484514
ACH-000037,-0.20974595962279105
ACH-000039,-0.06315324121868468
ACH-000040,-0.2100252833430907
ACH-000041,-0.18882584348234985
ACH-000042,-0.15954850902800596
ACH-000045,-0.13430463217682287
ACH-000047,-0.04285406274531926
ACH-000052,-0.09660024446941608
ACH-000053,-0.18918083084320364
ACH-000054,0.004547424139688045
ACH-000055,0.09519171107591362
ACH-000060,-0.015246851179334452
ACH-000067,-0.018900723776934213
ACH-000070,-0.05131659526332314
ACH-000075,-0.3330903895854627
ACH-000078,-0.08131703040603105
ACH-000082,-0.0961172907182712
ACH-000085,0.06382503524737164
ACH-000086,-0.15184354888639395
ACH-000087,-0.08383513975543305
ACH-000092,-0.03267244000295482
ACH-000095,-0.08796658724289869
ACH-000097,-0.06341374713315401
ACH-000098,-0.06878687070368697
ACH-000099,-0.0032785819049433607
ACH-000108,-0.05326814738309884
ACH-000113,-0.08917794147255224
ACH-000116,-0.03336760105247316
ACH-000118,-0.08886412336351987
ACH-000120,0.11454037334734365
ACH-000123,-0.17178274337906088
ACH-000127,-0.0892067356947436
ACH-000128,-0.001425638664666791
ACH-000132,-0.018740578043127502
ACH-000133,-0.14419687663511005
ACH-000137,-0.2514002569236689
ACH-000138,0.0524167541867235
ACH-000142,-0.15310409037004455
ACH-000143,-0.1372897182023929
ACH-000146,-0.06680043600744105
ACH-000148,-0.20232475784959397
ACH-000150,-0.06183357591354063
ACH-000152,-0.29650386954047897
ACH-000153,-0.012288810208310257
ACH-000159,-0.14949803168087156
ACH-000160,-0.06420668030867024
ACH-000163,-0.12981561382392556
ACH-000167,0.09187948169147367
ACH-000168,-0.017371630213110504
ACH-000169,-0.22360426005676307
ACH-000178,-0.1394697744195198
ACH-000183,-0.04978613735316576
ACH-000188,-0.2272009437582981
ACH-000189,0.048442042994412064
ACH-000190,-0.08329874837734623
ACH-000198,-0.1530072697379583
ACH-000203,0.8734721436844867
ACH-000204,-0.20961637285770726
ACH-000206,-0.17885741096592234
ACH-000207,-0.03155640857205468
ACH-000208,-0.05313342704436235
ACH-000210,0.018746602666644782
ACH-000211,-0.044011130799265066
ACH-000215,0.005399987535281843
ACH-000221,-0.01804094541294029
ACH-000222,-0.015545854989589243
ACH-000223,-0.19210157367340944
ACH-000226,-0.16865358294970528
ACH-000227,-0.18154676486116006
ACH-000228,-0.21538547261869428
ACH-000231,-0.08095155338836625
ACH-000232,-0.23314289151734874
ACH-000233,-0.1486449832057998
ACH-000234,-0.17483256814850304
ACH-000235,0.025794856866579827
ACH-000237,-0.06580331302099977
ACH-000238,-0.20387241309034512
ACH-000242,0.5886818615026117
ACH-000243,-0.05226629149517839
ACH-000244,-0.04941530952437151
ACH-000246,-0.13088151930568254
ACH-000248,-0.038448771980074785
ACH-000250,-0.059233491561732486
ACH-000251,-0.043906882076904935
ACH-000252,-0.1428366566177048
ACH-000253,-0.0405332865685349
ACH-000255,0.049790568791368825
ACH-000256,-0.10608635510721393
ACH-000257,-0.06985574021106619
ACH-000258,0.1057741343411314
ACH-000259,-0.06564760712140366
ACH-000260,-0.1563830622531132
ACH-000261,-0.11069855623428768
ACH-000262,-0.3845382470568585
ACH-000263,-0.20143560107768774
ACH-000264,-0.117439235968421
ACH-000265,-0.07114767968447773
ACH-000266,0.002410232816277726
ACH-000272,-0.038644389287896166
ACH-000274,-0.013482814703060569
ACH-000277,0.02302549450564708
ACH-000278,-0.02101524480738393
ACH-000279,-0.15208544299930996
ACH-000280,-0.03680691274641858
ACH-000281,-0.02427038655251501
ACH-000288,0.06619797313315355
ACH-000291,-0.12293198265725636
ACH-000293,-0.17200231917942418
ACH-000294,0.07803880532749735
ACH-000295,-0.22597513929099686
ACH-000296,-0.2935679953691421
ACH-000302,-0.11531579477185575
ACH-000304,-0.009477661142142765
ACH-000307,-0.012386684173559677
ACH-000308,-0.09980189700323328
ACH-000310,0.017004993618774236
ACH-000311,-0.11790687682401843
ACH-000312,0.053302094512422994
ACH-000315,0.027919784273771658
