,OOSP2 (219990)
ACH-000004,-0.07334690490461784
ACH-000005,-0.01164400294031175
ACH-000007,0.0025219784998770627
ACH-000009,0.02582874440996662
ACH-000011,-0.07325949224081776
ACH-000012,-0.18307708305924053
ACH-000013,-0.04450161146641219
ACH-000014,-0.014825044721238188
ACH-000015,-0.08112446341166425
ACH-000017,-0.12511406872300065
ACH-000018,-0.2854870977609921
ACH-000019,0.05353783980297887
ACH-000021,-0.07378099160512205
ACH-000022,-0.14250173528979287
ACH-000025,0.039791500291504855
ACH-000028,-0.08440539570640185
ACH-000030,-0.09439172637357804
ACH-000035,-0.18422329755165756
ACH-000036,-0.14182167592638756
ACH-000037,-0.16507404024646066
ACH-000039,-0.07201488936349319
ACH-000040,-0.1944041503272752
ACH-000041,-0.032962948795697486
ACH-000042,-0.12545668855491154
ACH-000045,-0.0437338928478232
ACH-000047,0.02060805478171209
ACH-000052,-0.15472439258951995
ACH-000053,-0.12797783273509486
ACH-000054,-0.02127811838136812
ACH-000055,0.024356933712314552
ACH-000060,-0.0637199263243713
ACH-000067,0.07865607227529492
ACH-000070,-0.07983720292076944
ACH-000075,-0.3054240824478933
ACH-000078,-0.0050051994208024616
ACH-000082,-0.111400630169316
ACH-000085,-0.03839770660755052
ACH-000086,-0.14982995679303465
ACH-000087,0.04620827389254039
ACH-000092,-0.05274286091886223
ACH-000095,-0.022044821723014897
ACH-000097,-0.0389121946449397
ACH-000098,-0.10295066223003407
ACH-000099,-0.090698089000482
ACH-000108,-0.046993529238674066
ACH-000113,0.05371733721060153
ACH-000116,-0.18409209087180653
ACH-000118,-0.20962397823603493
ACH-000120,-0.07259598122248516
ACH-000123,-0.10358330216864946
ACH-000127,-0.09844839874110108
ACH-000128,-0.06717642342796948
ACH-000132,-0.06264777029384773
ACH-000133,-0.015388163950073116
ACH-000137,-0.039380056130374506
ACH-000138,-0.14437196323021814
ACH-000142,-0.27958066710026985
ACH-000143,-0.04106674436405302
ACH-000146,-0.02532305195036392
ACH-000148,-0.09234850131966102
ACH-000150,-0.3417100243889948
ACH-000152,-0.07200582876521408
ACH-000153,0.014345362642897966
ACH-000159,-0.12160537786492125
ACH-000160,-0.14332737262307438
ACH-000163,-0.22373064721956212
ACH-000167,-0.44997464645710616
ACH-000168,-0.2665569813624605
ACH-000169,0.046112080966186436
ACH-000178,-0.1443983765595541
ACH-000183,-0.1845900651316306
ACH-000188,-0.07764603404197551
ACH-000189,-0.07935797347362135
ACH-000190,0.023876655248233555
ACH-000198,-0.1196536614025593
ACH-000203,0.4251498070968238
ACH-000204,-0.15941591555103934
ACH-000206,0.006125932368452661
ACH-000207,-0.2778903625212892
ACH-000208,-0.2511120344201845
ACH-000210,-0.15040888472914002
ACH-000211,-0.0703808594809109
ACH-000215,-0.07618738119325713
ACH-000221,-0.0758895120274854
ACH-000222,-0.20232493326506384
ACH-000223,-0.1132906405591182
ACH-000226,-0.17441859581936933
ACH-000227,-0.12303222565061175
ACH-000228,-0.0723227039340369
ACH-000231,-0.05228847722474093
ACH-000232,-0.12352650859032376
ACH-000233,-0.0945723540736927
ACH-000234,-0.04753070609789471
ACH-000235,-0.08127547117918345
ACH-000237,-0.006716163114744483
ACH-000238,0.003364579618911428
ACH-000242,-0.5181915074235722
ACH-000243,-0.023764764412619124
ACH-000244,0.24783252534766914
ACH-000246,0.11153931683973124
ACH-000248,-0.1591730076682877
ACH-000250,-0.11942524018354005
ACH-000251,0.09434056021695654
ACH-000252,-0.18534863718644404
ACH-000253,-0.06657379154129944
ACH-000255,-0.08514474370142935
ACH-000256,-0.08211672485662762
ACH-000257,-0.0012542348009519622
ACH-000258,-0.1721828923638845
ACH-000259,-0.0009799808097587408
ACH-000260,-0.07780850865621597
ACH-000261,-0.18313161096349795
ACH-000262,0.02350324074648787
