,ADAT2 (134637)
ACH-000004,-0.7756144525138653
ACH-000005,-0.7314423625083585
ACH-000007,-0.7299600364601975
ACH-000009,-0.705147765770004
ACH-000011,-0.7676418608459896
ACH-000012,-0.9442596746423334
ACH-000013,-0.7385637586947638
ACH-000014,-0.7829813430237087
ACH-000015,-0.6521630705769816
ACH-000017,-0.18035018516130727
ACH-000018,-0.9460487006706771
ACH-000019,-0.4265225005785148
ACH-000021,-0.4699650482581919
ACH-000022,-0.4676492004983068
ACH-000025,-0.8207989841189292
ACH-000028,-0.3948525661727557
ACH-000030,-1.0344661481359565
ACH-000035,-0.7050826224388008
ACH-000036,-0.6438304680384876
ACH-000037,-0.624011540171186
ACH-000039,-0.699839456363485
ACH-000040,-0.5587295751900585
ACH-000041,-0.6431264623857211
ACH-000042,-0.7434907891079467
ACH-000045,-0.4944309503997017
ACH-000047,-0.5878598792817676
ACH-000052,-0.76045658792135
ACH-000053,-0.5360136800091073
ACH-000054,-0.4384879273583021
ACH-000055,-0.8459087984426962
ACH-000060,-0.7838041016069871
ACH-000067,-0.5833281798660599
ACH-000070,-0.5865502622474226
ACH-000075,-0.5717460183436083
ACH-000078,-0.30532668204463465
ACH-000082,-0.4960163344142443
ACH-000085,-0.8601668462494303
ACH-000086,-0.7692381866747756
ACH-000087,-0.5622840420565308
ACH-000092,-0.4645234043926054
ACH-000095,-0.2640494631621297
ACH-000097,-0.36717605224725797
ACH-000098,-0.9537179744163916
ACH-000099,-0.6376639862876923
ACH-000108,-0.5896111847357751
ACH-000113,-0.5093935018437328
ACH-000116,-0.785505953331206
ACH-000118,-0.6732270501094473
ACH-000120,-0.6481863109967639
ACH-000123,-0.4973911853200472
ACH-000127,-0.6233104919456525
ACH-000128,-0.6734637118997193
ACH-000132,-0.610725172984945
ACH-000133,-0.4584090159056417
ACH-000137,-0.7286935555879764
ACH-000138,-0.7267909602664772
ACH-000142,-0.8337909807918591
ACH-000143,-0.5725761723951021
ACH-000146,-0.3905454085348165
ACH-000148,-0.5550816926178737
ACH-000150,-0.637711774060918
ACH-000152,-0.35796203017426514
ACH-000153,-0.9245444637235448
ACH-000159,-0.5186551843052435
ACH-000160,-0.32670471952632474
ACH-000163,-0.6841652882210977
ACH-000167,-1.2122262921065672
ACH-000168,-0.4532580060385501
ACH-000169,-0.6944534632595875
ACH-000178,-0.7962852608505173
ACH-000183,-0.7662216160484494
ACH-000188,-0.8516772602125354
ACH-000189,-0.7709748103430016
ACH-000190,-0.8850514544285353
ACH-000198,-0.3870112004221874
ACH-000203,-0.23455231423040945
ACH-000204,-0.4246031332169619
ACH-000206,-0.5219342791293815
ACH-000207,-0.7251397313716926
ACH-000208,-0.6469321872458084
ACH-000210,-0.015409950338358144
ACH-000211,-0.6668560808251233
ACH-000215,-0.8090055928958404
ACH-000221,-0.5860326005968517
ACH-000222,-0.5336998601641121
ACH-000223,-0.4591998092171497
ACH-000226,-0.5149147624565419
ACH-000227,-0.6462377122976057
ACH-000228,-0.3537706665859995
ACH-000231,-0.7422660788183263
ACH-000232,-0.7230527417810728
ACH-000233,-0.5118210962336915
ACH-000234,-0.5801006876818159
ACH-000235,-0.5342135467369201
ACH-000237,-0.536082901601147
ACH-000238,-0.7512778449080811
ACH-000242,-0.6704568040479891
ACH-000243,-0.8102614533255388
ACH-000244,-0.43708555490216494
ACH-000246,-0.5320065655770339
ACH-000248,-0.4859843661047742
ACH-000250,-0.7439583787480499
ACH-000251,-1.0771338336291196
ACH-000252,-0.6177888648140281
ACH-000253,-0.5168989365628806
ACH-000255,-0.9326234130086094
ACH-000256,-0.5132355371973514
ACH-000257,-0.3934475526980655
ACH-000258,-0.4810367503773007
ACH-000259,-0.5351022159433002
ACH-000260,-0.9426787010521408
ACH-000261,-0.7168652137609018
ACH-000262,-0.4789602444112139
ACH-000263,-0.4955318258123444
ACH-000264,-0.5584646857791916
