,OXSM (54995)
ACH-000004,-0.07605550551790698
ACH-000005,-0.0612486076714384
ACH-000007,-0.15004761362639266
ACH-000009,-0.22193949527265308
ACH-000011,-0.17984027685455334
ACH-000012,-0.8196235263686679
ACH-000013,-0.14175131617922612
ACH-000014,-0.2730925900235302
ACH-000015,-0.21565351786865933
ACH-000017,-0.03734643078859395
ACH-000018,-0.14754133357618718
ACH-000019,-0.2374213535785687
ACH-000021,-0.1539108078526168
ACH-000022,-0.019638382113244705
ACH-000025,-0.5250845247569517
ACH-000028,-0.4825838997607638
ACH-000030,-0.03900030104979864
ACH-000035,-0.01611378683548136
ACH-000036,-0.06267530613423282
ACH-000037,-0.18611072691337813
ACH-000039,-0.22287419534982952
ACH-000040,-0.07116249296072069
ACH-000041,-0.11478686230848033
ACH-000042,-0.14854637600331302
ACH-000045,-0.2256561412730795
ACH-000047,-0.0643189049639389
ACH-000052,-0.40754791001187457
ACH-000053,0.09392687224609823
ACH-000054,-0.02932739083387452
ACH-000055,-0.3285150151312288
ACH-000060,-0.2495986142592721
ACH-000067,-0.27936150479369504
ACH-000070,-0.6780528482351738
ACH-000075,-0.2623349435899783
ACH-000078,0.030249306369004005
ACH-000082,-0.009491323083305695
ACH-000085,-0.009668516402114292
ACH-000086,-0.3001967918098222
ACH-000087,-0.18903914608255676
ACH-000092,-0.026735089645577168
ACH-000095,0.08123764628020358
ACH-000097,0.07798883308214552
ACH-000098,-0.2805553657064686
ACH-000099,-0.4582360136651106
ACH-000108,-0.2021598679501201
ACH-000113,-0.2724760758413172
ACH-000116,0.03268670457720994
ACH-000118,-0.6090568105534996
ACH-000120,-0.2004506517157427
ACH-000123,-0.043702757606516436
ACH-000127,-0.11749134501507448
ACH-000128,-0.10238147233125272
ACH-000132,-0.1123809949685769
ACH-000133,-0.2455908443637214
ACH-000137,-0.11660891368038133
ACH-000138,-0.34918130018136323
ACH-000142,-0.15105420304493722
ACH-000143,-0.23538068653248803
ACH-000146,0.014244965332204469
ACH-000148,-0.454507980194649
ACH-000150,-0.5743025961943807
ACH-000152,-0.18104208172356112
ACH-000153,-0.2107894492543544
ACH-000159,-0.12162254347669263
ACH-000160,-0.12453414822929655
ACH-000163,-0.6941011090033907
ACH-000167,0.06317858853159176
ACH-000168,0.04824815305967499
ACH-000169,-0.2982582041162409
ACH-000178,-0.03787793656909365
ACH-000183,-0.11899481826349813
ACH-000188,-0.18720635359994486
ACH-000189,-0.3430867061930067
ACH-000190,-0.5998903232241451
ACH-000198,-0.24675558474195336
ACH-000203,-0.2424853590709388
ACH-000204,-0.2141419087005483
ACH-000206,0.013201304857332438
ACH-000207,-0.3598455661985352
ACH-000208,-0.4221088251296942
ACH-000210,-0.15342955095679334
ACH-000211,-0.16906338991881972
ACH-000215,-0.3042243753665668
ACH-000221,-0.5764410582566576
ACH-000222,-0.25376129244296497
ACH-000223,-0.0806668421516918
ACH-000226,0.15726630430725935
ACH-000227,-0.19489578526726828
ACH-000228,-0.28620791730377354
ACH-000231,-0.6796783721724372
ACH-000232,-0.2670989197459151
ACH-000233,0.08625974728363156
ACH-000234,-0.18113346941829275
ACH-000235,-0.15119248620304054
ACH-000237,-0.28736756168672106
ACH-000238,-0.4475121916955228
ACH-000242,-0.027509584680749592
ACH-000243,-0.24231781654820225
ACH-000244,-0.3713085986648854
ACH-000246,-0.4802180781309704
ACH-000248,-0.10704381246363924
ACH-000250,0.13804057446676976
ACH-000251,-0.09017411716923514
ACH-000252,-0.09237273458966658
ACH-000253,-0.10120647107451664
ACH-000255,-0.13935227232074518
ACH-000256,-0.019736110984788547
ACH-000257,-0.3725599515440222
ACH-000258,-0.4207183034884731
ACH-000259,-0.09587884977544683
ACH-000260,-0.5506941743433766
ACH-000261,-0.055289347545135765
ACH-000262,-0.6150854808320194
ACH-000263,-0.1353131012588598
ACH-000264,-0.011388828089487666
ACH-000265,-0.7081767720722014
ACH-000266,-0.1035439581543695
ACH-000272,-0.2416656997440217
ACH-000274,-0.10971304833880233
ACH-000277,-0.011672545190291985
ACH-000278,-0.1616070664743264
ACH-000279,-0.3475108526444889
ACH-000280,-0.2037485089258504
ACH-000281,-0.3263888202942872
ACH-000288,-0.5331778171323164
ACH-000291,-0.221802850221988
ACH-000293,-0.061735145754828
ACH-000294,-0.5216581117754164
ACH-000295,-0.09687515390644212
ACH-000296,-0.3805740434786737
ACH-000302,-0.1420614040335193
ACH-000304,-0.07349216787830082
ACH-000307,-0.1977488668263928
ACH-000308,-0.03677068642375102
ACH-000310,-0.05512738597768355
ACH-000311,-0.06553047750360376
ACH-000312,-0.2118023496581357
ACH-000315,-0.2448901879029905
ACH-000316,-0.2663901233084619
ACH-000317,-0.5283780343879089
ACH-000318,-0.10093384588507882
ACH-000319,-0.3955328625894972
ACH-000320,-0.17271566068525462
ACH-000322,-0.0612130752757055
ACH-000323,-0.04583273232229438
ACH-000324,-0.12557474588978748
ACH-000329,-0.3535739757936445
ACH-000330,-0.05509908666887978
ACH-000331,-0.0459686795192257
ACH-000332,0.031068786618172507
ACH-000334,0.1959644385651326
ACH-000335,-0.8311906902046772
ACH-000336,0.10444650820435104
ACH-000337,-0.03064518701023668
ACH-000338,-0.20740769095258796
ACH-000339,-0.1870267836914505
ACH-000341,-0.27878996722246674
ACH-000348,-0.13317150855735346
ACH-000350,-0.1582899409775035
ACH-000352,-0.1123913288517338
ACH-000356,-0.19542009410653136
ACH-000361,-0.10209489575636144
ACH-000362,-0.01688908912992479
ACH-000363,0.047152679639263916
ACH-000364,-0.2724825096037624
ACH-000365,-0.470897849284755
ACH-000366,-0.21776407728253305
ACH-000368,-0.12681761043307066
ACH-000374,-0.01952892151969875
ACH-000375,-0.2768010680621594
ACH-000376,-0.2871778857391113
ACH-000381,-0.08613854609414187
ACH-000383,-0.032874539407358516
ACH-000387,-0.09993141772569
ACH-000389,-0.11289467499612164
ACH-000390,-0.14035534829181492
ACH-000393,-0.17360199401585996
ACH-000395,-0.1814610468154668
ACH-000396,-0.33852901316284273
ACH-000397,0.070752682665625
ACH-000401,-0.4748722152004298
ACH-000402,-0.7198273066760865
ACH-000403,-0.08144643617659983
ACH-000404,-0.2839581027466912
ACH-000406,-0.3848418963632051
ACH-000407,-0.25663772104130805
ACH-000408,-0.3681939615702661
ACH-000410,0.0072270744649612076
ACH-000411,-0.08571223809722442
ACH-000414,-0.0514078744088393
ACH-000415,-0.26871797318859225
ACH-000416,0.09525445465548933
ACH-000420,-0.16892328107058782
ACH-000421,-0.02749705798755595
ACH-000424,-0.2315654548333439
ACH-000425,-0.06762084935829689
ACH-000426,-0.0409858490471692
