,ARGFX (503582)
ACH-000004,-0.5544028763246424
ACH-000005,-0.6352479783003727
ACH-000007,-0.5321148949903669
ACH-000009,-0.5893042327417513
ACH-000011,-0.5498929535855982
ACH-000012,-0.5452564305827957
ACH-000013,-0.5149421748894797
ACH-000014,-0.6584145760034298
ACH-000015,-0.447208230331118
ACH-000017,-0.5335265346833513
ACH-000018,-0.5297955068726156
ACH-000019,-0.5491753042212957
ACH-000021,-0.4944850058906238
ACH-000022,-0.4227944803202632
ACH-000025,-0.4834433768517165
ACH-000028,-0.5103934196431696
ACH-000030,-0.5549902790241763
ACH-000035,-0.6051340221041402
ACH-000036,-0.3945544737576306
ACH-000037,-0.5505084550268395
ACH-000039,-0.6182025942987746
ACH-000040,-0.4642652804780549
ACH-000041,-0.5362008070880104
ACH-000042,-0.483577808648041
ACH-000045,-0.6217040232212165
ACH-000047,-0.5741151976000348
ACH-000052,-0.5210555088824952
ACH-000053,-0.5957741064516227
ACH-000054,-0.4863754213684096
ACH-000055,-0.7240082374714882
ACH-000060,-0.6281870198884141
ACH-000067,-0.5698938794566174
ACH-000070,-0.4534090782712933
ACH-000075,-0.5444963974341896
ACH-000078,-0.4638102976193534
ACH-000082,-0.5477738704863859
ACH-000085,-0.6416342432508485
ACH-000086,-0.474812390206185
ACH-000087,-0.3336974125500469
ACH-000092,-0.5391023588578554
ACH-000095,-0.5647595486140301
ACH-000097,-0.6498022541692714
ACH-000098,-0.3881962324505782
ACH-000099,-0.3898479926139972
ACH-000108,-0.2792308442079092
ACH-000113,-0.43103142916002185
ACH-000116,-0.5036577530646739
ACH-000118,-0.5659104801469123
ACH-000120,-0.4344849543443392
ACH-000123,-0.5160444974287822
ACH-000127,-0.4596006948284617
ACH-000128,-0.7234668815597349
ACH-000132,-0.5830973471230626
ACH-000133,-0.4656029547192986
ACH-000137,-0.335378249765344
ACH-000138,-0.5168347818593594
ACH-000142,-0.5504649049718562
ACH-000143,-0.4842572458659609
ACH-000146,-0.6630944554729932
ACH-000148,-0.5363294834501915
ACH-000150,-0.37117850877500497
ACH-000152,-0.6222790834540957
ACH-000153,-0.5309167770193538
ACH-000159,-0.4395639342111419
ACH-000160,-0.4253489895047482
ACH-000163,-0.5112001449070833
ACH-000167,-0.5734989229018149
ACH-000168,-0.5066961443537903
ACH-000169,-0.4542370711658042
ACH-000178,-0.4912125647192838
ACH-000183,-0.5514640735467051
ACH-000188,-0.5882456910149458
ACH-000189,-0.5150045324595064
ACH-000190,-0.4486518812745132
ACH-000198,-0.5054893651283895
ACH-000203,-0.8420814258666962
ACH-000204,-0.4782601886757896
ACH-000206,-0.6328707710138948
