,TOMM20 (9804)
ACH-000411,-0.7296169157915035
ACH-000414,-0.5103254946517721
ACH-000415,-0.7582398195434883
ACH-000416,-0.6088422340819472
ACH-000420,-0.4260954052408756
ACH-000421,-0.7758020534661281
ACH-000424,-0.8967850533555579
ACH-000425,-0.5973415034024716
ACH-000426,-0.681865533568503
ACH-000427,-0.7314138289680379
ACH-000433,-0.7994101978180025
ACH-000435,-0.7081667957367942
ACH-000436,-0.8699013951737647
ACH-000444,-0.7508553569581558
ACH-000445,-0.8991434161741206
ACH-000448,-0.6754625686604421
ACH-000450,-0.7522368243859987
ACH-000452,-0.7763739011583877
ACH-000454,-0.8857988823950246
ACH-000458,-0.8009942874830918
ACH-000459,-0.6517773833309036
ACH-000460,-0.6501969471612905
ACH-000461,-0.8740282550893783
ACH-000463,-0.7305448051489317
ACH-000464,-0.8128194174976067
ACH-000466,-0.8620983370209924
ACH-000467,-0.8648635590370729
ACH-000468,-0.6854440793117229
ACH-000469,-0.8660366465513178
ACH-000470,-0.7958989296549149
ACH-000471,-0.7878612206176905
ACH-000472,-0.7723863696501808
ACH-000473,-0.9658205910814712
ACH-000475,-0.6929345839401223
ACH-000476,-0.6318391007831584
ACH-000477,-0.7317555325776369
ACH-000479,-0.4781235849498204
ACH-000480,-0.7096113619305027
ACH-000481,-0.4885693333147626
ACH-000483,-0.581243272782794
ACH-000484,-0.6404003920480121
ACH-000485,-0.8698120757034546
ACH-000486,-0.8429473642414361
ACH-000487,-0.728259167755848
ACH-000488,-0.6517379864516324
ACH-000490,-1.0159693518561868
ACH-000491,-0.6942118153136079
ACH-000495,-0.6995077487167152
ACH-000496,-0.7200661979293174
ACH-000499,-0.9270898825900251
ACH-000500,-0.4711174794142036
ACH-000502,-0.8381172994465451
ACH-000503,-0.95650249916423
ACH-000505,-0.6504382951562752
ACH-000507,-1.0717793496772583
ACH-000510,-0.8926363635421395
ACH-000511,-0.8782574852598231
ACH-000512,-0.9794350640461876
ACH-000516,-0.6434597338947491
ACH-000517,-0.927411013540326
ACH-000518,-0.8373835547936451
ACH-000520,-0.6290981621672561
ACH-000521,-0.6179116746454767
ACH-000522,-1.124070997705353
ACH-000524,-0.7071546266495977
ACH-000527,-0.6469052082983398
ACH-000528,-0.7747587804515211
