,SKIV2L2 (23517)
ACH-000004,-1.2575918739403782
ACH-000005,-1.2452726214008327
ACH-000007,-0.9609820940677792
ACH-000009,-0.969267857150993
ACH-000011,-1.167945022805826
ACH-000012,-1.300635459053593
ACH-000013,-1.1600605846621763
ACH-000014,-1.1569205869373271
ACH-000015,-1.1293899671513297
ACH-000017,-1.0264857581269764
ACH-000018,-1.3745778225035874
ACH-000019,-0.8469842242317903
ACH-000021,-1.0788743888936485
ACH-000022,-1.0863780063812127
ACH-000025,-1.2304756236508487
ACH-000028,-1.2357331242937188
ACH-000030,-1.1169480048979064
ACH-000035,-1.2445588763365798
ACH-000036,-1.1175839978845543
ACH-000037,-1.203560811800645
ACH-000039,-1.1175121499218863
ACH-000040,-1.1373150599008792
ACH-000041,-0.8883764460756844
ACH-000042,-1.1432745741351078
ACH-000045,-1.039972689434903
ACH-000047,-1.4912501838007393
ACH-000052,-1.3654914629151875
ACH-000053,-1.2491725615365163
ACH-000054,-1.1691247940641445
ACH-000055,-1.0700733827601518
ACH-000060,-1.1508557729622448
ACH-000067,-1.0275455104446325
ACH-000070,-1.0172603311910149
ACH-000075,-1.1690274815034445
ACH-000078,-1.1390304944107177
ACH-000082,-1.2715868107535668
ACH-000085,-1.3881428637739197
ACH-000086,-1.1897866897024194
ACH-000087,-1.0093285876750089
ACH-000092,-1.0959268007496468
ACH-000095,-1.1002822009620696
ACH-000097,-0.8186221874697419
ACH-000098,-1.1583940613330177
ACH-000099,-1.1360863540919917
ACH-000108,-1.1053809622008537
ACH-000113,-1.0306338920526952
ACH-000116,-1.3919556662173378
ACH-000118,-0.9617392863385034
ACH-000120,-1.0464568613291574
ACH-000123,-1.1428957503425714
ACH-000127,-1.1399686274076135
ACH-000128,-1.0968042565275873
ACH-000132,-1.0848237042186433
ACH-000133,-0.9700114506680074
ACH-000137,-1.2535805800955253
ACH-000138,-1.0722589186972131
ACH-000142,-1.0738829464239132
ACH-000143,-1.1698145356906775
ACH-000146,-1.0509442803305993
ACH-000148,-1.1178880109906366
ACH-000150,-1.0763361897475494
ACH-000152,-0.9590254529240322
ACH-000153,-1.4827031849139785
ACH-000159,-1.2163947203299146
ACH-000160,-1.4847479356919122
ACH-000163,-0.9020744433374064
ACH-000167,-1.4757884961484546
ACH-000168,-1.2156830461523431
ACH-000169,-0.9493860103623024
ACH-000178,-1.0252132258356823
ACH-000183,-1.1954784466433863
ACH-000188,-1.1103603773005202
ACH-000189,-1.3489395964628237
ACH-000190,-1.1692493067321432
ACH-000198,-1.146803422249656
ACH-000203,-1.2623092558446969
ACH-000204,-0.9990203499037148
ACH-000206,-0.9540607969789148
ACH-000207,-0.991341570167284
ACH-000208,-1.171583014585135
ACH-000210,-1.1202769085695885
ACH-000211,-1.2138900780207251
ACH-000215,-1.1216064115797075
ACH-000221,-1.1212833060201302
ACH-000222,-1.063706495524812
ACH-000223,-1.284439070455956
ACH-000226,-1.0889612571556029
ACH-000227,-0.9268068945550552
ACH-000228,-1.1149560671848489
ACH-000231,-1.1052525266930175
ACH-000232,-1.094758963708942
ACH-000233,-0.992117827509816
ACH-000234,-1.0511410737932991
ACH-000235,-1.1255048748445895
ACH-000237,-1.3082586489700991
ACH-000238,-1.3210364599015476
ACH-000242,-1.148415910145507
ACH-000243,-1.19434823688635
ACH-000244,-1.1885020404351998
ACH-000246,-1.0740537728720734
ACH-000248,-1.1381429552343552
ACH-000250,-1.1796612515586995
ACH-000251,-1.3626761728804455
ACH-000252,-1.2332036993270636
ACH-000253,-1.3086763520097495
ACH-000255,-1.1510854990279875
ACH-000256,-1.2813177482001747
ACH-000257,-1.1816128265080097
ACH-000258,-1.2382687472821152
ACH-000259,-1.072558655791879
ACH-000260,-1.138217058897311
ACH-000261,-1.123464130618464
ACH-000262,-1.3238445306238251
ACH-000263,-0.7879790211807365
ACH-000264,-1.2410873840840717
ACH-000265,-0.9971464630738828
ACH-000266,-1.1463288859263685
ACH-000272,-1.1651948718211231
ACH-000274,-1.1056924890886184
ACH-000277,-0.8767944373009446
ACH-000278,-1.3618732079388578
ACH-000279,-1.2054126094680844
ACH-000280,-1.0381807834335424
ACH-000281,-0.9698036323546042
ACH-000288,-1.1174124039178568
ACH-000291,-1.0682534114818534
ACH-000293,-1.0586443963179617
ACH-000294,-1.0504662040789663
ACH-000295,-1.2627886271172355
ACH-000296,-0.9799691524793348
ACH-000302,-1.3442472058693165
ACH-000304,-1.150238927705605
ACH-000307,-1.2090137794132658
ACH-000308,-1.0467114183740662
ACH-000310,-1.2196404907077063
ACH-000311,-0.9190915380278768
ACH-000312,-1.072530148070263
ACH-000315,-1.0237127802567418
ACH-000316,-0.9766611862838712
ACH-000317,-1.152218584659431
ACH-000318,-1.0383016805899603
ACH-000319,-1.2180475205061083
ACH-000320,-1.3179997413645557
ACH-000322,-0.8280439035550908
ACH-000323,-0.7205320418766685
ACH-000324,-1.147335417031098
ACH-000329,-1.0719858363528283
ACH-000330,-1.0099586685225137
ACH-000331,-1.0969399469051528
ACH-000332,-0.9982731560910972
ACH-000334,-1.2153175232589195
ACH-000335,-1.0991946693525383
ACH-000336,-0.7688665629742515
ACH-000337,-1.360194165306896
ACH-000338,-1.0945431052520145
ACH-000339,-1.1022797978714225
ACH-000341,-0.8420424564004991
ACH-000348,-1.0725108111164106
ACH-000350,-1.1558063504434677
ACH-000352,-1.1168178188053723
ACH-000356,-1.0316523712356815
ACH-000361,-1.1540395781303985
ACH-000362,-1.0210648853345816
ACH-000363,-1.0660434715550098
ACH-000364,-1.2188754265276605
ACH-000365,-1.1073482003783313
ACH-000366,-1.021099934190106
ACH-000368,-1.0027838725254647
ACH-000374,-1.1904211666998945
ACH-000375,-1.2433466745660449
ACH-000376,-1.1527195736646945
ACH-000381,-1.060882460076512
ACH-000383,-1.14755021457213
ACH-000387,-0.9758510910399624
ACH-000389,-1.0762666513757717
ACH-000390,-1.2933679025978455
ACH-000393,-1.237078950944861
ACH-000395,-1.061282433551099
ACH-000396,-1.25877151371708
ACH-000397,-1.1066142397756462
ACH-000401,-1.151634599361728
ACH-000402,-1.1878499104684856
ACH-000403,-1.0627646000128759
ACH-000404,-0.96755816487581
ACH-000406,-1.055632903100132
ACH-000407,-1.225551242383453
ACH-000408,-1.4235977802483726
ACH-000410,-0.9471337248214228
ACH-000411,-0.9547903287258738
ACH-000414,-1.072226734547847
ACH-000415,-1.1855191100232332
ACH-000416,-1.2847052025839043
ACH-000420,-0.909796247232063
ACH-000421,-1.1342759092813504
ACH-000424,-0.9701893212030558
ACH-000425,-1.0214488777123052
ACH-000426,-0.8102175837927246
ACH-000427,-1.1230410813812584
ACH-000433,-1.067712574288717
ACH-000435,-1.3595150921941626
ACH-000436,-1.2637902043985358
ACH-000444,-0.9793506246646758
ACH-000445,-1.426541576037626
ACH-000448,-1.1518800258542805
ACH-000450,-0.8166494406846752
ACH-000452,-1.0900683167084244
ACH-000454,-1.164981507041612
ACH-000458,-1.0418136080835378
ACH-000459,-0.683595106326818
ACH-000460,-1.1046239893708507
ACH-000461,-1.1119009670085265
ACH-000463,-0.9753184787966231
ACH-000464,-1.1743742994734516
ACH-000466,-1.0840874187107756
ACH-000467,-1.0832350290721862
ACH-000468,-1.246586299450524
ACH-000469,-1.1621678040934775
ACH-000470,-1.283032165861195
ACH-000471,-1.183297196542133
ACH-000472,-1.2404009559677598
ACH-000473,-1.06304528242938
ACH-000475,-1.09543611110672
ACH-000476,-1.1481008227689682
ACH-000477,-0.9487620309734014
ACH-000479,-1.2740903252177225
ACH-000480,-1.1163804456123885
ACH-000481,-1.2925932974943701
ACH-000483,-1.0873081735744108
ACH-000484,-1.0987724485620818
ACH-000485,-1.2311511237935202
ACH-000486,-1.1097977818277207
ACH-000487,-1.0562498385669636
ACH-000488,-1.070184871946135
ACH-000490,-1.0965012807429444
ACH-000491,-1.0750204099304808
ACH-000495,-1.1328560166866621
ACH-000496,-1.2980873315100276
ACH-000499,-1.295601608448041
ACH-000500,-1.3308950555689631
ACH-000502,-1.0010660602962356
ACH-000503,-1.4265795785607764
ACH-000505,-1.0707946583272447
ACH-000507,-1.1730944777053414
ACH-000510,-1.1749419387940157
ACH-000511,-1.0128287749942075
ACH-000512,-0.9443727603768248
ACH-000516,-1.1371210979251936
ACH-000517,-1.2008650631484217
ACH-000518,-1.1622022842282371
ACH-000520,-0.9917499317440694
ACH-000521,-1.2934568029022568
ACH-000522,-1.1792874236667177
ACH-000524,-1.2361695870248242
ACH-000527,-1.0073269278195842
ACH-000528,-1.273454163047909
ACH-000537,-1.2159400842765835
ACH-000541,-0.9630694546560188
ACH-000542,-1.1479541004159175
ACH-000544,-1.1707650414922053
ACH-000545,-1.133995940470404
ACH-000547,-1.1560577878264953
ACH-000548,-1.3893800481803384
ACH-000549,-1.15210318952094
ACH-000550,-0.7845004560647197
ACH-000552,-1.1302281778895065
ACH-000556,-1.241275180039965
ACH-000557,-1.0493838573033911
ACH-000569,-0.8620186373540639
ACH-000570,-1.154878161096931
ACH-000571,-1.0214553847336496
ACH-000573,-1.038505923542847
ACH-000576,-0.9688434842470568
ACH-000579,-1.0282150833680452
ACH-000580,-1.0261027442531698
ACH-000584,-1.2377615203743328
ACH-000585,-1.2217000116363952
ACH-000588,-1.0943835372789268
ACH-000589,-1.0249570062839803
ACH-000591,-1.0785867929471462
ACH-000593,-1.2674058835416775
ACH-000600,-1.0241618768952887
ACH-000601,-1.0583289372418705
ACH-000605,-1.071933398108377
ACH-000606,-1.2526868458561675
ACH-000608,-1.0211093280757768
ACH-000614,-1.0296772900316715
ACH-000616,-1.107330584532607
ACH-000618,-1.330708290861806
ACH-000619,-1.1711842053024613
ACH-000620,-0.8828802898165663
ACH-000621,-1.1844760860278112
ACH-000622,-1.1555440224574915
ACH-000623,-1.100702009603194
ACH-000624,-1.188671925084229
ACH-000627,-1.1416584215429706
ACH-000630,-1.0983939877707178
ACH-000631,-1.118470816274671
ACH-000632,-1.116831183955282
ACH-000633,-1.005031292050305
ACH-000637,-0.9778539409098128
ACH-000638,-1.0989420984943483
ACH-000646,-1.0600323485187328
ACH-000647,-1.1711533985234008
ACH-000648,-1.1987241487618048
ACH-000649,-1.22229923015827
ACH-000651,-1.0810584052982322
ACH-000652,-1.1776108573860486
ACH-000653,-1.1015515767557524
ACH-000657,-1.1454053762591598
ACH-000658,-0.9312523517458076
ACH-000661,-0.9055728141952816
ACH-000662,-1.1352116749762586
ACH-000663,-1.2213186773490494
ACH-000665,-1.2377501319777051
ACH-000671,-0.8818127301013716
ACH-000672,-0.6549840193761735
ACH-000673,-1.095077032506496
ACH-000676,-1.088385041797871
ACH-000677,-0.9075763753103702
ACH-000681,-0.999975397695121
ACH-000683,-0.8766784919505908
ACH-000684,-1.1733644749490248
ACH-000688,-1.1496530306558732
ACH-000693,-1.166858264614939
ACH-000694,-1.4783083491212066
ACH-000695,-1.1610934468856422
ACH-000696,-1.2180191170048178
ACH-000697,-1.1121514109246242
ACH-000699,-1.1211193251614793
ACH-000701,-1.099553077145789
