,TSFM (10102)
ACH-000004,-0.3517915748048205
ACH-000005,-0.8858159298230849
ACH-000007,-0.5948441755915178
ACH-000009,-0.5707321644467608
ACH-000011,-0.4330231854702144
ACH-000012,-0.5830009161780981
ACH-000013,-0.6542288155391236
ACH-000014,-0.4372091796331677
ACH-000015,-0.5581341161121948
ACH-000017,-0.5328807613954472
ACH-000018,-0.840333516719874
ACH-000019,-0.7292160785648294
ACH-000021,-0.5503015462097186
ACH-000022,-0.506840898548769
ACH-000025,-0.6913834163387309
ACH-000028,-0.6011540346988687
ACH-000030,-0.5212544984292063
ACH-000035,-0.6541723909858106
ACH-000036,-0.4775965919346951
ACH-000037,-0.8418982954560129
ACH-000039,-0.5674787337690347
ACH-000040,-0.5184814487735612
ACH-000041,-0.6536300348847802
ACH-000042,-0.4638642452323881
ACH-000045,-0.7867371004963548
ACH-000047,-0.51846342142195
ACH-000052,-0.5921269014048871
ACH-000053,-0.5543535615986174
ACH-000054,-0.4329849013001447
ACH-000055,-0.3895055766559599
ACH-000060,-0.5127642880932894
ACH-000067,-0.6233151236811709
ACH-000070,-0.6490567248228513
ACH-000075,-0.7017331122723628
ACH-000078,-0.5717927338904409
ACH-000082,-0.5170965184443276
ACH-000085,-0.4914323082514785
ACH-000086,-0.7004429048341879
ACH-000087,-0.4189991064755017
ACH-000092,-0.4700464738703479
ACH-000095,-0.4112275634987835
ACH-000097,-0.5515452602351719
ACH-000098,-0.4113152542863998
ACH-000099,-0.4198444991692245
ACH-000108,-0.4704896262355943
ACH-000113,-0.5132564133442769
ACH-000116,-0.4782914827121969
ACH-000118,-0.7001943924046369
ACH-000120,-0.5841778143233739
ACH-000123,-0.5181464222564168
ACH-000127,-0.5574792900450161
ACH-000128,-0.8125126746386365
ACH-000132,-0.5400259719253192
ACH-000133,-0.6790365360913798
ACH-000137,-0.8098725329324465
ACH-000138,-0.5745598518216191
ACH-000142,-0.6836473210400693
ACH-000143,-0.6784638594080532
ACH-000146,-0.5563503490632147
ACH-000148,-0.7072093386877738
ACH-000150,-0.5853513478518091
ACH-000152,-0.6544192502610713
ACH-000153,-0.677342221960691
ACH-000159,-0.5935509876853907
ACH-000160,-0.6605201265349228
ACH-000163,-0.4981871622664549
ACH-000167,-0.6588742964319045
ACH-000168,-0.698944808524656
ACH-000169,-0.655909885293829
ACH-000178,-0.6084522322268466
ACH-000183,-0.4428111764451497
ACH-000188,-0.5081577020336804
ACH-000189,-0.6466749484397409
ACH-000190,-0.6410859998766608
ACH-000198,-0.5455782410420098
ACH-000203,-0.3514608828100254
ACH-000204,-0.453342355810032
ACH-000206,-0.758844083402125
ACH-000207,-0.5411413085612017
ACH-000208,-0.4892795634058184
ACH-000210,-0.596791106699933
ACH-000211,-0.5823101980506412
ACH-000215,-0.6593298730793123
ACH-000221,-0.5951218756172091
ACH-000222,-0.3353915616381964
ACH-000223,-0.5412131573767319
ACH-000226,-0.52265836826338
ACH-000227,-0.5686467902974731
ACH-000228,-0.6876555662107462
ACH-000231,-0.5639534812372473
ACH-000232,-0.6247081532484328
ACH-000233,-0.4702412392868847
ACH-000234,-0.6602232571011774
ACH-000235,-0.5035228045268921
ACH-000237,-0.5273885125433531
ACH-000238,-0.4940348472438778
ACH-000242,-0.4169346437950172
ACH-000243,-0.670270441520966
ACH-000244,-0.7003089676362366
ACH-000246,-0.6889466092163029
ACH-000248,-0.5147178194752111
ACH-000250,-0.40548106178972987
ACH-000251,-0.7089894039784598
ACH-000252,-0.4971350823071979
ACH-000253,-0.6039699296676116
ACH-000255,-0.5109845299117295
ACH-000256,-0.5892597593254854
ACH-000257,-0.34114937522420674
ACH-000258,-0.46869867497376294
ACH-000259,-0.6756532409322745
ACH-000260,-0.4972397178445788
ACH-000261,-0.6064630852343508
ACH-000262,-0.3371778702326096
