,EPSTI1 (94240)
ACH-000004,-0.3198119410492549
ACH-000005,-0.19121259419151812
ACH-000007,-0.17158746364753572
ACH-000009,-0.29598210443834205
ACH-000011,-0.4339069512318812
ACH-000012,-0.3319336772774167
ACH-000013,-0.2717264751776509
ACH-000014,-0.2126678128783492
ACH-000015,-0.27236466395006537
ACH-000017,-0.22847656271755976
ACH-000018,-0.129080895355164
ACH-000019,-0.10584706709069748
ACH-000021,-0.26560998540169595
ACH-000022,-0.19873511454570444
ACH-000025,-0.2595984054199553
ACH-000028,-0.21255172456601215
ACH-000030,-0.3270310082591798
ACH-000035,-0.2492401869548122
ACH-000036,-0.29331102823163596
ACH-000037,-0.2342715150465624
ACH-000039,-0.3265991619147046
ACH-000040,-0.16439788988138268
ACH-000041,-0.2626579914172861
ACH-000042,-0.2732521752561873
ACH-000045,-0.17725153959292153
ACH-000047,-0.18264766894558135
ACH-000052,-0.2896687982643036
ACH-000053,-0.17509265465294122
ACH-000054,-0.4076775479702796
ACH-000055,-0.16309759029207238
ACH-000060,-0.2422481946932421
ACH-000067,-0.25339336333173457
ACH-000070,-0.3476763804345595
ACH-000075,-0.16984954729958338
ACH-000078,-0.4821675215118216
ACH-000082,-0.3753388456053008
ACH-000085,-0.2839499636103928
ACH-000086,-0.371701613519998
ACH-000087,0.02143366190365456
ACH-000092,-0.31582489243321393
ACH-000095,-0.1240111439341736
ACH-000097,-0.2410667801274224
ACH-000098,-0.14479680555299518
ACH-000099,-0.3124000310934817
ACH-000108,-0.2578285216661829
ACH-000113,-0.3385921969436661
ACH-000116,-0.2446087829394123
ACH-000118,-0.22082478755573254
ACH-000120,-0.3956834648868237
ACH-000123,-0.180469491059617
ACH-000127,-0.3557016970626816
ACH-000128,-0.325175229864949
ACH-000132,-0.2945851730553641
ACH-000133,-0.3507482514874379
ACH-000137,-0.24526305647218136
ACH-000138,-0.10002917217203657
ACH-000142,-0.14764113222031272
ACH-000143,-0.3004221368752641
ACH-000146,-0.3040172699964832
ACH-000148,-0.395550615169451
ACH-000150,-0.1682871863979904
ACH-000152,-0.26250075436059106
ACH-000153,-0.3242976574422564
ACH-000159,-0.2720837113645999
ACH-000160,-0.2159840582105189
ACH-000163,-0.37487280625839897
ACH-000167,-0.3433848878486569
ACH-000168,-0.10703949769342967
ACH-000169,-0.351920082531722
ACH-000178,-0.33990425966882903
ACH-000183,-0.2984683690801618
ACH-000188,-0.19447668132505475
ACH-000189,-0.526826418566621
ACH-000190,-0.3456857578202925
ACH-000198,-0.21699063074701244
ACH-000203,0.07976903048482517
ACH-000204,-0.23578448136327654
ACH-000206,-0.15962989948645626
ACH-000207,-0.35251617408696506
ACH-000208,-0.20553606284624928
ACH-000210,0.07125031525841066
ACH-000211,-0.22791427884561535
ACH-000215,-0.2324602030703173
ACH-000221,-0.0934158290994497
ACH-000222,-0.21311216841017888
ACH-000223,-0.3098867751540149
ACH-000226,-0.18675581197657512
ACH-000227,-0.5572940995457415
ACH-000228,-0.33840668348665576
ACH-000231,-0.26805866274429524
ACH-000232,-0.3212651616430741
ACH-000233,-0.13300708578217266
ACH-000234,-0.1608950660135487
ACH-000235,-0.19223618526510244
ACH-000237,-0.22164216964536929
ACH-000238,-0.2589576199756716
ACH-000242,-0.24105696567413126
ACH-000243,-0.2453143036510955
ACH-000244,-0.2720729342935923
ACH-000246,-0.3120303170677607
ACH-000248,-0.11878832578880588
ACH-000250,-0.2713376797016557
ACH-000251,-0.4677252083810804
ACH-000252,-0.4293108778967341
ACH-000253,-0.22162025823635784
ACH-000255,-0.2861664068387209
ACH-000256,-0.2602256069841807
ACH-000257,-0.04670435924520098
ACH-000258,-0.2792523474927803
ACH-000259,-0.2452205047123228
ACH-000260,-0.15549624118300814
ACH-000261,-0.28817442367318385
ACH-000262,-0.3632128791868336
ACH-000263,-0.1932109879618393
ACH-000264,-0.3899144753976779
ACH-000265,-0.34364581246052395
ACH-000266,-0.29009854610582864
ACH-000272,-0.1480703865494735
ACH-000274,-0.4465305351771044
ACH-000277,-0.1150763044051448
ACH-000278,-0.5145823220592772
ACH-000279,-0.19746798211325356
ACH-000280,-0.20415263444187606
ACH-000281,0.05113109488432845
ACH-000288,-0.3799596024259516
ACH-000291,-0.2904316852036437
ACH-000293,-0.24164138526085405
ACH-000294,-0.24820498240368924
ACH-000295,-0.1906229354056745
ACH-000296,-0.3054641199509206
ACH-000302,-0.2831067554136902
ACH-000304,-0.6629884774053347
ACH-000307,-0.23327244964437094
ACH-000308,-0.2851368866080083
ACH-000310,-0.36847038711091057
ACH-000311,-0.3346761625498509
ACH-000312,-0.3008099295608514
ACH-000315,-0.17281782698360865
ACH-000316,-0.20132485039114165
ACH-000317,-0.4859313274780123
ACH-000318,-0.2336619142501733
ACH-000319,-0.15012783041061972
ACH-000320,-0.4808502970965068
ACH-000322,-0.157973210121249
ACH-000323,-0.2549338629793759
ACH-000324,-0.20047362356484824
ACH-000329,-0.17792466781884397
ACH-000330,-0.21906382206297315
ACH-000331,-0.2742888271195232
ACH-000332,-0.3055300390403549
ACH-000334,-0.4401285907039913
