,NIPA1 (123606)
ACH-000004,0.15248144739894254
ACH-000005,0.1058592454772717
ACH-000007,0.004652095584807466
ACH-000009,0.013488536485593554
ACH-000011,0.03881027956922045
ACH-000012,0.09320403027859918
ACH-000013,0.20080698829037452
ACH-000014,0.12907000023368756
ACH-000015,0.02658569773817469
ACH-000017,0.11570831570814265
ACH-000018,0.01634341223604342
ACH-000019,0.09546248896152372
ACH-000021,0.14028814403707265
ACH-000022,0.004301430396919532
ACH-000025,-0.07944582428883172
ACH-000028,0.11173006508197918
ACH-000030,0.14356143791957546
ACH-000035,0.07424709005521789
ACH-000036,0.13384509161023514
ACH-000037,-0.05866323882511066
ACH-000039,0.2836902438973021
ACH-000040,0.18943272223990693
ACH-000041,0.1768523266890572
ACH-000042,0.046716970176999606
ACH-000045,0.020342298619165818
ACH-000047,-0.027017467056302542
ACH-000052,0.006473692891024043
ACH-000053,0.013691482494689005
ACH-000054,0.20911463709826555
ACH-000055,0.022803103385591845
ACH-000060,0.15709799252521064
ACH-000067,0.07453898538114732
ACH-000070,0.07215712988585372
ACH-000075,0.06584240465616323
ACH-000078,0.2729666132573934
ACH-000082,0.04981402597717219
ACH-000085,0.14434980086403648
ACH-000086,0.07595399852390068
ACH-000087,0.03934850811376375
ACH-000092,0.022101656415306675
ACH-000095,0.12209795909225052
ACH-000097,-0.0069275378273261435
ACH-000098,0.15547881146300507
ACH-000099,0.08584566232845346
ACH-000108,0.1347440299911895
ACH-000113,0.07033176753733604
ACH-000116,0.002842200568814365
ACH-000118,0.14352550227011568
ACH-000120,0.12023253666761463
ACH-000123,0.05114654490535316
ACH-000127,0.04240427342378431
ACH-000128,0.041898626406993135
ACH-000132,0.007209586535656924
ACH-000133,0.044240980542686735
ACH-000137,-0.0041940151957487095
ACH-000138,0.1383404113205889
ACH-000142,0.10466049924029563
ACH-000143,0.15759821569880553
ACH-000146,0.08065727491736199
ACH-000148,0.1297141895116104
ACH-000150,0.2394378515076358
ACH-000152,0.1693637528556617
ACH-000153,0.26942977117234623
ACH-000159,0.11216523823613657
ACH-000160,0.04397897012331815
ACH-000163,0.20083605108036998
ACH-000167,0.13360470496639834
ACH-000168,0.10729275035925068
ACH-000169,0.08365459117229661
ACH-000178,0.07890814155545897
ACH-000183,0.0498573556634875
ACH-000188,0.1183256550781974
ACH-000189,-0.045526524646075706
ACH-000190,-0.07703857553078189
