,ASF1B (55723)
ACH-000004,-0.500687688650109
ACH-000005,-0.2718508850425707
ACH-000007,-0.17822296743412935
ACH-000009,-0.32940429859110915
ACH-000011,-0.2926433146044339
ACH-000012,-0.4755834850781153
ACH-000013,-0.4473601237391992
ACH-000014,-0.3161607935005133
ACH-000015,-0.5123069140647529
ACH-000017,-0.5118665288417756
ACH-000018,-0.4674171660821415
ACH-000019,-0.5185280565256775
ACH-000021,-0.3836555086708682
ACH-000022,-0.5861918966342103
ACH-000025,-0.5401041935911439
ACH-000028,-0.5930752144198629
ACH-000030,-0.4074264422542785
ACH-000035,-0.7609395112822163
ACH-000036,-0.3506943140902035
ACH-000037,-0.2884499631748181
ACH-000039,-0.4866130293710344
ACH-000040,-0.5053805240389064
ACH-000041,-0.2384619403432295
ACH-000042,-0.3339749051192579
ACH-000045,-0.26881976249180994
ACH-000047,-0.35628615284193715
ACH-000052,-0.3902464145403965
ACH-000053,-0.3777496781793806
ACH-000054,-0.4404542334192457
ACH-000055,-0.4558141981535323
ACH-000060,-0.5610365243699833
ACH-000067,-0.41599344413266337
ACH-000070,-0.6991540307510119
ACH-000075,-0.424085213593312
ACH-000078,-0.4824744196007631
ACH-000082,-0.2991553175635412
ACH-000085,-0.6885950773708692
ACH-000086,-0.7994725912957411
ACH-000087,-0.25174616728566473
ACH-000092,-0.27625512276389114
ACH-000095,-0.4028357422175969
ACH-000097,-1.26883097826043
ACH-000098,-0.4694636171726616
ACH-000099,-0.5051303202045168
ACH-000108,-0.2756792773266052
ACH-000113,-0.2864526505092456
ACH-000116,-0.5263273932140017
ACH-000118,-0.4717578879925586
ACH-000120,-0.3633028737911576
ACH-000123,-0.4064621619414017
ACH-000127,-0.4003845968640921
ACH-000128,-0.4469305848997453
ACH-000132,-0.31934435673497924
ACH-000133,-0.5145367505258711
ACH-000137,-0.5454635384034535
ACH-000138,-0.446640549235506
ACH-000142,-0.4053554220679803
ACH-000143,-0.5101311600334569
ACH-000146,-0.4180646848948786
ACH-000148,-0.3114879354698732
ACH-000150,-0.3507636835957829
ACH-000152,-0.323535378507265
ACH-000153,-0.3892065004036217
ACH-000159,-0.4008081763864101
ACH-000160,-0.15493676966062508
ACH-000163,-0.6880750259373896
ACH-000167,-0.2649920722101959
ACH-000168,-0.20512604995345896
ACH-000169,-0.4773050345801572
ACH-000178,-0.4257747732318768
ACH-000183,-0.5140464301046352
ACH-000188,-0.6174906759465301
ACH-000189,-0.5311545833594158
ACH-000190,-0.258340891532525
ACH-000198,-0.3106204682343379
ACH-000203,-0.4300152522275371
ACH-000204,-0.4948044393522746
ACH-000206,-0.2659913153188437
ACH-000207,-0.3408118850727362
ACH-000208,-0.4393799032844921
ACH-000210,-0.14108775655977354
ACH-000211,-0.4674653099279308
ACH-000215,-0.4740105434667548
ACH-000221,-0.34782468036333297
ACH-000222,-0.4987380151679268
ACH-000223,-0.4844646832644833
ACH-000226,-0.13871119988860758
ACH-000227,-0.15542087199789878
ACH-000228,-0.4335009024653895
ACH-000231,-0.3314036934501786
ACH-000232,-0.3370585048769315
ACH-000233,-0.4498049093192389
ACH-000234,-0.471523831358066
ACH-000235,-0.3212554949193022
ACH-000237,-0.4283208689829765
ACH-000238,-0.4111956158827831
ACH-000242,-0.4772114378737341
ACH-000243,-0.5121232491884254
ACH-000244,-0.5096689824884791
ACH-000246,-0.31232475247857044
ACH-000248,-0.3273023862587929
ACH-000250,-0.4182169190893578
ACH-000251,-0.6910115984150689
ACH-000252,-0.3557277397418145
ACH-000253,-0.31984387257214336
ACH-000255,-0.39159950480964795
ACH-000256,-0.29317005276328884
ACH-000257,-0.20127083670866625
ACH-000258,-0.6263963782437016
ACH-000259,-0.2463950353682687
ACH-000260,-0.587172477412466
ACH-000261,-0.4153784322025174
ACH-000262,-0.4348630944788955
ACH-000263,-0.07444423867010076
ACH-000264,-0.28839667491368065
ACH-000265,-0.3613018449389222
ACH-000266,-0.2403724577086644
ACH-000272,-0.4032359529532464
ACH-000274,-0.4402711467629588
ACH-000277,-0.3637658556000176
ACH-000278,-0.6751603788125868
ACH-000279,-0.10018972301839152
ACH-000280,-0.2655108331434442
ACH-000281,-0.7091234709141663
ACH-000288,-0.14150393575519976
ACH-000291,-0.4179919071550253
ACH-000293,-0.3742699354258366
ACH-000294,-0.2870237828366768
ACH-000295,-0.218775130517887
ACH-000296,-0.3461991547074994
ACH-000302,-0.4627895749832333
ACH-000304,-0.2523611153062394
ACH-000307,-0.4555705869452236
ACH-000308,-0.24945553804307535
ACH-000310,-0.4424061113000451
ACH-000311,-0.25382575415888703
ACH-000312,-0.3778340752863987
ACH-000315,-0.2310556373500269
ACH-000316,-0.19882951296592646
ACH-000317,-0.2289422146168989
ACH-000318,-0.5081445899336073
ACH-000319,-0.6044959457630547
ACH-000320,-0.3699446927639575
ACH-000322,-0.46275378881129203
ACH-000323,-0.3807965933304651
ACH-000324,-0.28751304487141177
ACH-000329,-0.38153670240350696
ACH-000330,-0.26365744224768684
ACH-000331,-0.4544638764333448
ACH-000332,-0.3538341365179201
ACH-000334,-0.367896542265188
ACH-000335,-0.2744668136673262
ACH-000336,-0.6528522892272424
ACH-000337,-0.7118010951865446
ACH-000338,-0.14484144528767767
ACH-000339,-0.4319208119728921
ACH-000341,-0.3464995670529157
ACH-000348,-0.3744429640676627
ACH-000350,-0.6097949381809703
ACH-000352,-0.5579203777413128
ACH-000356,-0.4089103939607983
ACH-000361,-0.5306608231817
ACH-000362,-0.3241813385348124
ACH-000363,-0.4548223978593083
ACH-000364,-0.5609825285159505
ACH-000365,-0.2316043582394967
ACH-000366,-0.3963078475116415
ACH-000368,-0.4330581115645009
ACH-000374,-0.5349367295621583
ACH-000375,-0.17898401574876754
ACH-000376,-0.17846818590112568
ACH-000381,-0.3389855495819955
ACH-000383,-0.3237871907084452
ACH-000387,-0.2453951337419497
ACH-000389,-0.4194506139313836
ACH-000390,-0.6293788415881193
ACH-000393,-0.5008795708522354
ACH-000395,-0.2908379285419589
ACH-000396,-0.4566115284471074
ACH-000397,-0.2565997679024426
ACH-000401,-0.3499604993760679
ACH-000402,-0.7611059334081863
ACH-000403,-0.4578380964769098
ACH-000404,-0.1863028851713548
ACH-000406,-0.2738785975141921
ACH-000407,-0.2820199914031557
ACH-000408,-0.4636749831096315
ACH-000410,-0.5158857163102039
ACH-000411,-0.36037103706211104
ACH-000414,-0.1771871062016718
ACH-000415,-0.3939216883768588
ACH-000416,-0.4665178225001965
ACH-000420,-0.4787488613832851
ACH-000421,-0.7382191509139931
ACH-000424,-0.3658006595493135
ACH-000425,-0.2534734082060125
ACH-000426,-0.4754887196063325
ACH-000427,-0.4089576348744566
ACH-000433,-0.5016540268290296
ACH-000435,-0.5896169827666075
ACH-000436,-0.6647299859970579
ACH-000444,-0.29761907114344466
ACH-000445,-0.27995788605346744
ACH-000448,-0.3120643740932634
ACH-000450,-0.39906454195154334
ACH-000452,-0.3533039147037954
ACH-000454,-0.7153305592823167
ACH-000458,-0.5603375540842808
ACH-000459,-0.2453287575589307
ACH-000460,-0.4032737085108165
ACH-000461,-0.5573606794703277
ACH-000463,-0.3675315038126283
ACH-000464,-0.3424985735082484
ACH-000466,-0.4918442990780089
ACH-000467,-0.4424990133979936
ACH-000468,-0.2704274422543517
ACH-000469,-0.3912145862061544
ACH-000470,-0.42377161144869946
ACH-000471,-0.3433982321882278
ACH-000472,-0.3558856762299715
ACH-000473,-0.3101620672438112
ACH-000475,-0.39995280173218695
ACH-000476,-0.3585753501400327
ACH-000477,-0.6414791265009676
ACH-000479,-0.6175008147245951
ACH-000480,-0.42142010428594256
ACH-000481,-0.30091877544492995
ACH-000483,-0.3164615297044193
ACH-000484,-0.16926810001119338
ACH-000485,-0.5500970303775797
ACH-000486,-0.201594053864173
ACH-000487,-0.3879061574313498
ACH-000488,-0.4903507334503563
ACH-000490,-0.402364643459924
ACH-000491,-0.19207080548207467
ACH-000495,-0.31814927800929543
ACH-000496,-0.27745235121844103
ACH-000499,-0.26036692209349355
ACH-000500,-0.30718461942411085
ACH-000502,-0.4074538132244268
ACH-000503,-0.3917092848020672
ACH-000505,-0.5050954445615914
ACH-000507,-0.6455785867800079
ACH-000510,-0.3919021581290011
ACH-000511,-0.4816070345800036
ACH-000512,-0.3095873006204397
ACH-000516,-0.6820191295384861
ACH-000517,-0.8882504233574475
ACH-000518,-0.31383311043199585
ACH-000520,-0.4747765468465794
ACH-000521,-0.3778817486722046
ACH-000522,-0.36543463703856427
ACH-000524,-0.38323021026154097
ACH-000527,-0.4256652866331869
ACH-000528,-0.3738462652190228
ACH-000537,-0.5052255249086303
ACH-000541,-0.6156533952951981
ACH-000542,-0.2345245275128945
ACH-000544,-0.16066138732955434
ACH-000545,-0.5137519329842826
ACH-000547,-0.4478785326808981
ACH-000548,-0.5041676472881085
ACH-000549,-0.4044708031446978
ACH-000550,-0.3126434408921192
ACH-000552,-0.3527820016779922
ACH-000556,-0.6370134512622697
ACH-000557,-0.3169942933165355
ACH-000569,-0.5160532394230714
ACH-000570,-0.30060992018003224
ACH-000571,-0.4406662079765224
ACH-000573,-0.2599263741586934
ACH-000576,-0.2713133461859472
ACH-000579,-0.37663363144810463
ACH-000580,-0.09907906936083334
ACH-000584,-0.363807804403041
ACH-000585,-0.73040088297948
ACH-000588,-0.2411216489696311
ACH-000589,-0.4238808186015117
ACH-000591,-0.5448382182167543
ACH-000593,-0.2385752242607616
ACH-000600,-0.478983548172091
ACH-000601,-0.4676277879951786
ACH-000605,-0.4698270564456229
ACH-000606,-0.5467385709591139
ACH-000608,-0.4662978998191418
ACH-000614,-0.19989131176464264
ACH-000616,-0.3306914868698845
ACH-000618,-0.5351999951970362
ACH-000619,-0.6357294839343477
ACH-000620,-0.4360673742983848
ACH-000621,-0.6683185380862874
ACH-000622,-0.4242992784730199
ACH-000623,-0.3286950113721589
ACH-000624,-0.4841890998123118
ACH-000627,-0.3890285664071142
ACH-000630,-0.2952237250759345
ACH-000631,-0.3919767125076066
ACH-000632,-0.5651594718649904
ACH-000633,-0.4312432082753772
ACH-000637,-0.7442796596565547
ACH-000638,-0.5064619123299335
ACH-000646,-0.5760584597212489
ACH-000647,-0.3258905268963484
ACH-000648,-0.2909210381376157
ACH-000649,-0.2529288378869605
ACH-000651,-0.3035676329623961
ACH-000652,-0.3724795418271941
