,GAK (2580)
ACH-000004,-0.049464008520585474
ACH-000005,-0.4276267736858499
ACH-000007,-0.2809794289043254
ACH-000009,-0.4850010015027243
ACH-000011,-0.7401180882735515
ACH-000012,-0.509110164815925
ACH-000013,-0.2046424459484556
ACH-000014,-0.18788324877517296
ACH-000015,-0.6110818048946712
ACH-000017,-0.2278593402914008
ACH-000018,-0.5736649647758525
ACH-000019,-0.34909139524377153
ACH-000021,-0.5700257383766445
ACH-000022,-0.4020325316332712
ACH-000025,-0.28052942101156625
ACH-000028,-0.35095890897225235
ACH-000030,-0.5016399169486075
ACH-000035,-0.3217834867293209
ACH-000036,-0.4783904040076618
ACH-000037,-0.6112359044058345
ACH-000039,-0.4801546250006888
ACH-000040,-0.6937156244721737
ACH-000041,-0.20400805218663465
ACH-000042,-0.5767948390202248
ACH-000045,-0.5390256762899444
ACH-000047,-0.4787312538945621
ACH-000052,-0.39768753764514175
ACH-000053,-0.4660249435467395
ACH-000054,-0.20534219890590805
ACH-000055,-0.6289371436048836
ACH-000060,-0.3837319262835593
ACH-000067,-0.3267557803950611
ACH-000070,-0.6954423741730367
ACH-000075,-0.3495981893446112
ACH-000078,-0.3348596238612696
ACH-000082,-0.4657891227941826
ACH-000085,-0.7581918930584197
ACH-000086,-0.2159893228544417
ACH-000087,-0.18314678395460712
ACH-000092,-0.20149371198478566
ACH-000095,-0.5571496403850231
ACH-000097,-0.3323635596849144
ACH-000098,0.016010281404993557
ACH-000099,-0.28745275759022315
ACH-000108,-0.3002951491935448
ACH-000113,-0.4150547028792032
ACH-000116,-0.6011267402135424
ACH-000118,-0.3223197449346044
ACH-000120,-0.37096697366566295
ACH-000123,-0.5640356544570633
ACH-000127,-0.7471886907890761
ACH-000128,-0.5488800492384702
ACH-000132,-0.8408694717654338
ACH-000133,-0.4817264722438842
ACH-000137,-0.227362185807994
ACH-000138,-0.4295810477730217
ACH-000142,-0.6547758892656411
ACH-000143,-0.2400442126078401
ACH-000146,-0.6716605175071834
ACH-000148,-0.3357287015694568
ACH-000150,-0.5097722800150641
ACH-000152,-0.3249582228213329
ACH-000153,-0.4837709531435304
ACH-000159,-0.371177798182762
ACH-000160,-0.7000374036952078
ACH-000163,-0.5357156891742494
ACH-000167,-0.5934948684271684
ACH-000168,-0.4563810678772177
