,PITRM1 (10531)
ACH-000004,-0.4662719866766402
ACH-000005,-0.5671389100279004
ACH-000007,-0.342572261012052
ACH-000009,-0.5491665130806869
ACH-000011,0.10050831532000272
ACH-000012,-0.4603237588140854
ACH-000013,-0.5034275412680828
ACH-000014,-0.5880646131508984
ACH-000015,-0.218235888425824
ACH-000017,-0.11074194426762912
ACH-000018,-0.5649183431958664
ACH-000019,-0.18018119498762036
ACH-000021,-0.3126868303404535
ACH-000022,-0.23873778078043115
ACH-000025,-0.5181586726459577
ACH-000028,-0.290232259382791
ACH-000030,-0.04907417235504898
ACH-000035,-0.4368333633849436
ACH-000036,-0.19437022197521006
ACH-000037,-0.2086916878099395
ACH-000039,-0.13696114762837233
ACH-000040,-0.568473833582709
ACH-000041,-0.13865783042777266
ACH-000042,-0.18357476854979304
ACH-000045,-0.2145419158118011
ACH-000047,-0.31050124974002563
ACH-000052,-0.3468750009636405
ACH-000053,-0.3536454915166328
ACH-000054,0.004107054482639793
ACH-000055,-0.1832040383197823
ACH-000060,-0.2794965729944024
ACH-000067,-0.19957881875074526
ACH-000070,-0.009397219876689872
ACH-000075,-0.3347683422585635
ACH-000078,0.05899558524904944
ACH-000082,-0.14561484628467636
ACH-000085,-0.5486140975751117
ACH-000086,-0.5496711295974351
ACH-000087,-0.7389735477479817
ACH-000092,-0.1263922327759809
ACH-000095,0.014601780396114919
ACH-000097,-0.08587490825997246
ACH-000098,-0.23102011069493755
ACH-000099,0.11074285292692926
ACH-000108,-0.1248941411192595
ACH-000113,-0.38264742372728416
ACH-000116,-0.3364307555179037
ACH-000118,-0.251760487202905
ACH-000120,0.04503793095905426
ACH-000123,-0.0595191576778143
ACH-000127,-0.8777531972970714
ACH-000128,-0.3639740583850301
ACH-000132,-0.13374480084776766
ACH-000133,-0.46142847464964293
ACH-000137,-0.08678832614942117
ACH-000138,-0.4364870027541665
ACH-000142,-0.583800895332667
ACH-000143,-0.17775963413754392
ACH-000146,-0.09923992037586354
ACH-000148,-0.35107593212907795
ACH-000150,-0.4420486815566043
ACH-000152,-0.16590000527414722
ACH-000153,-0.14781573862843844
ACH-000159,-0.08701648711986211
ACH-000160,-0.1455630982790104
ACH-000163,-0.5047574709984434
ACH-000167,-0.27756809699933904
ACH-000168,-0.4816819457158392
ACH-000169,-0.407073754853921
ACH-000178,-0.1583930630941081
ACH-000183,-0.1753673896516279
ACH-000188,-0.7237251189947215
ACH-000189,-0.3558320934072303
ACH-000190,-0.4221247367034592
ACH-000198,-0.20682214399921464
ACH-000203,-0.14807958610430608
ACH-000204,-0.23997279905437355
ACH-000206,-0.05355869776585261
ACH-000207,-0.12016675233732885
ACH-000208,-0.25942300581374417
ACH-000210,-0.3652414333386263
ACH-000211,-0.16337578111685316
ACH-000215,-0.3050770107565087
ACH-000221,-0.6213839358906768
ACH-000222,-0.19466030466466935
ACH-000223,-0.4956601565229159
