,DDRGK1 (65992)
ACH-000004,-0.5663190396876484
ACH-000005,-0.4804081339932302
ACH-000007,-0.2467615521654684
ACH-000009,-0.26761874665618
ACH-000011,-0.25562457795323434
ACH-000012,-0.33157973975377497
ACH-000013,-0.1944457404909017
ACH-000014,-0.4003050281096399
ACH-000015,-0.21868458336417845
ACH-000017,-0.2311015234010613
ACH-000018,-0.3850282494724041
ACH-000019,-0.09616053043294327
ACH-000021,-0.14135142747215726
ACH-000022,-0.12709185808570092
ACH-000025,-0.11460917275788313
ACH-000028,-0.3692778355306048
ACH-000030,-0.12551016628934564
ACH-000035,-0.6972416566520114
ACH-000036,-0.304345480437701
ACH-000037,-0.12944352917073196
ACH-000039,-0.06044684789650483
ACH-000040,-0.39133230541076863
ACH-000041,0.025809357528548075
ACH-000042,-0.3979350995121477
ACH-000045,-0.5828279032950959
ACH-000047,-0.3482515597494277
ACH-000052,-0.1568204205434546
ACH-000053,-0.2301041901509507
ACH-000054,-0.2727432525113688
ACH-000055,-0.3055445615137544
ACH-000060,-0.2931000161570536
ACH-000067,-0.4407538820730533
ACH-000070,-0.028401554747583012
ACH-000075,-0.4691599678574249
ACH-000078,-0.16510775409838255
ACH-000082,-0.2216114122363073
ACH-000085,-0.2771164948968236
ACH-000086,-0.26814392207937543
ACH-000087,-0.1494771078185596
ACH-000092,-0.3231110089719877
ACH-000095,-0.21898426599795207
ACH-000097,-0.4896162636545906
ACH-000098,-0.09018127732967728
ACH-000099,-0.2786869003270411
ACH-000108,-0.5746977595621686
ACH-000113,-0.17991578244213166
ACH-000116,-0.13796560913034206
ACH-000118,-0.4344239140852353
ACH-000120,-0.4387249423176355
ACH-000123,-0.40119710067389663
ACH-000127,-0.11306261401794784
ACH-000128,-0.32795704209504684
ACH-000132,-0.26268123925980297
ACH-000133,-0.44549408869588775
ACH-000137,-0.2865037084981452
ACH-000138,-0.24940176479859366
ACH-000142,-0.1867181195181078
ACH-000143,-0.17964670193738524
ACH-000146,-0.5274762295854949
ACH-000148,-0.20429002856485007
ACH-000150,-0.2680998078208278
ACH-000152,-0.18264471720804468
ACH-000153,-0.2484961656778205
ACH-000159,-0.28953484210591823
ACH-000160,-0.17684607658390442
ACH-000163,-0.2548201452830424
ACH-000167,-0.4259593091481991
ACH-000168,-0.39779747430340895
ACH-000169,-0.19442443600632034
ACH-000178,-0.3406388333518176
ACH-000183,-0.2116169882244469
ACH-000188,-0.26857951112335177
ACH-000189,-0.3259865489324026
ACH-000190,-0.6299317922266425
ACH-000198,-0.2589032340291387
ACH-000203,-0.17472513555413094
ACH-000204,-0.19735745634391735
ACH-000206,-0.30405887725769737
ACH-000207,-0.3958880087154473
ACH-000208,-0.837564947323555
ACH-000210,-0.3125760859948816
ACH-000211,-0.19177790379986406
ACH-000215,-0.3749384949013301
ACH-000221,-0.2784847299066321
ACH-000222,-0.2252502534317174
ACH-000223,-0.3359734937047287
ACH-000226,-0.05697977818367653
ACH-000227,-0.00034582206913779827
ACH-000228,-0.3442287849156547
ACH-000231,-0.4726734638708594
ACH-000232,-0.3430993639476295
ACH-000233,-0.29812390275461914
ACH-000234,-0.2616798150488649
ACH-000235,-0.4609586327500755
ACH-000237,-0.2703433745011479
ACH-000238,-0.24563946107530255
ACH-000242,-0.1811697895083597
ACH-000243,-0.4519551578236632
ACH-000244,-0.3610314667663643
ACH-000246,-0.3782626530947083
ACH-000248,-0.05379940484158794
ACH-000250,-0.3769132658094276
ACH-000251,-0.5573555478122892
ACH-000252,-0.5720817611629776
ACH-000253,-0.4238719975619967
ACH-000255,-0.5283748758134175
ACH-000256,-0.15075024685282487
ACH-000257,-0.041558532344478594
ACH-000258,-0.4083349030984122
ACH-000259,-0.2141250973171329
ACH-000260,-0.4091269673388429
ACH-000261,-0.2670343130959074
ACH-000262,-0.20634146694450453
ACH-000263,-0.2699760987579985
ACH-000264,-0.1781433483142734
ACH-000265,-0.2949709058486569
ACH-000266,-0.6533166601480548
ACH-000272,-0.2375629007124247
ACH-000274,-0.20790645093251625
ACH-000277,-0.35242474094445553
ACH-000278,-0.2059925384782645
ACH-000279,-0.1269773505922445
ACH-000280,-0.252531623961802
ACH-000281,-0.30523654021820795
ACH-000288,-0.21462318054582646
ACH-000291,-0.5460422750958985
ACH-000293,-0.17304235544758456
ACH-000294,-0.4122178650560137
ACH-000295,-0.2622327285303174
ACH-000296,-0.3226741581628253
ACH-000302,-0.1452735814203974
ACH-000304,-0.18741469602398766
ACH-000307,-0.14481061032372095
ACH-000308,-0.4939453145310784
ACH-000310,-0.11420668937026253
ACH-000311,-0.2538680638464696
ACH-000312,-0.3347727144215123
ACH-000315,-0.022008236500971917
ACH-000316,-0.2829328195591458
ACH-000317,-0.2487902805177277
ACH-000318,-0.1959596357030464
ACH-000319,-0.189361736673395
ACH-000320,-0.14212453671008846
ACH-000322,-0.31784325419787945
ACH-000323,-0.3882646708330868
ACH-000324,-0.3713710984664359
ACH-000329,-0.30252889620758905
ACH-000330,-0.11169153594534427
ACH-000331,-0.3712861208149606
ACH-000332,-0.3634909007473029
ACH-000334,-0.15239713836011584
ACH-000335,-0.30265161566875315
ACH-000336,-0.3982793957113336
ACH-000337,-0.047405297448736936
ACH-000338,-0.2205880481969146
ACH-000339,-0.4685781046502293
ACH-000341,-0.1369252102334345
ACH-000348,-0.3198925367391914
ACH-000350,-0.2821065220420999
ACH-000352,-0.542507601901333
ACH-000356,-0.3574707979610421
ACH-000361,-0.2815961987916393
ACH-000362,-0.36233853583542897
ACH-000363,-0.5276918654759574
ACH-000364,-0.3685600332330832
ACH-000365,-0.38815615851385216
ACH-000366,-0.19628015729284096
ACH-000368,-0.3376607286350383
ACH-000374,-0.1457198408589095
ACH-000375,-0.3802527884385023
ACH-000376,-0.3703878266265418
ACH-000381,-0.32386524695587
ACH-000383,-0.15444636152777486
ACH-000387,-0.4748093725446413
ACH-000389,-0.3940844127255127
ACH-000390,-0.10076622741648196
ACH-000393,-0.14045585275253852
ACH-000395,-0.4712288598440295
ACH-000396,-0.25032754147951913
ACH-000397,-0.19727373082424754
ACH-000401,-0.3931470533318801
ACH-000402,-0.09659468236433767
ACH-000403,-0.31940946322907304
ACH-000404,-0.4399727221592752
ACH-000406,-0.1511151200969027
ACH-000407,-0.12319274057637185
ACH-000408,-0.5471362835767042
ACH-000410,-0.4529829688707187
ACH-000411,-0.37047813283769176
ACH-000414,-0.3820467656881849
ACH-000415,-0.12966673861408984
ACH-000416,-0.3937413088069644
ACH-000420,-0.3554968289995709
ACH-000421,-0.4945422613609259
ACH-000424,-0.286755819800607
ACH-000425,-0.4166343402149622
ACH-000426,-0.6413859243203657
ACH-000427,0.030753989764139775
ACH-000433,-0.18075977117512126
ACH-000435,-0.20709405564647404
ACH-000436,-0.2995648686438357
ACH-000444,-0.22058146852931046
ACH-000445,-0.17023711999308386
ACH-000448,-0.2232357917101436
ACH-000450,-0.3294311176636819
ACH-000452,-0.19932697499959387
ACH-000454,-0.1207656455983561
ACH-000458,-0.4216913150446056
ACH-000459,0.04068637609855311
ACH-000460,-0.30220092918929914
ACH-000461,-0.2846856566770869
ACH-000463,-0.251364868867945
ACH-000464,-0.18398672041873787
ACH-000466,-0.5674530705457076
ACH-000467,-0.32757319467496343
ACH-000468,-0.2060587730152012
ACH-000469,-0.4226010121492747
ACH-000470,-0.4700979051420169
ACH-000471,-0.34243435505242065
ACH-000472,-0.3040824778321485
ACH-000473,-0.29207555392525825
ACH-000475,-0.4719039337008509
ACH-000476,-0.3844942094923265
ACH-000477,-0.2709478343663658
ACH-000479,-0.1739677549963498
ACH-000480,-0.5756775231035299
ACH-000481,-0.26361807941377763
ACH-000483,-0.3616898134003757
ACH-000484,-0.7643488969731213
ACH-000485,-0.2193871727894616
ACH-000486,-0.3410486578139291
ACH-000487,-0.1157195236555058
ACH-000488,-0.4234720265437853
ACH-000490,-0.1983673045787201
ACH-000491,-0.3495198225815861
ACH-000495,-0.16832862620080613
ACH-000496,-0.29057275705177305
ACH-000499,-0.37067444924940296
ACH-000500,-0.7872247186321584
ACH-000502,-0.5938690354052327
ACH-000503,-0.31551359323150263
ACH-000505,-0.19274665756213644
ACH-000507,-0.13738479101847986
ACH-000510,-0.23382615929502665
ACH-000511,-0.3563580067814022
ACH-000512,-0.3501491159383259
ACH-000516,-0.13292494455250284
ACH-000517,-0.43930583979132587
ACH-000518,-0.2130516658282553
ACH-000520,-0.25290106015931696
ACH-000521,-0.6301812969474907
ACH-000522,-0.1757569825440882
ACH-000524,-0.4833162088899206
ACH-000527,-0.4050733244913043
ACH-000528,-0.4508159750840352
ACH-000537,-0.4254611363974893
ACH-000541,-0.21828103793771167
ACH-000542,-0.2473174922682491
ACH-000544,-0.3214559856797597
ACH-000545,-0.2589667529634555
ACH-000547,-0.526598449508317
ACH-000548,-0.2271927452288684
ACH-000549,-0.34056675629939626
ACH-000550,-0.266669613608495
ACH-000552,-0.2976869439990798
ACH-000556,-0.11501860576838888
ACH-000557,-0.4074698504917326
ACH-000569,-0.302202224661027
ACH-000570,-0.24432764968150636
ACH-000571,-0.40889468022638303
ACH-000573,-0.36824352428534896
ACH-000576,-0.4595089476124107
ACH-000579,-0.019384333428608787
ACH-000580,-0.3468490813859499
ACH-000584,-0.20308598202421066
ACH-000585,-0.0763198295401457
ACH-000588,-0.2632131551921485
ACH-000589,-0.26323880689471624
ACH-000591,-0.3693508547476405
ACH-000593,-0.1883284517917436
ACH-000600,-0.58408447122631
ACH-000601,-0.12239729653723234
ACH-000605,-0.28416613429383664
ACH-000606,-0.17045871365852255
ACH-000608,-0.2489350976965929
ACH-000614,-0.3681914789655735
ACH-000616,-0.3908199373423899
ACH-000618,-0.1091494265905744
ACH-000619,-0.04640772939131528
ACH-000620,-0.29100365657271204
ACH-000621,-0.2336026952375289
ACH-000622,-0.2874339531448304
ACH-000623,-0.14420291721841408
ACH-000624,-0.27897394088582145
ACH-000627,-0.1996242602301652
