,TFAP2C (7022)
ACH-000004,-0.24730061884522864
ACH-000005,-0.29161657695021603
ACH-000007,-0.33690376940850386
ACH-000009,-0.2807518975265572
ACH-000011,-0.3298548433456884
ACH-000012,-0.1833299658573954
ACH-000013,-0.13717165757290428
ACH-000014,-0.5110793439984268
ACH-000015,-0.16485379643213482
ACH-000017,-1.1601879499748482
ACH-000018,-0.08010215056552003
ACH-000019,-0.7365547074886017
ACH-000021,-0.22547400122319786
ACH-000022,-0.15468073052300466
ACH-000025,-0.13024134186863062
ACH-000028,-0.7987782629843048
ACH-000030,-0.3294999476258945
ACH-000035,-0.16568033301849944
ACH-000036,-0.04963543362722266
ACH-000037,-0.3250414729221955
ACH-000039,-0.19304474100492885
ACH-000040,-0.2483978978531272
ACH-000041,-0.2101691383102513
ACH-000042,-0.2426169699128796
ACH-000045,-0.13250345685515366
ACH-000047,-0.19849656583773206
ACH-000052,-0.2280996534274241
ACH-000053,-0.19575701741675045
ACH-000054,-0.2628980702386471
ACH-000055,-0.42121386858573695
ACH-000060,-0.13634386192321465
ACH-000067,-0.060576278876193976
ACH-000070,-0.20205206154379754
ACH-000075,-0.11485678822617584
ACH-000078,-0.15264897241657924
ACH-000082,-0.0996320509545811
ACH-000085,-0.37385332519369097
ACH-000086,-0.22359829826877325
ACH-000087,-0.1501746502210938
ACH-000092,-0.15913507123894802
ACH-000095,-0.20478626570461736
ACH-000097,-0.6360030469138114
ACH-000098,-0.1711274452778916
ACH-000099,-0.1402778251960771
ACH-000108,-0.226362243039958
ACH-000113,-0.15103486991696444
ACH-000116,-0.2272542461407585
ACH-000118,-0.2176925864826736
ACH-000120,-0.22305514182650285
ACH-000123,-0.12657671861247902
ACH-000127,-0.21800056679112634
ACH-000128,-0.016483173947531456
ACH-000132,-0.15114154419848666
ACH-000133,-0.2699566485456569
ACH-000137,-0.15904183510854875
ACH-000138,-0.2379883278611922
ACH-000142,-0.3340615485545411
ACH-000143,-0.27207361462137625
ACH-000146,-0.18517423906753328
ACH-000148,-0.2728971333233265
ACH-000150,-0.24670822272187934
ACH-000152,-0.13041656493808804
ACH-000153,-0.26277517794859834
ACH-000159,-0.27348548138496165
ACH-000160,-0.22071795109389236
ACH-000163,-0.14415237527576685
ACH-000167,-0.5962258201464119
ACH-000168,-0.1541333833188418
ACH-000169,-0.2594085607553506
ACH-000178,-0.33157755312891346
ACH-000183,-0.4141889671441241
ACH-000188,-0.20352771205217468
ACH-000189,-0.10421536575871933
ACH-000190,-0.17753095455856174
ACH-000198,-0.183635051472557
ACH-000203,-0.4023450649034546
ACH-000204,-0.4444427779170623
ACH-000206,-0.11606781192635066
ACH-000207,-0.17058752306128647
ACH-000208,-0.2951724535505353
ACH-000210,-0.10192201878848038
ACH-000211,-0.26245024327919064
ACH-000215,-0.1637178484056926
ACH-000221,-0.36193504363314777
ACH-000222,-0.2838308834916813
ACH-000223,-0.2351002907070923
ACH-000226,-0.09526765466190076
ACH-000227,-0.13376013210936752
ACH-000228,-0.2498271320984419
ACH-000231,-0.23697307792682115
ACH-000232,0.026728692340835775
ACH-000233,-0.1482135783064221
ACH-000234,-0.3120623433263479
ACH-000235,-0.21329108422297247
ACH-000237,-0.10556260125501336
ACH-000238,-0.19795508460070052
ACH-000242,0.07365168625583908
ACH-000243,-0.2897526602963786
ACH-000244,-0.312446579844572
ACH-000246,-0.2738332616094987
ACH-000248,-1.0429889631986695
ACH-000250,-0.12880007093411247
ACH-000251,-0.2345635249250743
ACH-000252,-0.29643647919642085
ACH-000253,-0.3583255185047917
ACH-000255,-0.3061938899947704
ACH-000256,-0.4557958051324175
ACH-000257,-0.15618467313070894
ACH-000258,-0.3777111689510769
ACH-000259,-0.22372770225693453
ACH-000260,-0.3302830280859894
ACH-000261,-0.31965295277564304
ACH-000262,-0.2676574117381055
ACH-000263,-0.18740827888866365
ACH-000264,-0.2561022730463656
ACH-000265,-0.28924782016341993
ACH-000266,-0.2317675983269615
ACH-000272,-0.2595993182076118
ACH-000274,-0.3235327976682818
ACH-000277,-1.3573160287230364
ACH-000278,-0.1821165797942819
ACH-000279,-0.20229960856604415
ACH-000280,-0.6428630784891569
ACH-000281,-0.2583579782195197
ACH-000288,-0.2148949044525484
ACH-000291,-0.2446597614130313
ACH-000293,-0.13295765629124764
ACH-000294,-0.34352089723242024
ACH-000295,-0.1667928421981298
ACH-000296,-0.588976219682742
ACH-000302,-0.1905307258335296
ACH-000304,-0.43874533946599054
ACH-000307,-0.18850893306664976
ACH-000308,-0.21926242023477774
ACH-000310,-0.23243200585669505
ACH-000311,-0.2194117082764364
ACH-000312,-0.31535972187697425
ACH-000315,-0.2640978833507497
ACH-000316,-0.20939743896374494
ACH-000317,-0.13654682179051544
ACH-000318,-0.5057017604534759
ACH-000319,-0.2537408946941759
ACH-000320,-0.3688691417280671
ACH-000322,-0.7506221993856427
ACH-000323,-0.2810819908459116
ACH-000324,-0.30528554964600485
ACH-000329,-0.13376161409815668
ACH-000330,-0.6544280024946452
ACH-000331,-0.2657751020355877
ACH-000332,-0.26346059420342904
ACH-000334,0.03563053999929658
ACH-000335,-0.20026373478125584
ACH-000336,-0.08477129822670991
ACH-000337,-0.3899738416883828
ACH-000338,0.2147219056347904
ACH-000339,-0.2170206750005432
ACH-000341,-0.2772630882703924
ACH-000348,-0.6034789025786949
ACH-000350,-0.4074238207684093
ACH-000352,-0.9411809017258576
ACH-000356,-0.34253188495468395
ACH-000361,-0.24759344810399675
ACH-000362,-0.21223260535509345
ACH-000363,-0.19685858866508704
ACH-000364,-0.19158244170410246
ACH-000365,-0.23639825612788434
ACH-000366,-0.1960280544617345
ACH-000368,-0.12647903838578534
ACH-000374,-0.23854013718905004
ACH-000375,-0.1875449986692885
ACH-000376,-0.03099969021847456
ACH-000381,-0.1289255503440944
ACH-000383,-0.17687532179071985
ACH-000387,-0.14823003179409527
ACH-000389,-0.3645475242345562
ACH-000390,-0.2146033925950382
ACH-000393,-0.22621811480005266
ACH-000395,-0.502344591949948
ACH-000396,-0.29683864657337705
ACH-000397,-0.17173154779056093
ACH-000401,-0.7159105116047155
ACH-000402,-0.3675162297996951
ACH-000403,-0.14677246714896053
ACH-000404,-0.22808952060199075
ACH-000406,-0.1499510217528817
ACH-000407,-0.2606851867057272
ACH-000408,0.0160464688701345
ACH-000410,-0.3000849968723644
ACH-000411,-0.1289951235159026
ACH-000414,-0.3087709632941595
ACH-000415,-0.2371077610451133
ACH-000416,-0.2851380506115336
ACH-000420,-0.16674448994846186
ACH-000421,-0.20351802290174748
ACH-000424,-0.27577072157137983
ACH-000425,-0.6276975980775311
ACH-000426,-0.27330481996015804
ACH-000427,-0.2864644497771401
ACH-000433,-0.2023422965494734
ACH-000435,-0.5840696243913267
ACH-000436,-0.03320995511840606
ACH-000444,-0.2570030911775906
ACH-000445,-0.36177139693144
