,RPAP3 (79657)
ACH-000004,-0.6507424911284634
ACH-000005,-0.3527905654980111
ACH-000007,-0.3721789569071207
ACH-000009,-0.5555983831336023
ACH-000011,-0.467084326755205
ACH-000012,-0.5477680628677782
ACH-000013,-0.7286894376693341
ACH-000014,-0.4542621687523997
ACH-000015,-0.6132560744025504
ACH-000017,-0.9384109801179744
ACH-000018,-0.6853169922531477
ACH-000019,-0.5780395003421858
ACH-000021,-0.6314747126738599
ACH-000022,-0.5380637712440759
ACH-000025,-0.6732759163779702
ACH-000028,-0.6093507729187468
ACH-000030,-0.5659992745826963
ACH-000035,-0.6562052902378886
ACH-000036,-0.7908045311852395
ACH-000037,-0.4282003108189964
ACH-000039,-0.7019822128073656
ACH-000040,-0.5431628885311531
ACH-000041,-0.7140311904616623
ACH-000042,-0.665672786954609
ACH-000045,-0.5601008831961054
ACH-000047,-0.3878324818747932
ACH-000052,-0.4233120460289193
ACH-000053,-0.5897775758865803
ACH-000054,-0.491075662004344
ACH-000055,-0.735701224928848
ACH-000060,-0.5857355487245617
ACH-000067,-0.8234093878176455
ACH-000070,-0.5858183815617055
ACH-000075,-0.4774564295101685
ACH-000078,-0.4948479959409887
ACH-000082,-0.4736212502233367
ACH-000085,-0.7157421147688019
ACH-000086,-0.5437272142310848
ACH-000087,-0.5803306343315374
ACH-000092,-0.4593884708380422
ACH-000095,-0.4063422643413684
ACH-000097,-0.7757222857564486
ACH-000098,-0.6316150403223673
ACH-000099,-0.4729106666016272
ACH-000108,-0.4572812885713306
ACH-000113,-0.6222951311364194
ACH-000116,-0.9365623951368736
ACH-000118,-0.7349432861509372
ACH-000120,-0.5455922484671307
ACH-000123,-0.5083138830352205
ACH-000127,-0.5552618104067116
ACH-000128,-0.5001479216456428
ACH-000132,-0.48938780062841497
ACH-000133,-0.6588115221847144
ACH-000137,-0.6454191317972217
ACH-000138,-0.6240803707982825
ACH-000142,-0.6947830853384289
ACH-000143,-0.5400639297702126
ACH-000146,-0.6493362473374029
ACH-000148,-0.6358864937947725
ACH-000150,-0.4258861870654411
ACH-000152,-0.8118015652488746
ACH-000153,-0.7570837145856776
ACH-000159,-0.5563441272329414
ACH-000160,-0.7020760904294306
ACH-000163,-0.6658781422989423
ACH-000167,-1.0677881854075637
ACH-000168,-0.5389008893895788
ACH-000169,-0.6613732163151996
ACH-000178,-0.7424271499671005
ACH-000183,-0.5358675439223005
ACH-000188,-0.4919727931652507
ACH-000189,-0.3296935805376264
ACH-000190,-0.9263966526415678
ACH-000198,-0.4923485850799463
ACH-000203,-0.2736272532004845
ACH-000204,-0.6964849790690202
ACH-000206,-0.6666996761338706
ACH-000207,-0.6713072407712782
ACH-000208,-0.6899168762800911
ACH-000210,-0.7877699148058285
ACH-000211,-0.4945302938415722
ACH-000215,-0.7656014004214325
ACH-000221,-0.6213058822655062
ACH-000222,-0.5901696108459239
ACH-000223,-0.7809399722822287
ACH-000226,-0.6401860143017851
ACH-000227,-0.7628516246483409
ACH-000228,-0.6248194819609764
ACH-000231,-0.6320109998657263
ACH-000232,-0.6168094647600877
ACH-000233,-0.4398326918188235
ACH-000234,-0.6316362700262587
ACH-000235,-0.6976552334347903
ACH-000237,-0.5146608408587318
ACH-000238,-0.7095068505947489
ACH-000242,-0.27169504599485056
ACH-000243,-0.926282739933106
ACH-000244,-0.5940658133850668
ACH-000246,-0.7287252581621819
ACH-000248,-0.5502092494470081
ACH-000250,-0.5202229486578971
ACH-000251,-0.7148568447439624
ACH-000252,-0.512439429507439
ACH-000253,-0.6173351288776224
ACH-000255,-0.4626141706658409
ACH-000256,-0.6151052298498874
ACH-000257,-0.6632820911215751
ACH-000258,-0.5708248163972954
ACH-000259,-0.5414304542254993
ACH-000260,-0.6080950115708411
ACH-000261,-0.6567254212280141
ACH-000262,-0.5277809695191888
ACH-000263,-0.7166449635271616
ACH-000264,-0.5815508908931959
ACH-000265,-0.4337544121510539
ACH-000266,-0.7540516542779844
ACH-000272,-0.2358187906219055
ACH-000274,-0.6626272380048591
ACH-000277,-0.7086637466335299
ACH-000278,-0.6588640984154582
ACH-000279,-0.6566057849456775
ACH-000280,-0.5940436025250999
ACH-000281,-0.665520499945857
ACH-000288,-0.564847571507436
ACH-000291,-0.5551317143247294
ACH-000293,-0.7299413973633463
ACH-000294,-0.4783978347377559
ACH-000295,-0.1524497590491834
ACH-000296,-0.6072665774907158
ACH-000302,-0.6269904645885885
ACH-000304,-0.5897326809452789
ACH-000307,-0.5805650559868193
ACH-000308,-0.6469728903323104
ACH-000310,-0.5257814794477662
ACH-000311,-0.6395529754091127
ACH-000312,-0.6448887451463753
ACH-000315,-0.6225222055078574
ACH-000316,-0.6313693563838937
ACH-000317,-0.4878053081095128
ACH-000318,-0.9509433292176696
ACH-000319,-0.6372632064387704
