,TAX1BP1 (8887)
ACH-000004,0.07005479107694107
ACH-000005,-0.31295331011716193
ACH-000007,0.04787551830289998
ACH-000009,-0.1395180747625643
ACH-000011,-0.34885797702668925
ACH-000012,-0.3440666915561625
ACH-000013,-0.3016965126421516
ACH-000014,-0.15827885796661068
ACH-000015,-0.12953193515497216
ACH-000017,-0.03892823659217751
ACH-000018,-0.2656337184796653
ACH-000019,-0.13500800331955032
ACH-000021,-0.13528876625969385
ACH-000022,-0.195558790393369
ACH-000025,-0.702449361936394
ACH-000028,-0.2705400133392933
ACH-000030,-0.2687893283225399
ACH-000035,-0.21551304266573398
ACH-000036,-0.2396451739942274
ACH-000037,-0.149840317482497
ACH-000039,-0.029226570498638364
ACH-000040,-0.13583338700283304
ACH-000041,-0.1676039932648183
ACH-000042,-0.2342753552457182
ACH-000045,-0.089608418251847
ACH-000047,-0.16526153171909133
ACH-000052,-0.2419638003353753
ACH-000053,-0.16304838947418174
ACH-000054,-0.19227563100629813
ACH-000055,-0.09395278585739296
ACH-000060,-0.03890140032082074
ACH-000067,-0.43922634808021777
ACH-000070,-0.027717320514278426
ACH-000075,-0.06410491984774283
ACH-000078,-0.10175639009602468
ACH-000082,-0.16461432074844806
ACH-000085,-0.10039690856663554
ACH-000086,-0.1376983343400003
ACH-000087,-0.10062992681676386
ACH-000092,-0.1898973891929782
ACH-000095,-0.10284813723805478
ACH-000097,-0.05731619136018507
ACH-000098,-0.32743574608628423
ACH-000099,-0.06407658467508462
ACH-000108,-0.14218230838424048
ACH-000113,-0.06178522613314851
ACH-000116,-0.12235554245450107
ACH-000118,-0.07365143580368992
ACH-000120,-0.1698626924651633
ACH-000123,-0.18532954614987096
ACH-000127,-0.3107940246791782
ACH-000128,-0.3634979517945689
ACH-000132,-0.10827757934733932
ACH-000133,-0.2454569110724324
ACH-000137,-0.1809717636759808
ACH-000138,-0.06683753810939963
ACH-000142,-0.2944150971523462
ACH-000143,-0.1121968963900362
ACH-000146,-0.07092527793704474
ACH-000148,-0.06563972875623714
ACH-000150,-0.0419833880238904
ACH-000152,-0.04467312577055264
ACH-000153,-0.20973170464748667
ACH-000159,-0.1312022654902851
ACH-000160,-0.216459290378104
ACH-000163,-0.17204120417505045
ACH-000167,-0.5076680821621594
ACH-000168,-0.07671758009699249
ACH-000169,-0.026365119724728645
ACH-000178,-0.1935905205986867
ACH-000183,-0.03396528845064841
ACH-000188,-0.1161174631381407
ACH-000189,-0.14722983430603348
ACH-000190,-0.3564327223157513
ACH-000198,-0.07621931281434112
ACH-000203,-0.4836408492864404
ACH-000204,0.030535390187622056
ACH-000206,0.0098859976428916
ACH-000207,-0.13582507507634495
ACH-000208,-0.293543980147777
ACH-000210,-0.2741886532975739
ACH-000211,-0.26990920357879666
ACH-000215,-0.05978147981254728
ACH-000221,-0.03196573816608371
ACH-000222,-0.05494149588221048
ACH-000223,-0.14021751681279876
ACH-000226,-0.12896406570082694
ACH-000227,-0.13094006636115305
ACH-000228,-0.3073225408630037
ACH-000231,-0.197964538023214
ACH-000232,-0.01518052466711092
ACH-000233,-0.23545672178250399
ACH-000234,-0.2886477107880964
ACH-000235,-0.12992558127729725
ACH-000237,-0.44245324678642
ACH-000238,-0.3537573995269521
ACH-000242,-0.17906307805250962
ACH-000243,-0.0731031592805261
ACH-000244,-0.22161407446815706
ACH-000246,-0.2269837371472475
ACH-000248,-0.11090483685824312
ACH-000250,-0.2815090761825272
ACH-000251,-0.1095631629330964
ACH-000252,-0.33779086825676524
ACH-000253,0.00027975764483500353
ACH-000255,-0.3187037646835413
ACH-000256,-0.08983294883634768
ACH-000257,-0.1287373170415297
ACH-000258,0.07732607466046823
ACH-000259,-0.18361254259580614
ACH-000260,-0.08380428321412745
ACH-000261,-0.06746618792008363
ACH-000262,-0.3321659011918832
ACH-000263,0.01696261579858543
ACH-000264,-0.2159328711463582
ACH-000265,-0.06576591850896897
ACH-000266,-0.2947591895245194
ACH-000272,-0.11994979516454095
ACH-000274,-0.14245154540281085
ACH-000277,-0.11375793736654907
ACH-000278,-0.2576579378009424
ACH-000279,-0.210788769731554
ACH-000280,-0.1572087350138676
ACH-000281,-0.036610403595045964
ACH-000288,-0.1589911118825853
ACH-000291,-0.2281056670204148
ACH-000293,-0.22107114862420665
ACH-000294,-0.04026710309143692
ACH-000295,-0.11876975811497115
ACH-000296,-0.32536043636632894
ACH-000302,-0.09758236987535272
ACH-000304,-0.19291046631416134
ACH-000307,-0.10220581234126083
ACH-000308,-0.21376543845905974
ACH-000310,-0.11539404601367055
ACH-000311,-0.1402660824097808
ACH-000312,-0.19296290276770106
ACH-000315,-0.01643583758753649
ACH-000316,-0.3119642758281537
ACH-000317,-0.10324841476808357
ACH-000318,-0.21195765857187104
ACH-000319,-0.1267201349420479
ACH-000320,-0.04734806742832496
ACH-000322,-0.16365923737556395
ACH-000323,-0.09507346249880788
ACH-000324,-0.3125955833761793
ACH-000329,-0.14579519298149954
ACH-000330,0.04499553361827188
ACH-000331,0.03756914957462845
ACH-000332,-0.23050691367358145
ACH-000334,0.1314867813089535
ACH-000335,-0.35868586455519563
ACH-000336,-0.12456035481332868
ACH-000337,-0.20497596073689414
ACH-000338,-0.4699579524340557
ACH-000339,-0.385782782838649
ACH-000341,-0.2223759318229948
ACH-000348,-0.08670884657420158
ACH-000350,-0.2034237796069908
ACH-000352,-0.08186463197829258
ACH-000356,-0.17025024929331822
ACH-000361,0.043825841412714436
ACH-000362,-0.14300172082632234
ACH-000363,-0.14451452214892996
ACH-000364,-0.2314818567006191
ACH-000365,-0.06340240016689648
ACH-000366,0.06489613664890813
ACH-000368,-0.08851376875045792
ACH-000374,-0.09454297409959277
ACH-000375,-0.242195242836114
ACH-000376,-0.04775824880965928
ACH-000381,-0.08882474695520337
ACH-000383,-0.17274138465189873
ACH-000387,-0.13445784792497015
ACH-000389,-0.2803587935239664
ACH-000390,-0.13400194046307773
ACH-000393,-0.2288941247467775
ACH-000395,-0.260957484427054
ACH-000396,-0.1228490109006173
ACH-000397,-0.2824990694789733
ACH-000401,-0.1880920863674139
ACH-000402,-0.2806791321276897
ACH-000403,-0.1430420039925248
ACH-000404,-0.6421597929458822
ACH-000406,-0.04905237949264125
ACH-000407,-0.010216074528261274
ACH-000408,-0.014745461538695269
ACH-000410,-0.012212398403523835
ACH-000411,-0.26421951405827543
ACH-000414,-0.027572033763021017
ACH-000415,-0.4073035772996956
ACH-000416,-0.22159845989708385
ACH-000420,-0.06933431470336726
ACH-000421,-0.09321030038142082
ACH-000424,0.07100405424368628
ACH-000425,-0.2544887413741191
ACH-000426,-0.2442667654823932
ACH-000427,-0.17843935910808992
ACH-000433,-0.20218622690483484
ACH-000435,-0.12178338539024212
ACH-000436,0.013999540027190498
ACH-000444,-0.09160751761214472
ACH-000445,-0.12633116636244515
ACH-000448,-0.10455303614288892
ACH-000450,-0.04985711958024836
ACH-000452,-0.21613551753892554
ACH-000454,-0.3389330044278248
ACH-000458,-0.05398241707572058
ACH-000459,-0.24590238551521315
ACH-000460,-0.13617366583827092
ACH-000461,-0.219049382138452
ACH-000463,-0.15614036390256936
ACH-000464,0.09434458996568802
ACH-000466,-0.2622861128298345
ACH-000467,-0.0961957669078617
ACH-000468,-0.20118516953191354
ACH-000469,-0.15830630398544546
ACH-000470,-0.4786377016116867
ACH-000471,-0.24819950416091685
ACH-000472,-0.1222511693153766
ACH-000473,-0.2216892694542226
