,NPDC1 (56654)
ACH-000004,-0.05153830089979106
ACH-000005,-0.39927219895223737
ACH-000007,-0.09535861019520002
ACH-000009,-0.1526367613953491
ACH-000011,-0.10288426458696123
ACH-000012,-0.16588987915873385
ACH-000013,-0.28122671608505234
ACH-000014,-0.11500621406504273
ACH-000015,-0.1997673746475396
ACH-000017,-0.03279368831535197
ACH-000018,-0.1371005915410139
ACH-000019,-0.17741839008075286
ACH-000021,-0.06055927791738396
ACH-000022,-0.08327634731551029
ACH-000025,0.01823642754021181
ACH-000028,0.010866973009791286
ACH-000030,-0.09909770008065448
ACH-000035,0.059919369667387735
ACH-000036,-0.12373293894619106
ACH-000037,-0.2679442100424172
ACH-000039,-0.20369289466756002
ACH-000040,-0.14771812646912946
ACH-000041,-0.1370030573520679
ACH-000042,-0.2878688088944376
ACH-000045,-0.08880504858683122
ACH-000047,-0.05030976850975442
ACH-000052,-0.282322469965755
ACH-000053,-0.10753864254373303
ACH-000054,-0.04296350057831902
ACH-000055,-0.15754707086703906
ACH-000060,-0.21828671029137175
ACH-000067,-0.10233157548115236
ACH-000070,-0.14779071493524276
ACH-000075,0.027713251119437832
ACH-000078,-0.19040338598828785
ACH-000082,0.08945505073142213
ACH-000085,0.20006322507470792
ACH-000086,0.0036077793035419045
ACH-000087,-0.353028674364989
ACH-000092,-0.11945762538627752
ACH-000095,-0.15946425488144564
ACH-000097,-0.07086544734994757
ACH-000098,-0.06060854496371965
ACH-000099,-0.1464278374494027
ACH-000108,-0.18462567735538887
ACH-000113,-0.09598562241994983
ACH-000116,-0.2155387580778757
ACH-000118,-0.05931465317558887
ACH-000120,-0.10691383581597
ACH-000123,-0.1960550125965219
ACH-000127,-0.060109511075552124
ACH-000128,-0.17038185351503626
ACH-000132,-0.1168024711872894
ACH-000133,0.05007202024920791
ACH-000137,-0.22450719376593495
ACH-000138,-0.12346632343166546
ACH-000142,-0.1680571453434225
ACH-000143,-0.03616424511162472
ACH-000146,-0.0031951013800308107
ACH-000148,-0.04528262148612612
ACH-000150,-0.1749714729432202
ACH-000152,-0.02247600949073919
ACH-000153,-0.2336425905547637
ACH-000159,-0.07923715180834913
ACH-000160,-0.07144981778067623
ACH-000163,-0.18760247469901065
ACH-000167,-0.20808866910358573
ACH-000168,-0.13520631783763326
ACH-000169,-0.09681290979560182
ACH-000178,-0.055174933611707416
ACH-000183,-0.07372549653936576
ACH-000188,-0.22171600514317152
ACH-000189,0.07219726341438826
ACH-000190,0.0010089026716667883
ACH-000198,-0.13274446913374946
ACH-000203,-0.3518337421988506
ACH-000204,-0.11769266608581044
ACH-000206,0.0010060606587267344
ACH-000207,-0.1186739291204552
ACH-000208,-0.4213630874801314
ACH-000210,-0.2319590447851641
ACH-000211,-0.0637211096209672
ACH-000215,-0.20127239181870565
ACH-000221,-0.11054743575390027
ACH-000222,-0.23540439262503976
ACH-000223,-0.11303090751160715
ACH-000226,-0.05581607501031191
ACH-000227,0.07657323337378387
ACH-000228,-0.2425107507753438
ACH-000231,-0.1014699068946229
ACH-000232,-0.11603253754047088
ACH-000233,-0.06235730827409576
ACH-000234,-0.11673639119394633
ACH-000235,-0.08143677118167493
ACH-000237,-0.05066757466917182
ACH-000238,-0.18070105229666908
ACH-000242,-0.38445347968389904
ACH-000243,-0.10754682252764797
ACH-000244,-0.10421352339454447
ACH-000246,-0.2763497348641412
ACH-000248,0.0045836226798580005
ACH-000250,-0.17682335538610014
ACH-000251,-0.4705064037317898
ACH-000252,-0.2471701264381712
ACH-000253,-0.02451599494077769
ACH-000255,-0.10187848420279826
ACH-000256,-0.1554102913229698
ACH-000257,0.2452806594754035
ACH-000258,-0.04917090244718915
ACH-000259,-0.1165656511768984
ACH-000260,-0.15882158398294874
ACH-000261,-0.05578179361196005
ACH-000262,-0.4500701206034247
ACH-000263,-0.13839334221145685
ACH-000264,-0.11791529909728295
ACH-000265,-0.10276226289795123
ACH-000266,-0.1586475342272922
ACH-000272,-0.16734306353338976
ACH-000274,0.0006872465493402811
ACH-000277,-0.2024717705273392
ACH-000278,-0.2216324295554973
ACH-000279,-0.07841959516387556
ACH-000280,-0.29293605099759423
ACH-000281,-0.04555247780809277
ACH-000288,0.02853705084927893
ACH-000291,-0.2528342571538092
ACH-000293,-0.09496818707771792
ACH-000294,-0.010068668271404556
ACH-000295,-0.1387162004970365
ACH-000296,0.13304298962428598
ACH-000302,-0.049771928641894406
ACH-000304,-0.2445979115084592
ACH-000307,-0.08460810581942993
ACH-000308,-0.12693937121577106
ACH-000310,-0.15922544295328026
ACH-000311,-0.044452294440783004
ACH-000312,-0.054518274053107316
ACH-000315,-0.029131741591545725
ACH-000316,-0.17455566901793285
ACH-000317,-0.10728892262305792
ACH-000318,-0.1467263156282645
ACH-000319,-0.04753959695353902
ACH-000320,-0.20022603782086007
ACH-000322,0.01596963280707216
ACH-000323,-0.12497531054069858
ACH-000324,-0.19543290952499973
ACH-000329,-0.13862500029135813
ACH-000330,-0.12667676641599307
ACH-000331,-0.008735064816543701
ACH-000332,-0.10460039285890092
ACH-000334,-0.07606723685596199
ACH-000335,0.01742200048383925
ACH-000336,-0.16705503723443405
ACH-000337,-0.33382440259086715
ACH-000338,0.04420571731071375
ACH-000339,-0.1818083994700584
ACH-000341,-0.00861558356141383
ACH-000348,-0.1397409382124432
ACH-000350,-0.1554879717068524
ACH-000352,-0.0032016977155888394
ACH-000356,-0.09292772803836703
ACH-000361,-0.0380214435814318
ACH-000362,-0.19261094662573836
ACH-000363,-0.09949149731183547
ACH-000364,-0.004163799395306825
ACH-000365,-0.11259358833488718
ACH-000366,-0.15800560625081606
ACH-000368,-0.032481233995023465
ACH-000374,-0.09772088139809702
ACH-000375,-0.14426369863882196
ACH-000376,-0.10419521773661324
ACH-000381,-0.15401914359260374
ACH-000383,-0.17044744011092874
ACH-000387,-0.05393419599619719
ACH-000389,-0.11902147561023176
ACH-000390,-0.0906664595021722
ACH-000393,-0.2409581214282803
ACH-000395,-0.3480445119236278
ACH-000396,-0.07072419345232453
