,ANKRD34B (340120)
ACH-000652,-0.034319787683685744
ACH-000653,-0.025842930735319326
ACH-000657,-0.029746102210877638
ACH-000658,0.0004037505096998554
ACH-000661,-0.10872612593852736
ACH-000662,-0.16764958857289894
ACH-000663,-0.05614817200889494
ACH-000665,-0.12497305727111152
ACH-000671,-0.2511290330407633
ACH-000672,0.005406668886411217
ACH-000673,-0.15841144713242358
ACH-000676,-0.11048412617362176
ACH-000677,-0.14676698475175293
ACH-000681,0.0003951802462538975
ACH-000683,-0.1361032759017968
ACH-000684,-0.057865753366869076
ACH-000688,-0.12585615555028298
ACH-000693,-0.058260401061668174
ACH-000694,-0.07913453307149765
ACH-000695,-0.190002321988864
ACH-000696,-0.024836773426994845
ACH-000697,-0.07189544354006866
ACH-000699,-0.07346380865753112
ACH-000701,-0.14793049449745127
ACH-000706,-0.0380656687850201
ACH-000711,-0.05258469575974632
ACH-000713,-0.03493664192064455
ACH-000714,-0.05121014911859069
ACH-000718,-0.05857800973959501
ACH-000720,-0.12279051507636235
ACH-000721,-0.11571100945482153
ACH-000724,0.07196195300985497
ACH-000725,-0.15736580018784624
ACH-000732,-0.0521900569155523
ACH-000734,-0.0163358780588867
ACH-000735,-0.12995035531478452
ACH-000736,-0.12214155466653935
ACH-000738,-0.005513836143844383
ACH-000746,-0.05570674187009897
ACH-000747,-0.1936197772646312
ACH-000748,0.0060010711143657575
ACH-000753,-0.02759553519399988
ACH-000756,0.062367641167729214
ACH-000757,-0.12374969675806698
ACH-000758,-0.054168724228015656
ACH-000760,-0.12281621737321212
ACH-000762,0.01714198381222807
ACH-000763,-0.06007379034327483
ACH-000764,-0.16815158488998153
ACH-000765,-0.03095675194395428
ACH-000766,0.10988180400504227
ACH-000767,-0.039914814548041376
ACH-000768,-0.12384706744990848
ACH-000769,-0.2020008524173436
ACH-000770,3.4375974572403513e-05
ACH-000771,-0.09515942364089316
ACH-000773,-0.1034763175976584
ACH-000776,0.06636434810251614
ACH-000777,-0.13306955790541192
ACH-000778,-0.06698010052278727
ACH-000781,-0.06326730131910134
ACH-000782,-0.2269570019787795
ACH-000783,-0.08545624335938701
ACH-000784,-0.042736396557216436
ACH-000785,-0.04832856218437681
ACH-000787,-0.11453977533002585
ACH-000788,-0.03889282989489196
ACH-000791,-0.06689635107010006
ACH-000792,-0.07317542949672956
ACH-000794,-0.13181739252817853
ACH-000796,-0.0767942903832034
ACH-000798,0.1319048935229851
ACH-000799,0.029952675079274037
ACH-000800,-0.0560802655491914
ACH-000802,-0.019547145936737356
ACH-000804,-0.04846067663431599
ACH-000805,-0.0676941311578435
ACH-000809,-0.0015133049718529456
ACH-000810,0.03280163232625585
ACH-000811,-0.06890836974277005
ACH-000817,-0.0116344096893433
ACH-000819,-0.07021761059731085
ACH-000820,0.07376543526554101
ACH-000821,-0.0540729675556865
ACH-000822,-6.990995141328195e-05
ACH-000823,-0.032354753209002066
ACH-000824,-0.012611680459571045
ACH-000827,-0.01735736079048493
ACH-000829,0.06080492082252197
ACH-000831,0.003250974649429661
ACH-000832,-0.04779264041847662
ACH-000833,0.08501144852624926
ACH-000834,-0.14425425630696714
ACH-000835,0.039138205569641656
ACH-000836,0.02857346354603735
ACH-000837,-0.19866633604789646
ACH-000838,-0.13340433019172332
ACH-000839,-0.11927005390231225
ACH-000840,-0.1859326796115642
ACH-000841,-0.08348963205131117
ACH-000843,-0.23690982792039694
ACH-000846,-0.051270775324551626
ACH-000847,-0.114187101279983
ACH-000848,-0.19793503266487827
ACH-000849,-0.05637261187748782
ACH-000851,-0.16343207720144973
ACH-000855,-0.0026048594513772825
ACH-000856,-0.0016601868161361525
ACH-000858,-0.09557334211886263
ACH-000859,-0.12465112657006053
ACH-000861,-0.24531990723157646
ACH-000862,0.03674898428902785
ACH-000865,-0.1226442021629322
ACH-000866,-0.010772796469996036
ACH-000867,-0.08361157032562823
ACH-000869,-0.16144013421668826
ACH-000872,-0.10711959434064837
ACH-000873,-0.061380501316792825
ACH-000876,-0.1007020134261886
ACH-000878,-0.09103240096680748
ACH-000880,-0.01662513420137741
ACH-000881,-0.14126671909351354
ACH-000882,-0.12668629152801705
ACH-000884,-0.09231410585585743
ACH-000885,0.013491845808833662
ACH-000887,-0.12312846328848227
ACH-000889,-0.037116386446738266
ACH-000896,-0.08423714308809788
ACH-000898,-0.12673036432627938
ACH-000900,-0.07740536432128263
ACH-000901,-0.07196908657685634
ACH-000905,-0.07451851629778215
ACH-000906,-0.09059421124621908
ACH-000907,0.04560300694569756
ACH-000910,-0.11492462599702145
ACH-000911,-0.02920894830636265
ACH-000912,-0.08287876314607852
ACH-000913,-0.11299210825636224
ACH-000915,-0.06578826530557237
ACH-000916,0.15264395527081873
ACH-000917,-0.0876632842797432
ACH-000920,-0.09566638126662663
ACH-000921,0.0737929789609053
ACH-000924,-0.09778668561943316
ACH-000926,-0.07222018933700182
ACH-000928,-0.0875521964355445
ACH-000929,-0.032119898621805754
ACH-000932,-0.13793375838052815
ACH-000935,0.016293738400810644
ACH-000936,-0.15477142595475193
ACH-000937,-0.019231154717439376
ACH-000938,-0.06634097203864947
ACH-000939,-0.04097419911642675
ACH-000941,-0.09165235274344036
ACH-000943,-0.07793794543583495
ACH-000946,-0.10992735110125007
ACH-000947,-0.10119539038706868
ACH-000948,-0.1852485098235152
