,PIP (5304)
ACH-000004,-0.015739369708624874
ACH-000005,0.001958902229970633
ACH-000007,-0.09379462229571278
ACH-000009,-0.1818486965870636
ACH-000011,-0.047023001267862345
ACH-000012,-0.11576261074251055
ACH-000013,-0.07022953756947821
ACH-000014,-0.16355804392018486
ACH-000015,0.05342288500597892
ACH-000017,-0.10083259064699326
ACH-000018,-0.0055442378467116474
ACH-000019,-0.25902549538965786
ACH-000021,-0.2362928130896236
ACH-000022,-0.13795362718453094
ACH-000025,-0.13940931548591812
ACH-000028,-0.014054532924052168
ACH-000030,-0.037522010802384514
ACH-000035,-0.10276563545456033
ACH-000036,0.026154696741267244
ACH-000037,-0.11104299762714856
ACH-000039,-0.09844829290020934
ACH-000040,-0.1125253366360624
ACH-000041,-0.22073264741940585
ACH-000042,-0.10586227139296132
ACH-000045,-0.19727150503647628
ACH-000047,-0.05049604308045107
ACH-000052,-0.1935965158407052
ACH-000053,-0.08943722399503558
ACH-000054,-0.263941640226479
ACH-000055,-0.1342879738508814
ACH-000060,-0.23060994022561546
ACH-000067,-0.19397763862262926
ACH-000070,-0.014640459405531013
ACH-000075,-0.1850703025788338
ACH-000078,-0.10081820780987967
ACH-000082,-0.13536905265183868
ACH-000085,-0.1212982560105754
ACH-000086,0.035914866658702735
ACH-000087,-0.10511531462415867
ACH-000092,-0.0901815308538308
ACH-000095,-0.19020331353359415
ACH-000097,-0.07184661153904366
ACH-000098,-0.09922827853892016
ACH-000099,-0.10875847658121636
ACH-000108,-0.026582789270240152
ACH-000113,0.018742506155887573
ACH-000116,-0.16004517316193506
ACH-000118,-0.014118157993185812
ACH-000120,-0.06725939258725179
ACH-000123,-0.009079153010762791
ACH-000127,-0.12337303271327878
ACH-000128,0.011612867287461215
ACH-000132,-0.13741188882172886
ACH-000133,-0.022492070860559637
ACH-000137,-0.0025025562964636427
ACH-000138,-0.08714541229529278
ACH-000142,0.05388179359930877
ACH-000143,-0.08526135877100953
ACH-000146,-0.103724593942783
ACH-000148,-0.01112914242474785
ACH-000150,0.0324207031593971
ACH-000152,-0.07097921127816664
ACH-000153,0.047285603355911435
ACH-000159,-0.08884093031973289
