,SRR (63826)
ACH-000004,0.00025807742128727373
ACH-000005,-0.4371569275287329
ACH-000007,-0.018932911270413157
ACH-000009,-0.17963782769486614
ACH-000011,-0.08144728722364633
ACH-000012,-0.17396190879784554
ACH-000013,-0.03046202534040995
ACH-000014,-0.01983915998445417
ACH-000015,-0.09526536356150367
ACH-000017,-0.007787281402742709
ACH-000018,0.06692305722443845
ACH-000019,0.0908954619111181
ACH-000021,0.02677029004292009
ACH-000022,-0.058288747126446425
ACH-000025,-0.12242305671580217
ACH-000028,0.01917943859206628
ACH-000030,-0.06024421071956805
ACH-000035,0.031874349939966434
ACH-000036,-0.12603916333079115
ACH-000037,-0.10265144340016397
ACH-000039,-0.02019030761551201
ACH-000040,-0.08158012723722388
ACH-000041,0.14294077762465027
ACH-000042,-0.19936218518055832
ACH-000045,-0.07122035372598058
ACH-000047,-0.07794703234671127
ACH-000052,0.03462525848972792
ACH-000053,-0.056079696203562665
ACH-000054,-0.059404907624235365
ACH-000055,-0.07534831485831815
ACH-000060,-0.06398112092568506
ACH-000067,-0.07641304992472467
ACH-000070,0.07998063100146692
ACH-000075,0.07978098178383831
ACH-000078,0.026690769851943456
ACH-000082,-0.1942329609473493
ACH-000085,0.12752824369511376
ACH-000086,-0.07720394082154602
ACH-000087,-0.13549934010258474
ACH-000092,-0.009731784075862284
ACH-000095,-0.07991546166728626
ACH-000097,-0.1065365060362912
ACH-000098,-0.11576485905210493
ACH-000099,-0.06883706649953755
ACH-000108,-0.07081297031131444
ACH-000113,0.11819779402199547
ACH-000116,-0.010239431275655379
ACH-000118,-0.08332670342413921
ACH-000120,-0.023157445081914124
ACH-000123,-0.02359542264671882
ACH-000127,-0.04616928547556324
ACH-000128,0.07741769008320433
ACH-000132,-0.051622162401777985
ACH-000133,-0.14997293086855626
ACH-000137,-0.04360886543301914
ACH-000138,-0.016204121958075208
ACH-000142,-0.10867478107762428
ACH-000143,0.06543432571571428
ACH-000146,-0.04176154692924728
ACH-000148,-0.09946413765953864
ACH-000150,-0.19749306226385935
ACH-000152,-0.10390535861552466
ACH-000153,0.05715257486251742
ACH-000159,0.055944009064802167
ACH-000160,0.09416936452610104
ACH-000163,-0.003856875031288615
ACH-000167,-0.24724817887677225
ACH-000168,0.032695870205702214
ACH-000169,0.08838956778122226
ACH-000178,-0.07608303153547402
ACH-000183,-0.16607425210177512
ACH-000188,0.008952550113740649
ACH-000189,-0.11197775114825873
ACH-000190,-0.0522518440361173
ACH-000198,-0.027609869362808463
ACH-000203,0.14817059534288352
ACH-000204,0.06390842429153969
ACH-000206,0.15838735638276985
ACH-000207,0.04054949737269167
ACH-000208,-0.03579951034275973
ACH-000210,-0.13350079471150114
ACH-000211,-0.001991035437391189
ACH-000215,-0.08313109315082545
ACH-000221,0.02070850578094864
ACH-000222,-0.002140008557272914
ACH-000223,-0.14267830471448315
ACH-000226,-0.14523315821276267
ACH-000227,-0.09234598356297563
ACH-000228,0.05191774045785395
ACH-000231,-0.0620177588613019
ACH-000232,0.025227106486036783
ACH-000233,-0.02741834470830527
ACH-000234,-0.03974484728386668
ACH-000235,-0.10578650388640863
ACH-000237,-0.026011812423801527
ACH-000238,-0.12112791438661155
ACH-000242,0.14673778833570164
ACH-000243,-0.10457617466301217
ACH-000244,0.10300185127825116
ACH-000246,0.03052323633787104
ACH-000248,0.08080721499385393
ACH-000250,-0.08499142998964701
ACH-000251,0.009480201370569449
ACH-000252,0.017200016221737547
ACH-000253,-0.01309318522260573
ACH-000255,-0.06125621229604916
ACH-000256,-0.037122020821985895
ACH-000257,0.04221542849120335
ACH-000258,0.04663244822970845
ACH-000259,-0.042744442898537516
ACH-000260,-0.09839725661799696
ACH-000261,-0.06965500860106627
ACH-000262,0.08498789092170278
ACH-000263,0.02272844984234401
ACH-000264,0.03966185327774141
ACH-000265,0.08342804379531148
ACH-000266,-0.1252945385124968
ACH-000272,-0.06423682440847497
ACH-000274,-0.1507677945855616
ACH-000277,-0.18151549464232594
ACH-000278,-0.1156955346935453
ACH-000279,-0.06161625035241941
ACH-000280,-0.0861568334512722
ACH-000281,0.05869001680410586
ACH-000288,-0.2210885450201742
ACH-000291,0.042901349920879864
ACH-000293,-0.045072528097176615
ACH-000294,-0.021270091909817164
ACH-000295,0.15536428449012646
ACH-000296,-0.10006619647390616
ACH-000302,-0.15320280035201655
ACH-000304,-0.26881273639633424
ACH-000307,-0.0814203814558786
ACH-000308,-0.08424977558088878
ACH-000310,-0.12045575265337875
ACH-000311,-0.031169714260132358
ACH-000312,-0.08604657302485355
ACH-000315,-0.0709144115380828
ACH-000316,-0.3198879727122316
ACH-000317,0.18804327017274156
ACH-000318,-0.07722450197612249
ACH-000319,-0.0967263509863333
ACH-000320,-0.11255737449566383
