,ZDHHC7 (55625)
ACH-000004,-0.42993195121041
ACH-000005,-0.3822357624833216
ACH-000007,-0.3196722825992582
ACH-000009,-0.1770245659418309
ACH-000011,-0.3535483910854916
ACH-000012,-0.24479029551950826
ACH-000013,-0.2738394053806801
ACH-000014,-0.2328885189269343
ACH-000015,-0.17626672543711847
ACH-000017,-0.1294525638707555
ACH-000018,-0.2811803322038972
ACH-000019,-0.1536959575066583
ACH-000021,-0.2819888381410464
ACH-000022,-0.185934253086656
ACH-000025,-0.405231045083834
ACH-000028,-0.03024479757860221
ACH-000030,-0.180312515620888
ACH-000035,-0.3571358876422448
ACH-000036,-0.5330141991541211
ACH-000037,-0.3453534542101465
ACH-000039,-0.388155550144803
ACH-000040,-0.2636122492744123
ACH-000041,-0.07479252208046497
ACH-000042,-0.2537013907010059
ACH-000045,-0.2417770769114221
ACH-000047,-0.2254863770869503
ACH-000052,-0.101557658610256
ACH-000053,-0.2633306462289343
ACH-000054,-0.2421388721264849
ACH-000055,-0.1917110389167256
ACH-000060,-0.17266472272527938
ACH-000067,-0.19902694557970746
ACH-000070,-0.4290453073028693
ACH-000075,-0.2624214824899529
ACH-000078,-0.3337637182998714
ACH-000082,-0.2781827220788751
ACH-000085,-0.36344341039271627
ACH-000086,-0.403720468973779
ACH-000087,-0.27338923356593725
ACH-000092,-0.2188163067219796
ACH-000095,-0.35286944109022605
ACH-000097,-0.23148446030368386
ACH-000098,-0.4726492341150376
ACH-000099,-0.2553718591237565
ACH-000108,-0.4859049525591925
ACH-000113,-0.23084106174465696
ACH-000116,-0.03636506994104844
ACH-000118,-0.12864822242452315
ACH-000120,-0.33127224946517536
ACH-000123,-0.2904803001250971
ACH-000127,-0.2650673796584855
ACH-000128,-0.3018214775605016
ACH-000132,-0.21413425730847188
ACH-000133,-0.1680511134577167
ACH-000137,-0.19791323423049856
ACH-000138,-0.30250671914878524
ACH-000142,-0.1935507838782541
ACH-000143,-0.2362269983561708
ACH-000146,-0.2819138007380585
ACH-000148,-0.27656281685589684
ACH-000150,-0.2220337660613966
