,EWSR1 (2130)
ACH-000004,-0.8431125945015383
ACH-000005,-0.6611717634965424
ACH-000007,-0.9031292895485508
ACH-000009,-0.8673448195681696
ACH-000011,-0.6560202989538002
ACH-000012,-1.0196539868695025
ACH-000013,-1.0142137333876171
ACH-000014,-0.8689192956948742
ACH-000015,-0.7833754510429186
ACH-000017,-0.7041232980582903
ACH-000018,-0.8077265776963515
ACH-000019,-0.971509428183868
ACH-000021,-0.8253061460520126
ACH-000022,-0.8118945460583946
ACH-000025,-0.724265006881111
ACH-000028,-0.9197608936314032
ACH-000030,-0.8746441123322622
ACH-000035,-0.7410412380931669
ACH-000036,-0.9465725913935048
ACH-000037,-0.9528362914101399
ACH-000039,-1.073205565576995
ACH-000040,-0.6918467625390565
ACH-000041,-1.3665836334580144
ACH-000042,-0.7468265165446569
ACH-000045,-0.4317115847764752
ACH-000047,-0.8951239179699151
ACH-000052,-1.1581187514687403
ACH-000053,-0.7292485403860717
ACH-000054,-0.8161605186832255
ACH-000055,-0.9317925921078654
ACH-000060,-0.600810380547214
ACH-000067,-0.8961769697391171
ACH-000070,-0.8583457577953704
ACH-000075,-0.8112387049414509
ACH-000078,-0.6376913203997654
ACH-000082,-0.5397268268249117
ACH-000085,-1.0418560379176858
ACH-000086,-0.6875338153749277
ACH-000087,-1.221603047831937
ACH-000092,-0.6942791866148207
ACH-000095,-0.8976193014184399
ACH-000097,-0.7509553719363057
ACH-000098,-0.7120599833530066
ACH-000099,-0.7819723493771673
ACH-000108,-0.8486310672107632
ACH-000113,-0.620211669202134
ACH-000116,-0.9055053059632386
ACH-000118,-0.8221939726344503
ACH-000120,-0.9018471308336428
ACH-000123,-0.7338614147268788
ACH-000127,-0.8699780983691751
ACH-000128,-0.8051074584845329
ACH-000132,-0.7701699122360453
ACH-000133,-0.7573530786707975
ACH-000137,-0.9779242204383636
ACH-000138,-0.8316193594104535
ACH-000142,-0.8115235694059453
ACH-000143,-0.6448628016445439
ACH-000146,-0.5331799740126003
ACH-000148,-0.9213825348060156
ACH-000150,-0.7726305989074613
ACH-000152,-0.8786527913058414
ACH-000153,-0.918726190806296
ACH-000159,-0.6750485597502581
ACH-000160,-1.053068111237129
ACH-000163,-0.7633965271039022
ACH-000167,-0.9283314700753584
ACH-000168,-1.015786908183366
ACH-000169,-0.6747376650574942
ACH-000178,-0.5324526361964539
ACH-000183,-0.8327352681929074
ACH-000188,-0.5618596308915396
ACH-000189,-0.6658311783611878
ACH-000190,-0.7230997348997883
ACH-000198,-0.9896094794489768
ACH-000203,-0.7893331271478591
ACH-000204,-0.7008808576351868
ACH-000206,-0.7945100278264899
ACH-000207,-0.7260336237056358
ACH-000208,-0.7419431540164277
ACH-000210,-0.8674338309154799
ACH-000211,-1.020265024051629
ACH-000215,-0.7486565117918634
ACH-000221,-0.7543769197699964
ACH-000222,-0.6010474813284366
ACH-000223,-0.8951372596640431
ACH-000226,-0.8778856580823765
ACH-000227,-0.7057194442140454
ACH-000228,-0.7850553655132635
ACH-000231,-0.7099916148362714
ACH-000232,-0.9810621227738756
ACH-000233,-0.7179541478749542
ACH-000234,-0.8094129878686093
ACH-000235,-0.6298724821855373
ACH-000237,-0.6642141001700351
ACH-000238,-0.8652669272743969
ACH-000242,-0.4694944010941621
ACH-000243,-0.7894381728996809
ACH-000244,-0.7971691852997592
ACH-000246,-0.6287092537578383
ACH-000248,-0.8217366490146228
ACH-000250,-0.8284511958787576
ACH-000251,-0.5419251169981333
ACH-000252,-0.9143220597567178
ACH-000253,-0.7336383950134333
ACH-000255,-1.0295603562626534
ACH-000256,-0.9391547442684258
ACH-000257,-0.5801255641764073
ACH-000258,-0.7972082602419001
ACH-000259,-0.8346538751321924
ACH-000260,-0.7898743375200892
ACH-000261,-0.5656286183215391
ACH-000262,-0.8900841331935029
ACH-000263,-1.0821805132245563
