,MAZ (4150)
ACH-000004,-0.35331588551696835
ACH-000005,-0.07884243824149717
ACH-000007,-0.2201303097370456
ACH-000009,0.030505119174032667
ACH-000011,-0.2837246027178884
ACH-000012,-0.04280276809977015
ACH-000013,-0.24093284462018055
ACH-000014,-0.15178987262813096
ACH-000015,-0.2157598658577069
ACH-000017,-0.26066660236906936
ACH-000018,-0.15126953274748098
ACH-000019,-0.1876802795981538
ACH-000021,-0.18358886198914434
ACH-000022,-0.10083823610702508
ACH-000025,-0.1090022292969426
ACH-000028,-0.1935955445905628
ACH-000030,0.05426531094401072
ACH-000035,-0.1188444801155941
ACH-000036,-0.05955385163513376
ACH-000037,-0.19547663754814576
ACH-000039,-0.058537625806867215
ACH-000040,-0.1262726595395066
ACH-000041,-0.13089499454997192
ACH-000042,-0.037495216564174295
ACH-000045,-0.2291737391939295
ACH-000047,-0.18940073205286495
ACH-000052,-0.1598712575350331
ACH-000053,0.0099250039964461
ACH-000054,-0.19606777226856126
ACH-000055,-0.034294820659748516
ACH-000060,-0.18587095233602746
ACH-000067,-0.04189128083533875
ACH-000070,-0.08531110165178878
ACH-000075,-0.3421022264645515
ACH-000078,-0.10921318168946613
ACH-000082,-0.15125317564562862
ACH-000085,-0.2319840345915236
ACH-000086,-0.02931313459052145
ACH-000087,-0.4261203555030469
ACH-000092,-0.1780705564573501
ACH-000095,-0.1504189517709795
ACH-000097,-0.25711107685617085
ACH-000098,-0.2009273866522109
ACH-000099,-0.1388016292043944
ACH-000108,-0.03290679204931782
ACH-000113,-0.13485602449670372
ACH-000116,-0.1739046868591357
ACH-000118,-0.017161037048441224
ACH-000120,-0.21800908917248987
ACH-000123,-0.047704131083131984
ACH-000127,-0.3613094306814581
ACH-000128,-0.20307610867699655
ACH-000132,-0.1495885828734442
ACH-000133,-0.04916998218134614
ACH-000137,-0.08292156211531752
ACH-000138,-0.04126072637617157
ACH-000142,-0.2118966439177009
ACH-000143,-0.3366798217548709
ACH-000146,-0.17972507793491713
ACH-000148,-0.2044263562237761
ACH-000150,-0.17199785888809255
ACH-000152,-0.11381859398197686
