,RBM8A (9939)
ACH-000004,-0.9864655641591701
ACH-000005,-1.4708057268127164
ACH-000007,-1.0284622950092726
ACH-000009,-1.1839583794238269
ACH-000011,-1.0961839069806238
ACH-000012,-1.0217114555735105
ACH-000013,-1.0031081207395551
ACH-000014,-1.139070185200064
ACH-000015,-1.201414563979356
ACH-000017,-1.4276946446999568
ACH-000018,-1.3167509278201308
ACH-000019,-0.8494293842270624
ACH-000021,-1.0507873371458198
ACH-000022,-1.4257549965770773
ACH-000025,-0.8901745065175007
ACH-000028,-0.8379262417118479
ACH-000030,-1.4053888230019014
ACH-000035,-1.0101552073390914
ACH-000036,-1.0976592188032122
ACH-000037,-1.379032396820543
ACH-000039,-1.4518464372942623
ACH-000040,-1.2085450095564598
ACH-000041,-1.061004984675028
ACH-000042,-1.1321041653660318
ACH-000045,-1.336558142422747
ACH-000047,-1.0696919005842402
ACH-000052,-1.3887227588522169
ACH-000053,-1.0452431224199985
ACH-000054,-1.2473014684213315
ACH-000055,-1.1437115071571309
ACH-000060,-1.23803789119519
ACH-000067,-0.9394512159494908
ACH-000070,-0.7888342666475429
ACH-000075,-0.985844633243565
ACH-000078,-1.0942182004397254
ACH-000082,-0.8492888922769108
ACH-000085,-0.9594727091208168
ACH-000086,-1.0348770022031408
ACH-000087,-1.1243734987225074
ACH-000092,-1.1569193929185502
ACH-000095,-1.07572619322899
ACH-000097,-0.8547341215317378
ACH-000098,-1.0559158239068442
ACH-000099,-1.1410303196775111
ACH-000108,-0.9903286932176296
ACH-000113,-1.3449549988506115
ACH-000116,-0.8673648144559248
ACH-000118,-1.2187649147655235
ACH-000120,-1.1286299018128627
ACH-000123,-1.2669737975176132
ACH-000127,-1.2276487288250264
ACH-000128,-1.0385238601404232
ACH-000132,-0.9142399507266238
ACH-000133,-0.8407843185664295
ACH-000137,-1.055009392189776
ACH-000138,-1.0495727132532813
ACH-000142,-0.9927363817726323
ACH-000143,-1.1314812371570486
ACH-000146,-0.9623217845790236
ACH-000148,-1.2088821812387949
ACH-000150,-1.1043928621576122
ACH-000152,-1.0840771907126387
ACH-000153,-1.5583252010421391
ACH-000159,-0.6877987723806779
ACH-000160,-1.1047106613501911
ACH-000163,-1.1057138000439628
ACH-000167,-1.5766339534589366
ACH-000168,-1.1544577091517385
ACH-000169,-1.0208713775316829
ACH-000178,-0.9238193530440604
ACH-000183,-1.141862535178535
ACH-000188,-1.1664761192481012
ACH-000189,-1.101773900401854
ACH-000190,-1.045380780662777
ACH-000198,-1.3121968984816796
ACH-000203,-1.0751128086824813
ACH-000204,-0.9432757921228792
ACH-000206,-1.4433494647293776
ACH-000207,-1.5261330934852408
ACH-000208,-0.8639327721867158
ACH-000210,-1.550070692690669
ACH-000211,-1.098149489383307
ACH-000215,-1.0043037187693964
ACH-000221,-1.2831902462759968
ACH-000222,-1.4448109302460472
ACH-000223,-1.5106418251608735
ACH-000226,-1.14741116763568
ACH-000227,-1.1812599992944308
ACH-000228,-1.4992580469010222
ACH-000231,-1.0759378460331444
ACH-000232,-0.8643702608825393
ACH-000233,-1.213680769534561
ACH-000234,-1.049972269747404
ACH-000235,-1.1877940331819548
ACH-000237,-1.2933070752652789
ACH-000238,-1.4255400075432632
ACH-000242,-1.2546495251186045
ACH-000243,-1.301493216477645
ACH-000244,-1.345244240753587
ACH-000246,-0.7774899765977755
ACH-000248,-1.2163329105842258
ACH-000250,-1.1125534820685228
ACH-000251,-1.5594861473382458
ACH-000252,-1.1512641333995397
ACH-000253,-1.074102961101823
ACH-000255,-0.9895319270866856
ACH-000256,-1.2286622745490745
ACH-000257,-1.1229795748019935
ACH-000258,-0.9838982145095976
ACH-000259,-1.2157648134373562
ACH-000260,-1.1256811929673638
ACH-000261,-0.7774416540873015
ACH-000262,-1.1325158789562564
ACH-000263,-1.1724645522676842
ACH-000264,-1.035662132418636
ACH-000265,-1.173690760842456
ACH-000266,-1.1730746403881835
ACH-000272,-1.1066994322109889
ACH-000274,-1.0381216087848963
ACH-000277,-1.2535826239664931
ACH-000278,-1.357505658623226
ACH-000279,-1.1942563414019034
ACH-000280,-0.9011130593709888
ACH-000281,-1.2228368954375208
ACH-000288,-1.0487059111469197
ACH-000291,-1.153231779649596
ACH-000293,-1.3270731919204322
ACH-000294,-0.9880030165876952
ACH-000295,-1.218028691621446
ACH-000296,-1.131936411808145
ACH-000302,-0.9866212366859084
ACH-000304,-1.1885586714442289
ACH-000307,-1.3943314325737342
ACH-000308,-0.8925394831734389
ACH-000310,-0.917284867878454
ACH-000311,-0.9973962620426058
ACH-000312,-0.9803541875215714
ACH-000315,-1.407454974633968
ACH-000316,-0.9848208044964424
ACH-000317,-1.3666496258686665
ACH-000318,-0.9483500547802516
ACH-000319,-1.0137188703185047
ACH-000320,-1.2062384920115374
ACH-000322,-1.1142360462371923
ACH-000323,-1.244133647297175
ACH-000324,-1.0221806485044973
ACH-000329,-1.0691842655873651
ACH-000330,-0.6842558378548801
ACH-000331,-1.117340429648482
ACH-000332,-1.081617511127232
ACH-000334,-1.0668775527555363
ACH-000335,-1.204428660945854
ACH-000336,-1.0964710951068064
