,SIVA1 (10572)
ACH-000004,-0.4438636641598352
ACH-000005,-0.3409282431713426
ACH-000007,-0.457268408519503
ACH-000009,-0.32774590362316225
ACH-000011,-0.040549536789746064
ACH-000012,-0.4622002441065014
ACH-000013,-0.36258399180630574
ACH-000014,-0.17223451611367174
ACH-000015,-0.07828008733781476
ACH-000017,-0.3042275533941215
ACH-000018,-0.43097374422266976
ACH-000019,-0.4298572709978574
ACH-000021,-0.3998593121027145
ACH-000022,-0.3258913343128434
ACH-000025,-0.29693023195709195
ACH-000028,-0.5257258099850014
ACH-000030,-0.1496277695902374
ACH-000035,-0.10570121899883883
ACH-000036,-0.07859228678946001
ACH-000037,-0.3813598333389714
ACH-000039,-0.13882335636251478
ACH-000040,-0.2816326567998216
ACH-000041,-0.4046747608381812
ACH-000042,-0.3205112145219121
ACH-000045,-0.07222886133255367
ACH-000047,-0.5663510558104198
ACH-000052,-0.2711027281197819
ACH-000053,-0.20535447973227944
ACH-000054,-0.3105951478766017
ACH-000055,-0.780864925718745
ACH-000060,-0.44531399235324143
ACH-000067,-0.2875108763461973
ACH-000070,-0.3824127509401992
ACH-000075,-0.29005492457474
ACH-000078,-0.4081405501250079
ACH-000082,-0.33065892481466225
ACH-000085,-0.27893332788369346
ACH-000086,-0.28975657014894024
ACH-000087,-0.32143548023116997
ACH-000092,-0.26180876404994724
ACH-000095,-0.3326662548842809
ACH-000097,-0.4306423738616572
ACH-000098,-0.24695011751541646
ACH-000099,-0.5661325696301339
ACH-000108,-0.4490138027348268
ACH-000113,-0.15411258842945036
ACH-000116,-0.5794838716220662
ACH-000118,-0.2732600857513974
ACH-000120,-0.5932227810458699
ACH-000123,-0.8065372617543229
ACH-000127,-0.265915075770898
ACH-000128,-0.3635512141028598
ACH-000132,-0.2402779927170359
ACH-000133,-0.6551532004626349
ACH-000137,-0.14416934343582075
ACH-000138,-0.3859033540439033
ACH-000142,-0.3050431213950638
ACH-000143,-0.2447440425557232
ACH-000146,-0.5565634273503518
ACH-000148,-0.27206640275913524
ACH-000150,-0.3438022120016196
ACH-000152,-0.19758726430480056
ACH-000153,-0.2432306736856621
ACH-000159,-0.22801495646163356
ACH-000160,-0.8634466470813258
ACH-000163,-0.35337622545440256
ACH-000167,-0.2762915416631248
ACH-000168,-0.5159422725515691
ACH-000169,-0.40241705742460576
ACH-000178,-0.11866229235945674
ACH-000183,-0.32094178747641905
ACH-000188,-0.15308618771058313
ACH-000189,-0.05513098901520496
ACH-000190,-0.4976938847170245
ACH-000198,-0.3740125134705858
ACH-000203,-0.8173430554824924
ACH-000204,-0.24475686175420525
ACH-000206,-0.4605955541842956
ACH-000207,-0.2346674056481746
ACH-000208,-0.31307928310231964
ACH-000210,-0.6809438324941066
ACH-000211,-0.29406435859238084
ACH-000215,-0.18249526433566635
ACH-000221,-0.2812202255214514
ACH-000222,-0.02665637076370854
ACH-000223,-0.10353667279812397
ACH-000226,-0.10028665218456362
ACH-000227,-0.49038061141593503
ACH-000228,-0.5987827671140348
ACH-000231,-0.3795292479264613
ACH-000232,-0.3531260968402984
ACH-000233,-0.2974072340148096
ACH-000234,-0.1819621786689332
ACH-000235,-0.33861361502848264
ACH-000237,-0.026063981790772548
ACH-000238,-0.5990036973246902
ACH-000242,0.017366326901583167
ACH-000243,-0.16163514618956892
ACH-000244,-0.023830059578378502
ACH-000246,-0.3491021618156783
ACH-000248,-0.2321195192251428
ACH-000250,-0.2536956845640993
ACH-000251,-0.3608942390959694
ACH-000252,-0.039820332176464274
ACH-000253,-0.2660261233183997
ACH-000255,-0.2023180160807701
ACH-000256,-0.2663493364800092
ACH-000257,-0.5448614893074994
ACH-000258,-0.4068761156351919
ACH-000259,-0.28134256292576243
ACH-000260,-0.5595941380702815
ACH-000261,-0.3838191905183028
ACH-000262,-0.16281820704439254
ACH-000263,-0.0796334997348537
ACH-000264,-0.5334486850375717
ACH-000265,-0.8062658365745419
ACH-000266,-0.2649850218370983
ACH-000272,-0.30582726059003434
ACH-000274,-0.2369100658161428
ACH-000277,-0.3753366207888405
ACH-000278,-0.2672696590014125
ACH-000279,-0.21479128699202804
ACH-000280,-0.3630140204472656
ACH-000281,-0.1838101662353538
ACH-000288,-0.15151363713136
ACH-000291,-0.19018068723734294
ACH-000293,-0.2273575965244505
ACH-000294,-0.2689243559024741
ACH-000295,-0.31522594650353275
ACH-000296,-0.3817425541990853
ACH-000302,-0.30760819244547805
ACH-000304,-0.3730507456119437
ACH-000307,-0.3376000548117535
ACH-000308,-0.4083629570576661
ACH-000310,-0.5568782790054765
ACH-000311,-0.2395228175903008
ACH-000312,-0.2880417775595317
ACH-000315,-0.2953962109874261
ACH-000316,-0.08703555413805021
ACH-000317,-0.3381732677080058
ACH-000318,-0.16430708562676394
ACH-000319,-0.3254165019545793
ACH-000320,-0.15769895814012055
ACH-000322,-0.33610347632472226
ACH-000323,-0.3867758553759522
ACH-000324,-0.17906380444334974
ACH-000329,-0.35281931280738504
ACH-000330,-0.4591042604954575
ACH-000331,-0.2889257243512656
ACH-000332,-0.35199050292102874
ACH-000334,-0.4377684990795605
ACH-000335,0.06078104108465436
ACH-000336,-0.23155932342699856
ACH-000337,-0.05337379146760065
ACH-000338,-0.3117083221123529
ACH-000339,-0.2925209591357811
ACH-000341,-0.5533244851281099
ACH-000348,-0.3614509802758257
ACH-000350,-0.4498630178440358
ACH-000352,-0.7889086729307767
ACH-000356,-0.15165502261777986
ACH-000361,-0.13353856903977954
ACH-000362,-0.15322733505071096
ACH-000363,-0.3813683700991049
ACH-000364,-0.4461300239558459
ACH-000365,-0.2453494833348781
ACH-000366,-0.3681255188767281
ACH-000368,-0.4044931078667615
ACH-000374,-0.2623200334957642
ACH-000375,-0.6932140516065685
ACH-000376,-0.13809369957582315
ACH-000381,-0.2913025178115551
ACH-000383,-0.2856477418494578
ACH-000387,-0.4877303290454396
ACH-000389,-0.3245434455684501
ACH-000390,-0.12451709140957233
ACH-000393,-0.29706151408021336
ACH-000395,-0.4305942462923068
ACH-000396,-0.14857770766846973
ACH-000397,-0.18265188211514874
ACH-000401,-0.4736380788519101
ACH-000402,-0.507654494366674
ACH-000403,-0.32072691714393764
ACH-000404,-0.5792176132579623
ACH-000406,-0.1888287532768698
ACH-000407,-0.3215952639815697
ACH-000408,-0.30568806393917985
ACH-000410,-0.2530101557636352
ACH-000411,-0.3688342120702376
ACH-000414,-0.10457619146090642
ACH-000415,-0.3929378504068707
ACH-000416,-0.2831476977570107
ACH-000420,-0.03726067959206169
ACH-000421,-0.5674894253417296
ACH-000424,-0.5259576319518627
ACH-000425,-0.16616828712306886
ACH-000426,-0.14415957759537687
ACH-000427,-0.5754949967811009
ACH-000433,-0.6067751925243821
ACH-000435,-0.6484085288884859
ACH-000436,-0.2493125866938189
ACH-000444,-0.5814994376184845
ACH-000445,-0.4096000563817272
ACH-000448,-0.3726507871010581
ACH-000450,-0.2529704097626593
ACH-000452,-0.20112104392191316
ACH-000454,-0.2491859637873025
ACH-000458,-0.28758850913415696
ACH-000459,-0.413251223417048
ACH-000460,-0.2236519275903915
ACH-000461,-0.2757867707205807
ACH-000463,-0.12901772436264075
ACH-000464,-0.1661759818631054
ACH-000466,-0.17681412553083084
ACH-000467,-0.2965385609044396
ACH-000468,-0.1874799577102353
ACH-000469,-0.500397904515222
ACH-000470,-0.2402176326661295
ACH-000471,-0.2960668402284793
ACH-000472,-0.2513374304423812
ACH-000473,-0.201256831966639
ACH-000475,-0.276116073039022
ACH-000476,-0.144601255867852
ACH-000477,-0.3051996637786344
ACH-000479,-0.335454726421759
