,TRIM49B (283116)
ACH-000004,-0.3103795210414479
ACH-000005,-0.2132503973956306
ACH-000007,-0.19206159435801887
ACH-000009,-0.1672217487874729
ACH-000011,-0.23372793187396715
ACH-000012,-0.16573296761365686
ACH-000013,-0.2247054292213045
ACH-000014,-0.17681433512952774
ACH-000015,-0.1856926047975096
ACH-000017,0.015735818893348845
ACH-000018,-0.21094958549188453
ACH-000019,-0.1967923638210623
ACH-000021,-0.32229669442857445
ACH-000022,-0.17688053442908244
ACH-000025,-0.15324374824980047
ACH-000028,-0.1919912404209015
ACH-000030,-0.3294809449934987
ACH-000035,-0.27652622063328114
ACH-000036,-0.19185123537246151
ACH-000037,-0.0843837402203073
ACH-000039,-0.049466438587904664
ACH-000040,-0.193929726198062
ACH-000041,-0.26051099000055555
ACH-000042,-0.2334864875901698
ACH-000045,-0.08705257442076976
ACH-000047,-0.08981410673781272
ACH-000052,-0.14174750423201507
ACH-000053,-0.13920502801024598
ACH-000054,-0.11515991590499645
ACH-000055,-0.29891081901512384
ACH-000060,-0.2428311291888912
ACH-000067,-0.24877892591799425
ACH-000070,-0.3167217461978884
ACH-000075,-0.313756114195803
ACH-000078,-0.2394090009220323
ACH-000082,-0.1279416790892623
ACH-000085,-0.06819896629731065
ACH-000086,-0.2626551858717693
ACH-000087,-0.07122757769269399
ACH-000092,-0.1255984093133548
ACH-000095,-0.24452069036091764
ACH-000097,-0.20221851008759895
ACH-000098,-0.19179037665751045
ACH-000099,-0.2191458024888766
ACH-000108,-0.21801902571833628
ACH-000113,-0.2333386915055061
ACH-000116,-0.3254703943997178
ACH-000118,-0.12186494513838345
ACH-000120,-0.15501703478401524
ACH-000123,-0.15271109688742834
ACH-000127,-0.20147016711046892
ACH-000128,-0.19626371340991436
ACH-000132,-0.04440328184916986
ACH-000133,-0.2973600150952518
ACH-000137,-0.3216324002340885
ACH-000138,-0.1659798452268504
ACH-000142,-0.10801271582009288
ACH-000143,-0.1961955430548215
ACH-000146,-0.1824355187183427
ACH-000148,-0.1965340766131792
ACH-000150,-0.2329679820581947
ACH-000152,-0.05994617221227809
