,NUDCD2 (134492)
ACH-000004,-0.15093998932052047
ACH-000005,0.22486887248376008
ACH-000007,-0.4472872871755951
ACH-000009,-0.22589081750933054
ACH-000011,-0.1452914635955221
ACH-000012,-0.21778043138486192
ACH-000013,-0.0949278378751984
ACH-000014,-0.2902583111205508
ACH-000015,-0.2273744357447641
ACH-000017,-0.13411353778789195
ACH-000018,-0.2872380338615676
ACH-000019,-0.09443281058825016
ACH-000021,-0.2311990779033669
ACH-000022,-0.013403478072530645
ACH-000025,-0.34474791984817704
ACH-000028,-0.2082081564607851
ACH-000030,-0.1234846275593928
ACH-000035,-0.09879788972316757
ACH-000036,-0.03736173544519771
ACH-000037,-0.3204997906323969
ACH-000039,-0.1409095998789832
ACH-000040,-0.2685542330896025
ACH-000041,-0.048393370792771
ACH-000042,-0.11729273715605805
ACH-000045,-0.1007552725485616
ACH-000047,-0.11097040909920136
ACH-000052,-0.19139806303952664
ACH-000053,-0.13154295712104375
ACH-000054,-0.18447692725504966
ACH-000055,-0.18027388627802127
ACH-000060,-0.34515431181261597
ACH-000067,-0.6179261770032051
ACH-000070,-0.19515378050578425
ACH-000075,-0.1875166472074316
ACH-000078,-0.0754360172085752
ACH-000082,-0.22142444834585395
ACH-000085,-0.058492092058933035
ACH-000086,-0.17223078817283458
ACH-000087,-0.18014463154808733
ACH-000092,-0.1677468313917676
ACH-000095,-0.22674700805322826
ACH-000097,-0.12658826303229062
ACH-000098,-0.07653247646297226
ACH-000099,-0.1479200130267265
ACH-000108,-0.2429717113790799
ACH-000113,-0.02931027757798215
ACH-000116,-0.17395254944054084
ACH-000118,-0.10706180037515396
ACH-000120,-0.16643081625250522
ACH-000123,-0.3968836376948174
ACH-000127,-0.1877551791578136
ACH-000128,-0.06354992097437702
ACH-000132,-0.1628635660490538
ACH-000133,-0.259788711417454
ACH-000137,-0.17148057723786828
ACH-000138,-0.1245280763074024
ACH-000142,-0.18426717238303544
ACH-000143,-0.18161767270002024
ACH-000146,-0.1661706958335449
ACH-000148,-0.3248278141006227
ACH-000150,-0.18204107237968206
ACH-000152,-0.0683669244989753
ACH-000153,-0.10648882741027994
ACH-000159,-0.15496581881125882
ACH-000160,0.0005432184702811859
ACH-000163,-0.1690480356753318
ACH-000167,-0.4958440311967066
ACH-000168,-0.012852596891531858
ACH-000169,-0.17170683223438218
ACH-000178,-0.35446602974076435
ACH-000183,-0.06696075088002237
ACH-000188,-0.3372828286073176
ACH-000189,-0.1950271804245841
ACH-000190,-0.2670627999572781
ACH-000198,-0.1722696940795164
ACH-000203,-0.2986905005212601
ACH-000204,-0.3193741114483539
ACH-000206,-0.05991168334965851
ACH-000207,-0.10648019182405302
ACH-000208,-0.17984097770019922
ACH-000210,-0.19687725515329613
ACH-000211,-0.36534062382848
ACH-000215,-0.045886092578420495
ACH-000221,0.06044203439771234
ACH-000222,-0.12505317193943838
ACH-000223,-0.2040822448540591
ACH-000226,-0.26621990081728303
ACH-000227,-0.13305311398825914
ACH-000228,-0.19240630622577304
ACH-000231,-0.1063343495917236
ACH-000232,-0.26566391180948484
ACH-000233,-0.21903227900033628
ACH-000234,-0.17325174028498413
ACH-000235,-0.1652329929005605
ACH-000237,-0.3357260937459906
ACH-000238,-0.3657984734873641
ACH-000242,-0.29546211561822155
ACH-000243,-0.14887324381395448
ACH-000244,-0.29076701401115623
ACH-000246,-0.22191686257940088
ACH-000248,-0.13945403619851654
ACH-000250,-0.1462209862258764
ACH-000251,-0.20784684751681595
ACH-000252,-0.4628866523289838
ACH-000253,-0.07609337196929082
ACH-000255,-0.4050702227350694
ACH-000256,-0.12696276139592208
ACH-000257,-0.3042542280499205
ACH-000258,-0.2748318728837756
ACH-000259,-0.3089323191017739
ACH-000260,-0.21470352301860832
ACH-000261,-0.2645070629146003
ACH-000262,-0.07760955055406936
ACH-000263,-0.045503110850793616
ACH-000264,-0.12104104015882795
ACH-000265,-0.02942761072443823
ACH-000266,-0.04995539759413845
ACH-000272,-0.04277043232232591
ACH-000274,-0.1152364210423234
ACH-000277,-0.1986560580174523
ACH-000278,-0.2287500347282633
ACH-000279,-0.1477399412758391
ACH-000280,-0.07458959086872108
ACH-000281,0.027630406527770646
ACH-000288,-0.28190093441304004
ACH-000291,-0.1607679245160803
ACH-000293,-0.24939288631297615
ACH-000294,-0.17741539126758035
ACH-000295,0.009072415528758588
ACH-000296,-0.1798485700294987
ACH-000302,-0.07047067024121273
ACH-000304,-0.20843075672340727
ACH-000307,-0.08961055806916662
ACH-000308,-0.16909431174509265
ACH-000310,-0.05359001035837528
ACH-000311,-0.19884255699884032
ACH-000312,-0.19193583548410195
ACH-000315,0.04909781240875585
ACH-000316,-0.10524020398628788
ACH-000317,-0.20674750729558028
ACH-000318,-0.10983970939589184
ACH-000319,-0.15303816558660244
ACH-000320,-0.24362880306619686
ACH-000322,0.021993345583376064
ACH-000323,-0.14812473262496453
ACH-000324,-0.16052347688088334
ACH-000329,-0.2502385013181239
ACH-000330,-0.18445034498892332
ACH-000331,-0.3232510868273138
ACH-000332,-0.09625045224715703
ACH-000334,-0.14243017666095706
ACH-000335,-0.2389528803248944
ACH-000336,-0.04355123280566412
ACH-000337,-0.11237236103858653
ACH-000338,-0.20510901037166845
ACH-000339,-0.2085135753254272
ACH-000341,-0.3951479779294114
ACH-000348,-0.18054123494716184
ACH-000350,-0.017315071556130955
ACH-000352,-0.39302519769387023
ACH-000356,0.033192062140862316
ACH-000361,-0.3457073934516889
ACH-000362,-0.09159365756941444
ACH-000363,-0.14093848732615066
ACH-000364,-0.06525538279640812
ACH-000365,-0.028711319387821118
ACH-000366,-0.3017826207451055
ACH-000368,-0.31356640547794257
ACH-000374,-0.3729355495596441
ACH-000375,-0.3553264113705433
ACH-000376,-0.2336222492278392
ACH-000381,-0.22674914879945945
ACH-000383,-0.1965364578518695
ACH-000387,0.018449528044474996
ACH-000389,-0.3702954860476074
ACH-000390,-0.16782515500664533
ACH-000393,-0.2545806897626877
ACH-000395,-0.06485146135638087
ACH-000396,-0.5085175471920084
ACH-000397,-0.2431618459191561
