,CCT4 (10575)
ACH-000004,-1.3352111861370772
ACH-000005,-1.1788330604495287
ACH-000007,-1.0298247318980105
ACH-000009,-1.2554683870742342
ACH-000011,-1.3318883885131696
ACH-000012,-1.196812230945213
ACH-000013,-1.3430291145973503
ACH-000014,-1.1402713848081245
ACH-000015,-1.24134767629498
ACH-000017,-1.2565857324413503
ACH-000018,-1.5314330755840573
ACH-000019,-1.313425863472378
ACH-000021,-1.3514337714483555
ACH-000022,-1.2799044427123492
ACH-000025,-1.2549260933931576
ACH-000028,-1.3153281521737157
ACH-000030,-1.393517823850476
ACH-000035,-1.2927963952694748
ACH-000036,-1.232465300952811
ACH-000037,-1.534503565782012
ACH-000039,-1.2786947556949195
ACH-000040,-1.4053484858763656
ACH-000041,-1.3231577909803518
ACH-000042,-1.2777223982615922
ACH-000045,-1.299462275451006
ACH-000047,-1.1464887156140964
ACH-000052,-1.3242362308185749
ACH-000053,-1.42760539458447
ACH-000054,-1.2522305551054262
ACH-000055,-1.274080575103003
ACH-000060,-1.2093341597919989
ACH-000067,-1.4857764012893409
ACH-000070,-1.0980971927576315
ACH-000075,-1.179663638171042
ACH-000078,-1.3176900011776091
ACH-000082,-1.196432581747486
ACH-000085,-1.3182897506792537
ACH-000086,-1.2558624452542295
ACH-000087,-1.3414303161570271
ACH-000092,-1.3299831741505117
ACH-000095,-1.3117246046003848
ACH-000097,-1.274624024215505
ACH-000098,-1.4034022052779482
ACH-000099,-1.3004581907091315
ACH-000108,-1.2587512585349705
ACH-000113,-1.215675794558157
ACH-000116,-1.2378091705818075
ACH-000118,-1.3378214944133775
ACH-000120,-1.32980041416943
ACH-000123,-1.2981020577090459
ACH-000127,-1.3634221251988452
ACH-000128,-1.280077636506862
ACH-000132,-1.3450701257657691
ACH-000133,-1.4866162451421852
ACH-000137,-1.4415937094165685
ACH-000138,-1.3281109924145411
ACH-000142,-1.210699348550345
ACH-000143,-1.2944483519457648
ACH-000146,-1.2101523443652256
ACH-000148,-1.4205803793965035
ACH-000150,-1.1985524259317852
ACH-000152,-1.3864786680403949
ACH-000153,-1.086932722426882
ACH-000159,-1.434121136764935
ACH-000160,-1.420238684649778
ACH-000163,-1.6051954682467469
ACH-000167,-2.2934165479451583
ACH-000168,-1.4496562365934798
ACH-000169,-1.2226416469359749
ACH-000178,-1.2499998072400054
ACH-000183,-1.4473748984617052
ACH-000188,-1.2929764651172675
ACH-000189,-1.0756252841355654
ACH-000190,-1.0348663198750692
ACH-000198,-1.359355335162444
ACH-000203,-1.4108650280239063
ACH-000204,-1.3832180957858684
ACH-000206,-1.1390042392063495
ACH-000207,-1.2901577127426576
ACH-000208,-1.4330894403163468
ACH-000210,-1.3523491506695426
ACH-000211,-1.5877655890132576
ACH-000215,-1.4545545842685526
ACH-000221,-1.2447783996722628
ACH-000222,-1.3532046888937497
ACH-000223,-1.3469254717612744
ACH-000226,-1.293709564958056
ACH-000227,-1.2653047643097926
ACH-000228,-1.348444521874716
ACH-000231,-1.2584064947515428
ACH-000232,-1.4304424506974338
ACH-000233,-1.3405273160420004
ACH-000234,-1.1056001032633311
ACH-000235,-1.13978307965095
ACH-000237,-1.2436118776354554
ACH-000238,-1.6608742093060749
ACH-000242,-1.028004913297428
ACH-000243,-1.3535254909061958
ACH-000244,-1.2180939690387746
ACH-000246,-1.2450487497060738
ACH-000248,-1.194844208258628
ACH-000250,-1.2821995853663828
ACH-000251,-1.3387030290418442
ACH-000252,-1.4178574445338414
ACH-000253,-1.2828790387847635
ACH-000255,-1.424660110284785
ACH-000256,-1.197256605058412
ACH-000257,-1.159841969255375
ACH-000258,-1.1720774784255084
ACH-000259,-1.1299837306553342
ACH-000260,-1.4316945694328234
ACH-000261,-1.2927500799139826
ACH-000262,-1.299876640287131
ACH-000263,-1.0837015261290028
ACH-000264,-1.1338067697531822
ACH-000265,-1.3111480743093038
ACH-000266,-1.254776256285731
ACH-000272,-1.27184801382798
ACH-000274,-1.326354783459984
ACH-000277,-1.176709938224996
ACH-000278,-1.0239391866834688
ACH-000279,-1.3128283019961138
ACH-000280,-1.2612233010275684
ACH-000281,-1.3686865748339894
ACH-000288,-1.4004003835896734
ACH-000291,-1.4885926944122532
ACH-000293,-1.1153165504957898
ACH-000294,-1.339971811093166
