,SPATA24 (202051)
ACH-000004,-0.020417212759017915
ACH-000005,-0.08402240758077881
ACH-000007,-0.010684982739194012
ACH-000009,-0.11995306203940305
ACH-000011,-0.09244612010155212
ACH-000012,-0.12842272146928424
ACH-000013,-0.2042070063787674
ACH-000014,-0.13357172088658265
ACH-000015,-0.16588665179158582
ACH-000017,-0.09555890181489403
ACH-000018,-0.1713748148732873
ACH-000019,-0.05595175995288396
ACH-000021,-0.19738659177799825
ACH-000022,-0.0081271484633356
ACH-000025,0.03841594073669023
ACH-000028,-0.14515303894428494
ACH-000030,-0.0903938439437641
ACH-000035,-0.1666394254245335
ACH-000036,-0.06759479366881653
ACH-000037,-0.13414483734798646
ACH-000039,-0.2464416094213816
ACH-000040,0.05832245385218013
ACH-000041,-0.1171598951175738
ACH-000042,-0.18036766486007813
ACH-000045,-0.2096227890246583
ACH-000047,-0.2788578470524308
ACH-000052,-0.07502984388025875
ACH-000053,-0.08160878402368307
ACH-000054,-0.27248523939745944
ACH-000055,-0.027343085592951788
ACH-000060,-0.10207421124756227
ACH-000067,-0.1581504293975707
ACH-000070,9.460011852275294e-05
ACH-000075,-0.3907084701260377
ACH-000078,0.007840036225904321
ACH-000082,-0.05275975401012327
ACH-000085,-0.2873888433439677
ACH-000086,-0.08220712584379472
ACH-000087,-0.29452643907752857
ACH-000092,-0.029591293037329387
ACH-000095,-0.03388555101369902
ACH-000097,-0.0536940483968301
ACH-000098,-0.060670378688165674
ACH-000099,-0.2112018474603572
ACH-000108,-0.16759391274550092
ACH-000113,-0.047135640938072855
ACH-000116,-0.07402726433858307
ACH-000118,-0.06851901337600133
ACH-000120,-0.09778256328430736
ACH-000123,-0.0680605856913384
ACH-000127,-0.08996585103991746
ACH-000128,-0.0944059494499335
ACH-000132,-0.1783989794058682
ACH-000133,-0.03647470323086398
ACH-000137,-0.09913623315493973
ACH-000138,-0.14255386668276346
ACH-000142,-0.16865203711802226
ACH-000143,0.007977331815486178
ACH-000146,-0.12791378277907828
ACH-000148,-0.1304672968831436
ACH-000150,-0.18548835364913252
ACH-000152,-0.08384845099881529
ACH-000153,0.13600309625946558
ACH-000159,-0.14380086947074106
ACH-000160,-0.1208065728694266
ACH-000163,-0.1458672481910091
ACH-000167,-0.2001353778029777
ACH-000168,-0.033632034181758856
ACH-000169,-0.0533289113902066
ACH-000178,-0.2428871210834345
ACH-000183,-0.2429306745744207
ACH-000188,-0.08936904807792409
ACH-000189,-0.09167215055739417
ACH-000190,-0.05971051841299922
ACH-000198,-0.029003024675506188
ACH-000203,-0.07154608080294261
ACH-000204,-0.3423598215285987
ACH-000206,-0.04807825182204653
ACH-000207,-0.03758874731642058
ACH-000208,-0.22287581941896434
ACH-000210,-0.18606327807583356
ACH-000211,-0.20151443258699792
ACH-000215,-0.08430089239234344
ACH-000221,-0.12481544999590785
ACH-000222,-0.3160037416921009
ACH-000223,-0.07484440759987772
ACH-000226,-0.09004051422095312
ACH-000227,-0.0041778472652811505
ACH-000228,-0.07740727737024293
ACH-000231,-0.1651090357993881
ACH-000232,-0.19806924522215327
ACH-000233,-0.2857602844205822
ACH-000234,0.1025734126547596
ACH-000235,-0.12537798479805098
ACH-000237,-0.08807760257838569
ACH-000238,-0.13303667525851176
ACH-000242,-0.12748923410741606
ACH-000243,-0.13019067931534606
ACH-000244,-0.052782273315857664
ACH-000246,-0.19833979251224845
ACH-000248,-0.029929115163793964
ACH-000250,-0.19574967306712934
ACH-000251,-0.07320126987409069
ACH-000252,-0.03221829340194776
ACH-000253,-0.10872610320415116
ACH-000255,-0.16936759163330625
ACH-000256,-0.08571820058460211
ACH-000257,-0.05185389059318599
ACH-000258,-0.2988044376300898
ACH-000259,-0.1318183454569145
ACH-000260,-0.16855016869401973
ACH-000261,-0.046397816804664316
ACH-000262,0.016378709913192492
ACH-000263,-0.17614314559435554
ACH-000264,-0.129856614527396
ACH-000265,-0.066658077760127
ACH-000266,-0.15456621948751764
ACH-000272,-0.1050637691832099
ACH-000274,-0.08508796376055629
ACH-000277,-0.12683301064343255
ACH-000278,-0.006296939497796195
ACH-000279,-0.17403939555068865
ACH-000280,-0.3392480185926495
ACH-000281,-0.2023644976760522
ACH-000288,-0.17141995315437014
ACH-000291,-0.14724123754159332
ACH-000293,-0.2434974384049336
ACH-000294,0.033695512361270295
ACH-000295,0.02199100330859281
ACH-000296,-0.2758069720877633
ACH-000302,-0.023214426847771287
ACH-000304,-0.03480927046688294
ACH-000307,-0.043598028594186135
ACH-000308,-0.2002054198059357
ACH-000310,-0.14192724392924766
ACH-000311,-0.09533785344571458
ACH-000312,-0.16278998944172665
ACH-000315,-0.1801815372802106
ACH-000316,-0.16282677878438315
ACH-000317,-0.15608320559152464
ACH-000318,-0.07918168060321233
ACH-000319,-0.13859858140801204
ACH-000320,-0.18569020985467785
ACH-000322,-0.13685157343086635
ACH-000323,-0.028442661621752744
ACH-000324,-0.10341705232793193
ACH-000329,-0.12377434574009245
ACH-000330,-0.028558006454808695
ACH-000331,-0.16012464362784273
ACH-000332,-0.16666956142275788
ACH-000334,-0.1879804757863423
ACH-000335,-0.08732346922859971
ACH-000336,-0.11746805395376482
ACH-000337,-0.2730991268663317
ACH-000338,-0.6107553421514272
ACH-000339,-0.05950027838527142
ACH-000341,-0.15766294614470014
ACH-000348,-0.11243699599914136
ACH-000350,-0.18313381805345155
ACH-000352,-0.0113008703595798
ACH-000356,-0.25646321779631204
ACH-000361,-0.09207544367442907
ACH-000362,-0.0020384978805695017
ACH-000363,-0.1347697244402451
ACH-000364,-0.06626708412000339
ACH-000365,-0.07527275777463564
ACH-000366,-0.2171248189509898
ACH-000368,-0.14392713819260494
ACH-000374,-0.13038526140130008
ACH-000375,0.02507455966914943
ACH-000376,-0.1852353629313499
