,SDHC (6391)
ACH-000004,-0.7256826335123825
ACH-000005,-0.670047506141205
ACH-000007,-0.6394848052582034
ACH-000009,-0.8079809443527035
ACH-000011,-0.6240963765802786
ACH-000012,-0.4861545126178741
ACH-000013,-0.2963700700851996
ACH-000014,-0.6974608703567591
ACH-000015,-0.5080567751529934
ACH-000017,-0.5526214165016021
ACH-000018,-0.6276057151117658
ACH-000019,-0.7225044825137279
ACH-000021,-0.6040194009591949
ACH-000022,-0.4970084724466884
ACH-000025,-0.4558346157174419
ACH-000028,-0.5817518542208375
ACH-000030,-0.7654165369859302
ACH-000035,-0.5603989929716251
ACH-000036,-0.15747257675514545
ACH-000037,-0.4082705297071239
ACH-000039,-0.7504205660014939
ACH-000040,-0.4330378320064677
ACH-000041,-0.5435221993357189
ACH-000042,-0.5591906163811714
ACH-000045,-0.3265536328389354
ACH-000047,-0.8421257184068214
ACH-000052,-0.4730984642782882
ACH-000053,-0.8443213145797653
ACH-000054,-0.6569856087658035
ACH-000055,-0.7311438459815164
ACH-000060,-0.5476041622400301
ACH-000067,-0.6469023074050694
ACH-000070,-0.9510590729187162
ACH-000075,-0.3509470437622081
ACH-000078,-0.40835729541880256
ACH-000082,-0.41114215683175537
ACH-000085,-0.36331911733941147
ACH-000086,-0.4426117189673328
ACH-000087,-0.6232634938256321
ACH-000092,-0.2270291729809892
ACH-000095,-0.4117351813710843
ACH-000097,-0.7243805148296637
ACH-000098,-0.4914013304714134
ACH-000099,-0.5736167849328292
ACH-000108,-0.4504486710436788
ACH-000113,-0.5910282626235364
ACH-000116,-0.3176286283279425
ACH-000118,-0.6484421688121247
ACH-000120,-0.5083239835387954
ACH-000123,-0.39079315166797857
ACH-000127,-0.7862648937321307
ACH-000128,-0.5409907566900974
ACH-000132,-0.5521246739197643
ACH-000133,-0.5039727181115098
ACH-000137,-0.4656648797854054
ACH-000138,-0.7748861421352079
ACH-000142,-0.4670303309269059
ACH-000143,-0.3985927356086064
ACH-000146,-0.7550055661419135
ACH-000148,-0.5249751283542116
ACH-000150,-0.5107481340716129
ACH-000152,-0.5744298719227009
ACH-000153,-0.5985957515862965
ACH-000159,-0.5210478119587287
ACH-000160,-0.5540497610962924
ACH-000163,-0.4135128508474741
ACH-000167,-0.6306006998775494
ACH-000168,-0.5697194064692342
ACH-000169,-0.5881107141072912
ACH-000178,-0.54788392129284
ACH-000183,-0.7444048201428928
ACH-000188,-0.3967718427956978
ACH-000189,-0.7186263266754345
ACH-000190,-0.6731977967195113
ACH-000198,-0.5846224515772619
ACH-000203,-1.1601903434754752
ACH-000204,-0.4383029757562781
ACH-000206,-0.4084105958524651
ACH-000207,-0.7021295006376974
ACH-000208,-0.17719650721704625
ACH-000210,-0.8329028674061391
ACH-000211,-0.36801511632458106
ACH-000215,-0.3815960271994308
ACH-000221,-0.6153913937273436
ACH-000222,-0.8771917170233213
ACH-000223,-0.7246127323215575
ACH-000226,-0.6578281875520704
ACH-000227,-0.9825142525844686
ACH-000228,-0.6949558809487978
ACH-000231,-0.3715831115768087
ACH-000232,-0.4043124353471344
ACH-000233,-0.6381201666327967
ACH-000234,-0.4650885302199852
ACH-000235,-0.6946195141164015
ACH-000237,-0.3206227657046837
ACH-000238,-0.4592926787212629
ACH-000242,-0.3668530461904458
ACH-000243,-0.454773389756057
ACH-000244,-0.4653221152452493
ACH-000246,-0.6356107727565651
ACH-000248,-0.4893109101563223
ACH-000250,-0.5905485206086294
ACH-000251,-0.4855276038360801
ACH-000252,-0.6126700604195393
ACH-000253,-0.6389228240171696
ACH-000255,-0.4457159418883397
ACH-000256,-0.6180526146299447
ACH-000257,-0.8552082445431611
ACH-000258,-0.7872443062883999
ACH-000259,-0.7668140586041476
ACH-000260,-0.4338667792271906
ACH-000261,-0.5893416688516038
ACH-000262,-0.4433731251050743
ACH-000263,-0.7054791961506682
ACH-000264,-0.8408627856660768
ACH-000265,-0.5596019023969653
ACH-000266,-0.373463171366823
ACH-000272,-0.6464738077117478
ACH-000274,-0.4247146256936381
ACH-000277,-0.7716066712282847
ACH-000278,-0.590244273320489
ACH-000279,-0.6352995155137597
ACH-000280,-0.34125312670549834
ACH-000281,-0.7115912912402517
ACH-000288,-0.6828318366708326
ACH-000291,-0.5052591346205793
ACH-000293,-0.5588489962239633
ACH-000294,-0.8074840766114125
ACH-000295,-0.7405611523536558
