,MAP1LC3A (84557)
ACH-000004,-0.3362667512915399
ACH-000005,-0.18349158873909324
ACH-000007,-0.21170796222689944
ACH-000009,-0.2507493797171656
ACH-000011,-0.19950112712410545
ACH-000012,-0.08014222150198602
ACH-000013,-0.03717146953674495
ACH-000014,-0.2563876662440724
ACH-000015,-0.1478143754569196
ACH-000017,-0.2691337293924726
ACH-000018,-0.3485256107541847
ACH-000019,-0.0665641873330848
ACH-000021,-0.08594530242977963
ACH-000022,-0.15874903953507905
ACH-000025,-0.2629992186126479
ACH-000028,-0.06885026337050766
ACH-000030,-0.3707166839280411
ACH-000035,-0.14283175806926074
ACH-000036,-0.12204472095461875
ACH-000037,-0.15279674670484145
ACH-000039,-0.0135426569560905
ACH-000040,-0.1850395063330666
ACH-000041,0.10929693644946777
ACH-000042,-0.2857503345607349
ACH-000045,-0.11009502241275697
ACH-000047,-0.2252683693570716
ACH-000052,-0.058551841463478034
ACH-000053,-0.17708329379033072
ACH-000054,-0.14458121543294825
ACH-000055,-0.004401922210407451
ACH-000060,-0.11930393774639285
ACH-000067,-0.20439481814157925
ACH-000070,-0.11747904077030245
ACH-000075,-0.2657454383854484
ACH-000078,-0.2070920561181263
ACH-000082,-0.15739068217681926
ACH-000085,-0.4034031483161919
ACH-000086,-0.17165686513619344
ACH-000087,-0.3656690228318515
ACH-000092,-0.2103542429074125
ACH-000095,-0.1529578620374472
ACH-000097,-0.2591481730834799
ACH-000098,-0.04462063502441333
ACH-000099,-0.16996575228373362
ACH-000108,-0.16465228532963233
ACH-000113,-0.190807116611366
ACH-000116,-0.13280080089790985
ACH-000118,-0.15593766468578862
ACH-000120,-0.21015571561297
ACH-000123,-0.28133080850090075
ACH-000127,-0.2582769417599431
ACH-000128,-0.2548412921582872
ACH-000132,-0.07376801025009964
ACH-000133,-0.3517706543465499
ACH-000137,-0.15438888619129953
ACH-000138,-0.10735869200560408
ACH-000142,-0.17898697529421814
ACH-000143,-0.18961182417497935
ACH-000146,-0.19162040019835894
ACH-000148,-0.15791975028205796
ACH-000150,-0.0958655039092972
ACH-000152,-0.19260683522184252
ACH-000153,-0.18349548135149932
ACH-000159,-0.09042621774411097
ACH-000160,-0.1059808091139996
ACH-000163,-0.4036586424109118
ACH-000167,-0.10052520141265367
ACH-000168,-0.02717881115886049
ACH-000169,-0.24036362136208986
ACH-000178,-0.1817226294015638
ACH-000183,-0.143499089358376
ACH-000188,-0.0766461413981923
ACH-000189,-0.04696912062883863
ACH-000190,-0.2204961892367276
ACH-000198,-0.10197452434861017
ACH-000203,-0.21728970201995607
ACH-000204,0.0066424181433841906
ACH-000206,-0.20488493775700795
ACH-000207,-0.2267871933265505
ACH-000208,-0.15322205244712275
ACH-000210,-0.00921945679251668
ACH-000211,-0.1410208890351546
ACH-000215,-0.16757418058962634
ACH-000221,-0.1031446794564428
ACH-000222,-0.23781518093846915
ACH-000223,-0.19907293730123185
ACH-000226,-0.08663828824534621
ACH-000227,-0.22031569450235028
ACH-000228,-0.005069175702160916
ACH-000231,-0.2305656579404339
ACH-000232,-0.173065243814278
ACH-000233,-0.21300232354418533
ACH-000234,-0.2966454073691964
ACH-000235,-0.22229987234042747
ACH-000237,-0.18868304188083265
ACH-000238,-0.28592518178667603
ACH-000242,0.0277497614741321
ACH-000243,-0.16197945861964272
ACH-000244,-0.21093501883368931
ACH-000246,-0.11910310038163048
ACH-000248,-0.2339667706544686
ACH-000250,-0.10576349131260447
ACH-000251,-0.1633098746122156
ACH-000252,-0.17719245656580665
ACH-000253,-0.3112349908767076
ACH-000255,-0.4052981022606293
ACH-000256,-0.2748089109221368
ACH-000257,0.2616458713423526
ACH-000258,-0.29100537442442365
ACH-000259,-0.18526027999919825
ACH-000260,-0.22464453723957575
ACH-000261,-0.2259954095170862
ACH-000262,-0.29687780779856515
ACH-000263,0.00109615985679687
ACH-000264,-0.21440920405392616
ACH-000265,-0.093971593991516
ACH-000266,-0.06247564107945056
ACH-000272,-0.2331298477517281
ACH-000274,-0.19287514322933225
ACH-000277,-0.5488551121656842
ACH-000278,-0.14609434689719852
ACH-000279,-0.11302256919405662
ACH-000280,-0.1721093607816394
ACH-000281,-0.21825942321464087
ACH-000288,-0.024891201823896782
ACH-000291,-0.19675802894508898
ACH-000293,-0.14044446820587847
ACH-000294,-0.16905240048020256
ACH-000295,-0.15192548452134844
ACH-000296,-0.384681936523214
ACH-000302,-0.2995427650916805
ACH-000304,-0.3662930958595461
ACH-000307,-0.12121803004394315
ACH-000308,-0.28414403823634937
ACH-000310,-0.2337959517922534
ACH-000311,-0.20629137712512485
ACH-000312,-0.19410178167676775
ACH-000315,-0.4009592254073546
ACH-000316,0.0006806643628299116
ACH-000317,-0.3084702411563095
ACH-000318,-0.140217021093952
ACH-000319,-0.037082303231499504
ACH-000320,-0.2805852085486837
ACH-000322,-0.1057858178051812
ACH-000323,-0.05489506370015502
ACH-000324,-0.23316644457100485
ACH-000329,-0.20361514320250768
ACH-000330,-0.06958528031094582
ACH-000331,-0.16790815936303774
ACH-000332,-0.18001152479309593
ACH-000334,-0.018864065884620803
ACH-000335,-0.07945352370529843
ACH-000336,-0.2339794082891211
ACH-000337,-0.1596769534760418
ACH-000338,-0.006724263488457366
ACH-000339,-0.12831362643142186
ACH-000341,-0.3111268097574073
ACH-000348,0.0049751249443458255
ACH-000350,-0.3746524255150204
ACH-000352,-0.2061182948302403
ACH-000356,-0.2126146887940615
ACH-000361,-0.05870292273971332
ACH-000362,-0.15278708396275476
ACH-000363,-0.2699343667233718
ACH-000364,0.048470637882323836
ACH-000365,-0.16118455322077913
ACH-000366,-0.2235067855807909
ACH-000368,-0.2877644322662412
ACH-000374,-0.3092955645171374
ACH-000375,-0.15797502982501962
