,SETD1A (9739)
ACH-000004,-0.7488053698622263
ACH-000005,-0.8479446075552651
ACH-000007,-1.1265617672510149
ACH-000009,-0.5422506173906868
ACH-000011,-0.8652588495535708
ACH-000012,-0.5168811082677323
ACH-000013,-0.9856747067862508
ACH-000014,-0.8373054449629284
ACH-000015,-0.6521501860597831
ACH-000017,-0.7313384929105146
ACH-000018,-0.8164301845478857
ACH-000019,-0.7500797654016446
ACH-000021,-0.7060689680756749
ACH-000022,-0.41267455710826456
ACH-000025,-0.7539746727112282
ACH-000028,-0.8487170304818205
ACH-000030,-0.45071047670833797
ACH-000035,-0.8020582637903167
ACH-000036,-0.7284573866037126
ACH-000037,-0.8847750175101535
ACH-000039,-0.964723799210462
ACH-000040,-0.7171164565854181
ACH-000041,-0.8288594941375752
ACH-000042,-0.8229823177644904
ACH-000045,-0.9423852631819352
ACH-000047,-0.7716002622923376
ACH-000052,-0.7359504089508905
ACH-000053,-0.7113859273079622
ACH-000054,-0.7976656914088577
ACH-000055,-0.6802735034650166
ACH-000060,-0.7768657529687841
ACH-000067,-0.9159372976714464
ACH-000070,-0.7093422824565221
ACH-000075,-0.8287931200361098
ACH-000078,-0.654149384013819
ACH-000082,-0.7722527494190642
ACH-000085,-0.6096292055527566
ACH-000086,-0.6141380171767044
ACH-000087,-0.8767023957076882
ACH-000092,-0.9022916359685048
ACH-000095,-0.7467654033910702
ACH-000097,-0.9663778098020868
ACH-000098,-0.7883952584822659
ACH-000099,-0.7383083853390916
ACH-000108,-0.4977427306130956
ACH-000113,-0.7162707000514847
ACH-000116,-0.6852239010015412
ACH-000118,-0.7304785212700273
ACH-000120,-0.8787508594611345
ACH-000123,-0.7724635786482618
ACH-000127,-0.5785742773687328
ACH-000128,-0.8015910786138469
ACH-000132,-0.6735541660420267
ACH-000133,-0.8928274142611295
ACH-000137,-0.8638235018818249
ACH-000138,-0.5256087236562214
ACH-000142,-0.7348419348936874
ACH-000143,-0.6806731901748282
ACH-000146,-0.5559719039161657
ACH-000148,-0.9312140884690348
ACH-000150,-0.6638524847308618
ACH-000152,-0.6550335036374584
ACH-000153,-0.6779504814408296
ACH-000159,-0.673460494817072
ACH-000160,-0.11568322521652985
ACH-000163,-0.5795845336658733
ACH-000167,-0.11913778472089853
ACH-000168,-0.8003731995546739
ACH-000169,-0.8140268066249842
ACH-000178,-0.9024713632576398
ACH-000183,-0.7722706676895925
ACH-000188,-0.7533007277008038
ACH-000189,-0.8302636103594102
ACH-000190,-0.4631039769328722
ACH-000198,-0.7566091379584002
ACH-000203,-1.510895975450986
ACH-000204,-0.8947725581924546
ACH-000206,-0.9567332258704118
ACH-000207,-0.7343888163824801
ACH-000208,-0.6376188149120567
ACH-000210,-0.9104009716153464
ACH-000211,-0.9563509386417616
ACH-000215,-0.7250587297690667
ACH-000221,-0.8659895650963779
ACH-000222,-0.8372066207266549
ACH-000223,-0.6508062529532274
ACH-000226,-0.899561023573697
ACH-000227,-0.2816052166154834
ACH-000228,-0.9568747373569017
ACH-000231,-0.8763431307750679
ACH-000232,-0.8345834545221753
ACH-000233,-0.8505307466291999
ACH-000234,-0.7213566700058149
ACH-000235,-0.7140105860351361
ACH-000237,-0.9933109968964644
ACH-000238,-0.8977885950337956
ACH-000242,-0.7947576871663004
ACH-000243,-0.8349017170590282
ACH-000244,-1.0099147360031673
ACH-000246,-0.7201746749665495
ACH-000248,-0.8777111287981277
ACH-000250,-0.8921089301805024
ACH-000251,-0.3658588266454802
ACH-000252,-0.8627222607251926
ACH-000253,-0.6167915492905955
ACH-000255,-0.9460144458066267
ACH-000256,-0.5833111733418986
ACH-000257,-0.3793963079724709
ACH-000258,-0.8432207728589138
ACH-000259,-0.8399120381191876
ACH-000260,-0.8723279655407724
ACH-000261,-0.9720371916603112
ACH-000262,-0.7080369962592835
ACH-000263,-0.6614154371604525
ACH-000264,-0.8786022161863392
ACH-000265,-0.8914453206521921
ACH-000266,-0.7342949466066316
ACH-000272,-0.6370453611166984
ACH-000274,-0.6961939411863236
ACH-000277,-0.7386651990744395
ACH-000278,-0.9589970634483592
ACH-000279,-0.7203796739358369
ACH-000280,-0.8796155147755267
ACH-000281,-0.5588702874802826
ACH-000288,-0.9439369220899816
ACH-000291,-0.7511202293035171
ACH-000293,-0.9266293690232936
ACH-000294,-0.4480927834988235
ACH-000295,-0.7055448464241589
ACH-000296,-0.9626880439350292
ACH-000302,-0.6720161845980145
ACH-000304,-0.7710102084883435
ACH-000307,-0.7749399837223643
ACH-000308,-0.95573532481082
ACH-000310,-0.5250528443935508
ACH-000311,-0.8456407380522559
ACH-000312,-0.6280326426048449
ACH-000315,-0.7607102812007903
ACH-000316,-0.7992499849323621
ACH-000317,-0.9564288064209508
ACH-000318,-0.9289285446695972
ACH-000319,-0.7853074284475071
ACH-000320,-0.7038947649179859
ACH-000322,-1.0504077522726891
ACH-000323,-0.5761605689885161
ACH-000324,-0.9239327071117888
ACH-000329,-0.672008561684131
ACH-000330,-0.8234348097971906
ACH-000331,-0.8518397344747347
ACH-000332,-0.7392561174809013
ACH-000334,-1.0271267579606906
ACH-000335,-0.6314784292232114
ACH-000336,-0.8976297174540018
ACH-000337,-1.0894202077834625
ACH-000338,-0.7499702324633241
ACH-000339,-0.8246162550483022
ACH-000341,-0.7418247091160068
ACH-000348,-0.8210428418766754
ACH-000350,-0.4970809394082955
ACH-000352,-0.8209001049633904
ACH-000356,-0.6792122152737315
ACH-000361,-1.0455356325706322
ACH-000362,-0.7568298842027883
ACH-000363,-0.8975003602157456
ACH-000364,-0.6943568478994794
ACH-000365,-0.8851734096839615
ACH-000366,-0.6905791815558263
ACH-000368,-0.7943749924793395
ACH-000374,-0.9464743649600944
ACH-000375,-0.5728247715170478
ACH-000376,-0.6054066042232896
ACH-000381,-0.5248652976421413
ACH-000383,-0.4134825591698337
ACH-000387,-0.8259837429144018
ACH-000389,-0.7732041550733348
ACH-000390,-0.5909950028472417
ACH-000393,-0.8030502130499722
ACH-000395,-0.5477102336831525
ACH-000396,-0.7622423937985168
ACH-000397,-0.8702718782768186
ACH-000401,-1.0320330526370762
ACH-000402,-0.5330370316312986
ACH-000403,-0.7504482384265021
ACH-000404,-0.8392389210717635
ACH-000406,-0.7873878010680211
ACH-000407,-0.5247485069875717
ACH-000408,-0.6121378019177627
ACH-000410,-0.8415759402039047
ACH-000411,-1.0029796131928244
ACH-000414,-0.7091522468597857
ACH-000415,-0.7429525721514324
ACH-000416,-0.9254141205166057
ACH-000420,-0.8293954887515199
ACH-000421,-0.7651356501296466
ACH-000424,-0.7242101622244719
ACH-000425,-0.6794133198926466
ACH-000426,-0.992088797507868
ACH-000427,-0.7465318580078198
ACH-000433,-0.9134938969426784
ACH-000435,-1.022343836168233
ACH-000436,-0.7110453631883267
ACH-000444,-1.077695507183259
ACH-000445,-0.9355379513482294
ACH-000448,-0.7458372606813711
ACH-000450,-0.7294106444690737
ACH-000452,-0.8642303029469176
ACH-000454,-0.5991485770674978
ACH-000458,-0.8903666128736762
ACH-000459,-1.008324621102736
ACH-000460,-0.8414288177638741
ACH-000461,-0.6649048492937346
ACH-000463,-0.6278365035690314
ACH-000464,-0.8767257759469175
ACH-000466,-0.6220117331162888
ACH-000467,-0.8613213769838742
ACH-000468,-0.9298508107482422
ACH-000469,-0.7545398477007692
ACH-000470,-0.3885945783614483
ACH-000471,-0.8309808508724084
ACH-000472,-0.7438950076806893
ACH-000473,-0.6626492174236891
ACH-000475,-0.8568254567897757
ACH-000476,-0.8966565455508542
ACH-000477,-0.5571462102658468
ACH-000479,-0.6463650989204136
ACH-000480,-1.0394331864562114
ACH-000481,-0.7177196826863648
ACH-000483,-0.807248326038256
ACH-000484,-0.7011130497535952
ACH-000485,-0.6552718433181529
ACH-000486,-0.7942832561093909
ACH-000487,-0.8578320187956642
ACH-000488,-0.6609908348414922
ACH-000490,-0.8711663503697903
ACH-000491,-0.27784800536133913
ACH-000495,-0.9314760292713964
ACH-000496,-0.905607135810638
ACH-000499,-0.7628804022689448
ACH-000500,-0.6086566811940088
ACH-000502,-1.1173729219494712
ACH-000503,-0.7288906809265009
ACH-000505,-0.9373066149049047
ACH-000507,-0.6898117413816202
ACH-000510,-0.6827629767147081
ACH-000511,-0.5345381754650752
ACH-000512,-0.6983472827350642
ACH-000516,-0.9101155695654316
ACH-000517,-0.761714439134243
ACH-000518,-0.955350029933072
ACH-000520,-0.7941848072940856
ACH-000521,-0.5987556523998403
ACH-000522,-0.9276001243992752
ACH-000524,-0.7253558920059431
ACH-000527,-0.8942448726919369
ACH-000528,-0.8736866869393938
ACH-000537,-1.0160247017120259
ACH-000541,-0.8216559231515055
ACH-000542,-0.664135024166579
ACH-000544,-0.6420554313269287
ACH-000545,-0.7955517505946459
ACH-000547,-0.7193453476377205
ACH-000548,-1.195985045700198
ACH-000549,-0.7709169591417161
ACH-000550,-0.6027204733090211
ACH-000552,-0.7496326081717052
ACH-000556,-0.4140428609393164
ACH-000557,-0.923443898188718
ACH-000569,-0.7417473732693376
ACH-000570,-0.6955658682445404
ACH-000571,-0.6706067778114267
ACH-000573,-0.7038469588866122
ACH-000576,-1.1299901464318525
ACH-000579,-0.6414718896378346
ACH-000580,-1.1997633986000087
ACH-000584,-0.847374701940846
ACH-000585,-1.1298627380648434
ACH-000588,-0.8673147076615401
ACH-000589,-0.5084385447630511
ACH-000591,-0.6283123416588409
ACH-000593,-0.5263314919152754
ACH-000600,-0.4675844930890449
ACH-000601,-0.9369631678837268
ACH-000605,-0.9751800262625347
ACH-000606,-0.8282867173616726
ACH-000608,-0.5857429455307113
ACH-000614,-0.7075356649674971
ACH-000616,-0.6874676760231209
ACH-000618,-0.6740708661266894
ACH-000619,-0.8176985060475881
ACH-000620,-0.8944057021690929
ACH-000621,-0.7019840208151351
ACH-000622,-0.6411929900229557
ACH-000623,-0.7400488846651652
ACH-000624,-0.8357966476132251
ACH-000627,-0.5711682966433079
ACH-000630,-0.7390871173439325
ACH-000631,-0.941089697404332
ACH-000632,-0.7869786107308254
ACH-000633,-0.7683323423670594
ACH-000637,-0.7777861399177216
ACH-000638,-0.8143126163694715
ACH-000646,-0.7415658513506848
ACH-000647,-0.5997191513117919
ACH-000648,-0.8107722591754516
ACH-000649,-0.5795413035554414
ACH-000651,-0.7500086398040051
ACH-000652,-0.7210271905831379
ACH-000653,-0.6590563686769365
ACH-000657,-0.9019581906761076
ACH-000658,-0.7519115867133894
ACH-000661,-0.9345693307011508
ACH-000662,-0.9556253848830656
ACH-000663,-0.6367705012841869
ACH-000665,-0.7570151494218801
ACH-000671,-0.7244384239616224
ACH-000672,-0.8857573629442136
ACH-000673,-0.7930533913681587
ACH-000676,-0.7710688555836889
ACH-000677,-0.9043643611822312
ACH-000681,-0.7785822149857863
ACH-000683,-0.6466566804512357
ACH-000684,-0.9936675543241984
ACH-000688,-0.8819664949379324
ACH-000693,-0.7348935785966595
ACH-000694,-0.5250238422921727
ACH-000695,-0.5862279579671036
ACH-000696,-0.9098167535213084
ACH-000697,-0.9584163637406072
ACH-000699,-0.8806598630725717
ACH-000701,-0.7155465000271324
ACH-000706,-0.6996364172795788
ACH-000711,-0.6804792693204645
ACH-000713,-0.7870834002149542
ACH-000714,-0.3851322683736527
ACH-000718,-0.7194770335370518
ACH-000720,-0.7582441375327759
ACH-000721,-0.5567538516446472
ACH-000724,-0.6331112264901472
ACH-000725,-0.5711929552593629
ACH-000732,-1.0189615466433315
ACH-000734,-0.8097320278242854
ACH-000735,-0.6439016113838211
ACH-000736,-0.8956676959540874
ACH-000738,-0.8602959693848417
ACH-000746,-0.76894490645779
ACH-000747,-0.7332502407290564
ACH-000748,-0.8005935858284231
ACH-000753,-0.7923356504191906
ACH-000756,-0.7923857590972498
ACH-000757,-0.8692739993738888
ACH-000758,-0.9097552275668148
ACH-000760,-0.8418231371878866
ACH-000762,-0.5537172634152804
ACH-000763,-0.8122941701879557
ACH-000764,-0.8762271417640443
ACH-000765,-1.0229109846979534
ACH-000766,-0.975758944610315
ACH-000767,-0.934058218355913
ACH-000768,-0.8773847971194404
ACH-000769,-0.8316328006935855
