,PKDREJ (10343)
ACH-000004,-0.23189699474328
ACH-000005,-0.21367141119240995
ACH-000007,-0.052747863394395585
ACH-000009,0.024693498344066905
ACH-000011,-0.1942885045261392
ACH-000012,-0.13741281722497187
ACH-000013,-0.09689796438930046
ACH-000014,-0.07398622724143095
ACH-000015,-0.10117445097987084
ACH-000017,-0.08602375994450448
ACH-000018,-0.14141039300315367
ACH-000019,-0.09215457646735267
ACH-000021,-0.040419015453855615
ACH-000022,-0.0551002651412009
ACH-000025,-0.19559540861419
ACH-000028,-0.0509761100955593
ACH-000030,-0.17324540437327213
ACH-000035,-0.0295640997699199
ACH-000036,-0.22669035552561906
ACH-000037,-0.053944624955200436
ACH-000039,-0.055175115510627835
ACH-000040,-0.09546675902959996
ACH-000041,-0.2457669386032892
ACH-000042,-0.18054293386494827
ACH-000045,-0.17154991075183676
ACH-000047,-0.09137092329036844
ACH-000052,0.14975683431449424
ACH-000053,-0.11062086983222633
ACH-000054,-0.09958100591780436
ACH-000055,-0.2627410589238573
ACH-000060,-0.1149712649419208
ACH-000067,-0.1180558258460741
ACH-000070,0.0911166982943557
ACH-000075,0.03554220156730395
ACH-000078,-0.10926018339115336
ACH-000082,0.014388308912197785
ACH-000085,-0.25938269850486595
ACH-000086,0.02437575923817249
ACH-000087,0.09506301455609034
ACH-000092,-0.16945098256540705
ACH-000095,-0.07128915461292806
ACH-000097,-0.10816166300296033
ACH-000098,-0.08988667675605364
ACH-000099,-0.2543173137362686
ACH-000108,-0.16390938872343322
ACH-000113,-0.10214565732016803
ACH-000116,-0.031301585666535105
ACH-000118,-0.07843239691280217
ACH-000120,-0.09951244059754802
ACH-000123,0.04537415294408048
ACH-000127,-0.07072934263273964
ACH-000128,-0.2359885128465414
ACH-000132,-0.1298818979110649
ACH-000133,-0.10923125487296828
ACH-000137,-0.025402794632186112
ACH-000138,-0.0058550142984564865
ACH-000142,-0.04478244089008791
ACH-000143,-0.16355594694296458
ACH-000146,-0.07592277125605063
ACH-000148,0.06269431078639981
ACH-000150,0.030849002956072867
ACH-000152,-0.17416345333746422
ACH-000153,0.044643635928391774
ACH-000159,0.06779275322969752
ACH-000160,-0.04431401195989144
ACH-000163,0.03806411325901218
ACH-000167,-0.061762771076519625
ACH-000168,-0.29786880177335245
ACH-000169,0.025365872805089902
ACH-000178,-0.051908329118393666
ACH-000183,-0.1732318751966591
ACH-000188,0.010999105775509136
ACH-000189,-0.12042503951091547
ACH-000190,-0.1602641345570287
ACH-000198,-0.03822146580992336
ACH-000203,0.020351759803805585
ACH-000204,-0.01285149209160003
ACH-000206,-0.05210804357100465
ACH-000207,-0.13196246093709632
ACH-000208,0.10028207684874704
ACH-000210,-0.057411111977607975
ACH-000211,-0.044273674174802866
ACH-000215,-0.059435695625441536
ACH-000221,0.01288323200128207
ACH-000222,-0.1823080777996169
ACH-000223,-0.021129317611574668
ACH-000226,-0.06005063334232581
ACH-000227,-0.24883276838894874
ACH-000228,-0.06598443720863092
ACH-000231,-0.06378313554530443
ACH-000232,-0.07460049900509337
ACH-000233,-0.09778018627894924
ACH-000234,0.017627776268950134
ACH-000235,-0.028154749832676663
ACH-000237,-0.02752630197198677
ACH-000238,0.006648105139713253
ACH-000242,-0.18842393169277066
ACH-000243,-0.019185128794400427
ACH-000244,-0.09951715290511226
ACH-000246,-0.11023986274986897
ACH-000248,-0.1677262457427446
ACH-000250,-0.04202057064276138
