,UIMC1 (51720)
ACH-000004,-0.15019761490104333
ACH-000005,-0.218438223102617
ACH-000007,-0.3234293482604155
ACH-000009,-0.17283698359196942
ACH-000011,-0.2473354168479085
ACH-000012,-0.17227603979671316
ACH-000013,-0.11801771690608838
ACH-000014,-0.03449636699391611
ACH-000015,0.016547481267488597
ACH-000017,-0.1166783589517618
ACH-000018,-0.1983418393722704
ACH-000019,-0.0857425344404258
ACH-000021,-0.18149958041657965
ACH-000022,-0.15710971109588526
ACH-000025,-0.13526708059885553
ACH-000028,-0.2549464834878576
ACH-000030,-0.10407735059778933
ACH-000035,-0.18238358901723795
ACH-000036,-0.3335389433881452
ACH-000037,-0.31277230231906633
ACH-000039,-0.17839208184257144
ACH-000040,-0.20784164281472894
ACH-000041,-0.034775459899752934
ACH-000042,-0.06377752849684816
ACH-000045,-0.22103373836986168
ACH-000047,-0.2890434721231384
ACH-000052,-0.21449704205844156
ACH-000053,-0.03670575931407685
ACH-000054,-0.19436322982445256
ACH-000055,-0.14793913892687474
ACH-000060,-0.13928337517600473
ACH-000067,-0.2200934835880873
ACH-000070,-0.02219743741197649
ACH-000075,-0.2723933673929401
ACH-000078,-0.1905020648668154
ACH-000082,0.08177796538077665
ACH-000085,0.006745356559830542
ACH-000086,-0.12430089950482505
ACH-000087,-0.2775378624166349
ACH-000092,-0.17407404052462702
ACH-000095,-0.16991139516184944
ACH-000097,-0.1453635892034131
ACH-000098,-0.10398950981719536
ACH-000099,-0.15084904007990832
ACH-000108,-0.1807746868858589
ACH-000113,-0.13779940634001975
ACH-000116,-0.2830749762682677
ACH-000118,-0.22832197961913625
ACH-000120,-0.15572358431702624
ACH-000123,-0.13141887753025638
ACH-000127,-0.06485950135984876
ACH-000128,-0.12843583755373156
ACH-000132,-0.31953648670312146
ACH-000133,-0.14231569246522086
ACH-000137,0.04789944759461183
ACH-000138,-0.2528603223290445
ACH-000142,-0.10261223753631804
ACH-000143,-0.20652905611025266
ACH-000146,-0.02595944494942956
ACH-000148,-0.2938784366756516
ACH-000150,-0.4541291988456754
ACH-000152,-0.05387120843069342
ACH-000153,-0.19082469443244185
ACH-000159,-0.19867960585208252
ACH-000160,0.14051762319764996
ACH-000163,-0.14600575209277458
ACH-000167,0.4555682842380512
ACH-000168,-0.11802339984240055
ACH-000169,-0.02380135696863276
ACH-000178,-0.16927940172813385
ACH-000183,-0.3135069791083355
ACH-000188,-0.278408982353508
ACH-000189,-0.17734341316014018
ACH-000190,0.06610798940335329
ACH-000198,-0.11746895848111838
ACH-000203,-0.4676991021611722
ACH-000204,-0.2285355902391648
ACH-000206,-0.026254818530367263
ACH-000207,0.044150099719174746
ACH-000208,0.014949963687014081
ACH-000210,0.02919464145444787
ACH-000211,-0.2873652414041856
ACH-000215,-0.0876589355166654
ACH-000221,-0.053125913489644
ACH-000222,-0.24728058962676425
ACH-000223,-0.20402338199863712
ACH-000226,-0.13549530103822846
ACH-000227,-0.13232858832117214
ACH-000228,0.0056453130884737066
ACH-000231,-0.0992163146217659
ACH-000232,-0.3905474034759411
ACH-000233,-0.2493381940945245
ACH-000234,-0.29772768468086724
ACH-000235,-0.05905931917635882
ACH-000237,-0.1457763809661178
ACH-000238,-0.22787490073956584
ACH-000242,-0.3136005041726335
ACH-000243,-0.11534344221645712
ACH-000244,-0.2384146560241257
ACH-000246,-0.3495876437043677
ACH-000248,-0.1755184846228962
ACH-000250,-0.14214356535686684
ACH-000251,-0.17597782532628356
