,UHRF1BP1 (54887)
ACH-000004,-0.28053525889481673
ACH-000005,0.2147988599678828
ACH-000007,-0.07837010674298951
ACH-000009,-0.2808630158036174
ACH-000011,-0.15581466930233198
ACH-000012,-0.14569915216564908
ACH-000013,-0.2266123539360573
ACH-000014,-0.20294829540858775
ACH-000015,-0.061803115547941184
ACH-000017,-0.2557544983221638
ACH-000018,-0.2863412889335009
ACH-000019,-0.12853707079942284
ACH-000021,-0.0848195237682784
ACH-000022,-0.2832787123669868
ACH-000025,-0.14315900692866507
ACH-000028,-0.2310361892344096
ACH-000030,-0.1497333563452134
ACH-000035,-0.17289046341108033
ACH-000036,-0.29520698629261194
ACH-000037,-0.10300534685898086
ACH-000039,-0.10425925558379692
ACH-000040,-0.1851282738195988
ACH-000041,-0.06509782768889212
ACH-000042,-0.09925899768561514
ACH-000045,-0.03597902686006132
ACH-000047,-0.08494500289071212
ACH-000052,0.02074290269756265
ACH-000053,-0.13813530603798896
ACH-000054,-0.13562148854405934
ACH-000055,-0.20018555259261286
ACH-000060,-0.2764635109184561
ACH-000067,-0.09461357946059308
ACH-000070,-0.0308709745785681
ACH-000075,-0.16595345152807653
ACH-000078,-0.2707614970751369
ACH-000082,-0.13916839659844107
ACH-000085,-0.019637512022476225
ACH-000086,-0.17592012168117616
ACH-000087,-0.5382688438657434
ACH-000092,-0.08938961612848915
ACH-000095,-0.22429191265596465
ACH-000097,-0.13312802485386244
ACH-000098,-0.10944448996498793
ACH-000099,-0.2316005485310372
ACH-000108,-0.11166546495846266
ACH-000113,-0.04551694240767594
ACH-000116,-0.2617488141365956
ACH-000118,-0.14690302511142508
ACH-000120,-0.21201623585497592
ACH-000123,-0.22184272911745168
ACH-000127,-0.15240143644273632
ACH-000128,-0.1301609889429795
ACH-000132,-0.2005456743629836
ACH-000133,-0.08914396734859624
ACH-000137,-0.07730246181567503
ACH-000138,-0.18029638562436254
ACH-000142,-0.2739607599856207
ACH-000143,-0.2995126658254065
ACH-000146,-0.2662687932987838
ACH-000148,-0.048964368349774766
ACH-000150,-0.04707116336390714
ACH-000152,-0.2399809526359364
ACH-000153,-0.28495641345085354
ACH-000159,-0.17051535639355228
ACH-000160,-0.2051562085757408
ACH-000163,-0.013807398880995185
ACH-000167,-0.2849504390301343
ACH-000168,-0.036601683948532464
ACH-000169,-0.10964965726348433
ACH-000178,-0.1887287112895314
ACH-000183,-0.2945762214900418
ACH-000188,-0.13916463904262044
ACH-000189,-0.10636864633016826
ACH-000190,-0.17036604267505234
ACH-000198,-0.21693484710074612
ACH-000203,-0.3850496371373027
ACH-000204,-0.09742141389710016
ACH-000206,-0.13334843592156748
ACH-000207,-0.3716378925645433
ACH-000208,-0.10683703963820178
ACH-000210,-0.5866963983345401
ACH-000211,-0.2124223856626152
ACH-000215,-0.09796242157243093
ACH-000221,-0.106004960019402
ACH-000222,-0.1885103061627067
ACH-000223,-0.2132601598330844
ACH-000226,-0.008423993286346175
ACH-000227,-0.285665860671803
ACH-000228,-0.10557266062341847
ACH-000231,-0.29726515754158084
ACH-000232,-0.1736125903262015
ACH-000233,0.01587275769633669
ACH-000234,0.05123900905408312
ACH-000235,-0.14092077681522508
ACH-000237,-0.10930395301745592
ACH-000238,-0.16767041447302286
ACH-000242,-0.2717965065887864
ACH-000243,-0.11380098025143298
ACH-000244,0.0582559737301649
ACH-000246,-0.2305518115059729
ACH-000248,-0.25172385908948713
ACH-000250,-0.0943936242473553
ACH-000251,0.056691553118944624
ACH-000252,-0.002963067699292668
ACH-000253,-0.14461390665800386
ACH-000255,-0.17219278463667412
ACH-000256,-0.1416188479538475
ACH-000257,-0.030636665369287188
ACH-000258,-0.16407124432804265
ACH-000259,-0.025515714258096654
ACH-000260,-0.2024800145492497
ACH-000261,-0.23519452512322064
ACH-000262,-0.20882046857816575
ACH-000263,-0.2660153223411062
ACH-000264,-0.09607506641946544
ACH-000265,-0.05812342002924915
ACH-000266,-0.13230142715735468
ACH-000272,-0.24854577859036045
ACH-000274,-0.07110217794389051
ACH-000277,-0.2448957664523383
ACH-000278,0.010772529247661864
ACH-000279,-0.1381787046802644
ACH-000280,-0.1727418901873756
ACH-000281,-0.2467655367021089
ACH-000288,-0.0641358813861675
ACH-000291,-0.2066809106078396
ACH-000293,-0.25470239645049225
ACH-000294,-0.2274169571264087
ACH-000295,-0.3780626581230716
ACH-000296,-0.30524713834728984
ACH-000302,-0.17007280515448267
ACH-000304,-0.2703537554472983
ACH-000307,-0.14479546990695985
ACH-000308,-0.214464972214518
ACH-000310,-0.20780900815657272
ACH-000311,-0.12357204791819087
ACH-000312,-0.15204540888482165
ACH-000315,0.022948972986274813
ACH-000316,-0.1946239191664737
ACH-000317,-0.05744854428533184
ACH-000318,-0.1620169602579286
ACH-000319,-0.08504642637021198
ACH-000320,-0.12753011568238976
ACH-000322,-0.11115878327634288
