,ARGLU1 (55082)
ACH-000004,-0.7430971729804471
ACH-000005,-1.3051814628553735
ACH-000007,-0.4948377165381033
ACH-000009,-0.5065407012616756
ACH-000011,-0.7852669506436184
ACH-000012,-0.7035404617355765
ACH-000013,-0.8421546922079518
ACH-000014,-0.5138495834762015
ACH-000015,-0.8597139207991171
ACH-000017,-0.77843174409773
ACH-000018,-0.5688138739382621
ACH-000019,-0.6325486985965526
ACH-000021,-0.6922799201785826
ACH-000022,-0.6177276977884781
ACH-000025,-0.3849504094045098
ACH-000028,-0.6115450938082081
ACH-000030,-0.7509742871348297
ACH-000035,-0.8562618981435501
ACH-000036,-0.8048484833935895
ACH-000037,-0.5126949247680411
ACH-000039,-0.4670905490900792
ACH-000040,-0.621990832879324
ACH-000041,-0.7587751515852603
ACH-000042,-0.9451612081873556
ACH-000045,-0.8614938207697371
ACH-000047,-0.9357052652513153
ACH-000052,-0.5537669854290848
ACH-000053,-0.6340792569886324
ACH-000054,-0.5123257089587733
ACH-000055,-0.601438727129355
ACH-000060,-0.8323760342823705
ACH-000067,-0.8665838608821946
ACH-000070,-0.635535420648448
ACH-000075,-0.5606258676428948
ACH-000078,-0.4015389913584285
ACH-000082,-0.6679880929872526
ACH-000085,-0.5914612345130859
ACH-000086,-0.6448084262648004
ACH-000087,-0.5416767333868147
ACH-000092,-0.7295484631041937
ACH-000095,-0.5423416149049372
ACH-000097,-0.8291349143613682
ACH-000098,-0.7183383619445964
ACH-000099,-0.5647657274438522
ACH-000108,-1.0008663731703835
ACH-000113,-0.6538879896214979
ACH-000116,-0.9920543238942688
ACH-000118,-0.875321764280187
ACH-000120,-0.5126225785532593
ACH-000123,-0.6623454201526969
ACH-000127,-0.8227464475602789
ACH-000128,-0.5907386067370696
ACH-000132,-0.6614038106440169
ACH-000133,-0.7837329169237655
ACH-000137,-0.5293119864210745
ACH-000138,-0.7056343957523533
ACH-000142,-0.6709899159407651
ACH-000143,-0.7734906148504032
ACH-000146,-0.9598349064829118
ACH-000148,-0.6543235590968177
ACH-000150,-0.712915544129677
ACH-000152,-0.7509330542173296
ACH-000153,-0.5506897892862083
ACH-000159,-0.6013271072631731
ACH-000160,-0.7326727566065722
ACH-000163,-0.7718541529458255
ACH-000167,-1.2187093873826589
ACH-000168,-0.8703067242733268
ACH-000169,-0.7596974734114031
ACH-000178,-0.5439678706688251
ACH-000183,-0.6743468774288407
ACH-000188,-0.6532036659433161
ACH-000189,-0.5389276875672285
ACH-000190,-0.6664851628897505
ACH-000198,-0.5755917574646942
ACH-000203,-0.5016200909812137
ACH-000204,-0.7957896705503209
ACH-000206,-0.6259633858888007
ACH-000207,-0.6462337588289857
ACH-000208,-0.6855523023794357
ACH-000210,-0.6158518276563432
ACH-000211,-0.6436982256790788
ACH-000215,-0.7299292403398201
ACH-000221,-0.8867556453319476
ACH-000222,-0.5339456268706091
ACH-000223,-0.9360295599558036
ACH-000226,-0.6234716506316101
ACH-000227,-0.3522817049928834
ACH-000228,-0.7661392014046521
ACH-000231,-0.7079419451447718
ACH-000232,-0.5473238332538723
ACH-000233,-0.7897838281596784
ACH-000234,-0.6990898801032249
ACH-000235,-0.6897520842999199
ACH-000237,-0.8594524254799916
ACH-000238,-0.7124441263998178
ACH-000242,-0.10946423803629264
ACH-000243,-0.6263531426275923
ACH-000244,-0.8464605268687949
ACH-000246,-0.7706591136280243
ACH-000248,-0.6809704523767864
ACH-000250,-0.7805976845207285
ACH-000251,-0.9688111091541444
ACH-000252,-0.6033134740304972
ACH-000253,-0.5904472538789227
ACH-000255,-0.7476731930951129
ACH-000256,-0.28856445106024003
ACH-000257,-0.8025515574972619
ACH-000258,-0.9338327494264416
ACH-000259,-0.8738168417975871
ACH-000260,-0.7314488838631463
ACH-000261,-0.7072105236736674
ACH-000262,-0.9775368582499274
ACH-000263,-0.467487587496678
ACH-000264,-0.6090730217610647
ACH-000265,-0.7253521105320512
ACH-000266,-0.8188774344210904
ACH-000272,-0.5565192880312231
ACH-000274,-0.8392661496675498
ACH-000277,-0.7824729570308994
ACH-000278,-0.7330643525392343
ACH-000279,-0.7387323464948047
ACH-000280,-0.6256790569812514
ACH-000281,-0.6873320712012407
ACH-000288,-0.6251007423869751
ACH-000291,-0.4953377768459196
ACH-000293,-1.231454340889278
ACH-000294,-0.8158242920376501
ACH-000295,-0.4919058362621403
ACH-000296,-0.5632317534696385
ACH-000302,-0.8789005453525455
ACH-000304,-0.8304991493765268
ACH-000307,-0.5791406572483324
ACH-000308,-0.7541362390814652
ACH-000310,-0.5070196431532356
ACH-000311,-0.8827782485617062
ACH-000312,-0.6149759267028556
ACH-000315,-0.8134879227910672
ACH-000316,-0.7513456754132264
ACH-000317,-0.8071510332789986
ACH-000318,-0.5802886670352945
ACH-000319,-0.8109488873579881
ACH-000320,-0.6946338575527772
ACH-000322,-0.5415908362238356
ACH-000323,-0.8185168931107137
ACH-000324,-0.8845378201001243
ACH-000329,-0.4632058735454359
ACH-000330,-0.7476690613175969
ACH-000331,-0.8106778278080272
ACH-000332,-0.7292102594561265
ACH-000334,-0.8207389840720365
ACH-000335,-0.5132707915724988
ACH-000336,-0.5906188515583288
ACH-000337,-0.6481216470637087
ACH-000338,-0.8384328552156757
ACH-000339,-0.6534182934825181
ACH-000341,-0.5572825915289222
ACH-000348,-0.8399739199411875
ACH-000350,-0.6391726007172208
ACH-000352,-0.9167507901352526
ACH-000356,-0.5073996207214478
ACH-000361,-0.6385673276627482
ACH-000362,-0.5948229233400459
ACH-000363,-0.3944037807887337
ACH-000364,-0.5607704446974378
ACH-000365,-0.4948045267947874
ACH-000366,-0.5235696305165116
ACH-000368,-0.8648337630896229
ACH-000374,-0.5280412699013779
ACH-000375,-0.6447353169010035
ACH-000376,-0.5889695158443511
ACH-000381,-0.8505342511222722
ACH-000383,-0.6945087385390217
ACH-000387,-1.029432746407582
ACH-000389,-0.8988330500039459
ACH-000390,-0.7563110519710732
ACH-000393,-0.6121541815564621
ACH-000395,-0.5864952066920179
ACH-000396,-0.6375315492229353
ACH-000397,-0.7350643985633852
ACH-000401,-0.7646049697956413
ACH-000402,-0.8368700148221558
ACH-000403,-0.8288328231868991
ACH-000404,-1.181005053232279
ACH-000406,-0.5949735212037165
ACH-000407,-0.4444381133820624
ACH-000408,-0.7089053843469008
ACH-000410,-0.7526300177997968
ACH-000411,-0.8172512247219457
ACH-000414,-0.8793487889325919
ACH-000415,-0.7082685635315288
ACH-000416,-1.038078653516093
ACH-000420,-0.7341829437094853
ACH-000421,-0.9867058052744444
ACH-000424,-0.6573711888426222
ACH-000425,-0.8457069652518578
ACH-000426,-1.4635239683321557
ACH-000427,-0.7153883828883791
ACH-000433,-0.4666980519822147
ACH-000435,-0.8373670375665548
ACH-000436,-0.6935259198388127
ACH-000444,-0.5671783458351247
ACH-000445,-0.8729468425151216
ACH-000448,-0.6158997012042583
ACH-000450,-0.7295687150403148
ACH-000452,-0.8097464992047274
ACH-000454,-0.706500230416453
ACH-000458,-0.8258910035711071
ACH-000459,-0.6682977713562528
ACH-000460,-0.9616561090692998
ACH-000461,-0.6553868547703816
ACH-000463,-0.6113039132510102
ACH-000464,-0.5734467739428469
ACH-000466,-1.0225382275977697
ACH-000467,-0.8762299364930072
ACH-000468,-0.6801128392497655
ACH-000469,-0.6234181310083852
ACH-000470,-0.7372852932537147
ACH-000471,-0.7492799412401543
ACH-000472,-0.7614490079827174
ACH-000473,-0.6400450970166303
ACH-000475,-0.8057751159193385
ACH-000476,-0.6369927924756539
ACH-000477,-0.8632324150735434
ACH-000479,-0.1921539786698792
ACH-000480,-1.1012216830259165
ACH-000481,-0.6236327065988594
ACH-000483,-1.0174817515066912
ACH-000484,-0.7755935794675769
ACH-000485,-0.4047156783390205
ACH-000486,-0.7267457847669617
ACH-000487,-0.7714575029572505
ACH-000488,-0.6779041516256109
ACH-000490,-0.5960820685074363
ACH-000491,-0.6590793631704428
ACH-000495,-0.6621551871845583
ACH-000496,-0.7120165800043264
ACH-000499,-0.672648734383833
ACH-000500,-0.5076818964116813
ACH-000502,-0.817271550481548
ACH-000503,-0.6836152524355023
ACH-000505,-0.712586526053638
ACH-000507,-0.629763902063656
ACH-000510,-0.7543815892315029
ACH-000511,-0.7334481695603935
ACH-000512,-0.5077538428528718
ACH-000516,-0.7915814055169534
ACH-000517,-0.7710643260585084
ACH-000518,-0.7688448700806013
ACH-000520,-0.2778458713278189
ACH-000521,-0.859660604786597
ACH-000522,-0.5870254716021188
ACH-000524,-0.9294049574137796
ACH-000527,-0.7324531497708902
ACH-000528,-0.9001315726790117
ACH-000537,-0.7177470380352492
ACH-000541,-1.059483324895011
ACH-000542,-0.5359658920289516
ACH-000544,-0.5754825961274147
ACH-000545,-0.5515154487860713
ACH-000547,-0.7161455238262411
ACH-000548,-0.7952991115086238
ACH-000549,-0.7702066293455009
ACH-000550,-0.7660483217870725
ACH-000552,-0.9382435680261164
ACH-000556,-0.8413320493190137
ACH-000557,-0.646836767670077
ACH-000569,-0.8237721368811797
ACH-000570,-0.6425122972291131
ACH-000571,-0.7142724841794359
ACH-000573,-0.6070909797945494
ACH-000576,-0.8300451214474164
ACH-000579,-0.6090986546748239
ACH-000580,-1.0885712280374211
ACH-000584,-0.6898416765062624
ACH-000585,-0.8161247959116528
ACH-000588,-0.331507480550126
ACH-000589,-0.8347548782104692
ACH-000591,-0.6572259885924857
ACH-000593,-0.6126596372068117
ACH-000600,-0.8926934358470274
ACH-000601,-0.6744262542764157
ACH-000605,-0.6885802744801239
ACH-000606,-0.8022441776466271
ACH-000608,-0.8950622006286822
ACH-000614,-0.7195050247211506
ACH-000616,-0.6819363925677784
ACH-000618,-0.8145751902984473
ACH-000619,-0.7073298729494599
ACH-000620,-0.5343875559446064
ACH-000621,-0.5915829619773655
ACH-000622,-0.7649117648456369
ACH-000623,-0.9300865789245938
ACH-000624,-0.6692864336691761
ACH-000627,-0.5905809001974796
ACH-000630,-0.7568288091377018
ACH-000631,-0.9721061534901828
ACH-000632,-0.7481737429092079
ACH-000633,-0.7721105079728371
ACH-000637,-0.6986701203725579
ACH-000638,-0.6537013770996675
ACH-000646,-0.243225213595988
ACH-000647,-0.5794399638077566
ACH-000648,-0.718722006384158
ACH-000649,-0.6927549069139918
ACH-000651,-0.7183634405077858
ACH-000652,-0.6679574591677482
ACH-000653,-0.5362730216018536
ACH-000657,-0.6156152699098808
ACH-000658,-0.6840091304444442
ACH-000661,-0.6028570593187521
ACH-000662,-0.8475726443785601
ACH-000663,-0.6485230180911141
ACH-000665,-0.7679372277531058
ACH-000671,-0.6634637935555309
ACH-000672,-0.3707556004399619
ACH-000673,-0.5714602269412072
ACH-000676,-0.4282447317649315
ACH-000677,-0.4982344960398339
ACH-000681,-0.7695134781528737
ACH-000683,-0.6065981127678034
ACH-000684,-0.5126371237069768
ACH-000688,-0.8904816753878193
ACH-000693,-0.7305232536868361
ACH-000694,-0.5467703644904731
ACH-000695,-0.6836715769685761
ACH-000696,-0.6692959065712771
ACH-000697,-0.592044629831782
ACH-000699,-0.9901081150831246
ACH-000701,-0.8219231309355608
ACH-000706,-0.8071642988151421
ACH-000711,-0.6688297516297891
ACH-000713,-0.5284141390516629
ACH-000714,-0.5941225899559327
ACH-000718,-0.8467159637530257
ACH-000720,-0.589168983347915
ACH-000721,-0.5424855833664546
