,GRHPR (9380)
ACH-000004,-0.2555047213251713
ACH-000005,-0.0675118685716732
ACH-000007,-0.2932833303915484
ACH-000009,-0.2066111228662719
ACH-000011,-0.14785443492054526
ACH-000012,-0.009856139674611332
ACH-000013,-0.15535992722552622
ACH-000014,-0.1525739184888989
ACH-000015,-0.16692216700303006
ACH-000017,-0.010063737856041808
ACH-000018,-0.09762029490867152
ACH-000019,0.03912540903938031
ACH-000021,-0.13637550409319762
ACH-000022,-0.2248341323528907
ACH-000025,-0.2188908697801664
ACH-000028,-0.041795179398196734
ACH-000030,-0.1625928856721597
ACH-000035,-0.10980152784940296
ACH-000036,-0.14553450021676398
ACH-000037,-0.3698622018319199
ACH-000039,-0.034961043775533954
ACH-000040,-0.07499354785343844
ACH-000041,-0.26255337918641897
ACH-000042,-0.22072484799355704
ACH-000045,-0.012143301088768613
ACH-000047,-0.2284943736106733
ACH-000052,-0.3128636408902587
ACH-000053,-0.15799715104360196
ACH-000054,0.022328954646165862
ACH-000055,-0.07574722851195292
ACH-000060,-0.020755962668986726
ACH-000067,-0.01994246927930976
ACH-000070,-0.1585363971934378
ACH-000075,-0.28015649010690274
ACH-000078,-0.296232063602802
ACH-000082,-0.2585227260854055
ACH-000085,-0.2488895625620957
ACH-000086,-0.08707677358767517
ACH-000087,-0.3641713987075469
ACH-000092,-0.3254221977864524
ACH-000095,-0.23017119320620066
ACH-000097,-0.18570860870531872
ACH-000098,-0.14080815752190062
ACH-000099,-0.02811993488117959
ACH-000108,-0.12299170129658915
ACH-000113,-0.012278650986282455
ACH-000116,-0.038775092966978106
ACH-000118,-0.12576909291362715
ACH-000120,0.156710873789551
ACH-000123,-0.30933571520295866
ACH-000127,-0.11062734223197083
ACH-000128,-0.2526416626016388
ACH-000132,-0.14018172798851414
ACH-000133,-0.005258247621456035
ACH-000137,-0.1870512652408342
ACH-000138,-0.10557796165451397
ACH-000142,0.12676787090489464
ACH-000143,-0.19859709294811054
ACH-000146,-0.1446211510271446
ACH-000148,-0.21292352268031567
ACH-000150,-0.16815512704574806
ACH-000152,-0.11660173076991187
ACH-000153,-0.30984481153693416
ACH-000159,-0.09409083530662864
ACH-000160,-0.12224138965847872
ACH-000163,-0.21469844039081296
ACH-000167,-0.3395862579113473
ACH-000168,-0.012460171361613237
ACH-000169,-0.1672649703693386
ACH-000178,-0.13694203478115394
ACH-000183,-0.09261531134429864
ACH-000188,-0.18309744044236254
ACH-000189,-0.3658936748455153
ACH-000190,-0.2792046232324959
ACH-000198,-0.0783018784187726
ACH-000203,-0.09674667859941667
ACH-000204,-0.2676582732941349
ACH-000206,-0.1546797259632939
ACH-000207,0.0010989746087779024
ACH-000208,-0.5561791806546341
ACH-000210,-0.0914226172985102
ACH-000211,-0.08221029314870056
ACH-000215,-0.1776547898090259
ACH-000221,-0.12020387614595075
ACH-000222,0.01470200154023532
ACH-000223,-0.051102212150655885
ACH-000226,-0.2354001588573597
ACH-000227,-0.007649315462632374
ACH-000228,-0.11895073722213985
ACH-000231,-0.040209546828896214
ACH-000232,-0.05238989840347797
ACH-000233,0.03503005276585303
ACH-000234,-0.1885958444965349
ACH-000235,-0.2235744838199754
ACH-000237,-0.2268372330904357
ACH-000238,-0.14834777444337946
ACH-000242,-0.04709714649513028
ACH-000243,-0.11297252307924112
ACH-000244,-0.05186839808115579
ACH-000246,-0.2017705664514072
ACH-000248,-0.1680970734638954
ACH-000250,-0.08915180827953605
ACH-000251,-0.19717247445439914
ACH-000252,-0.10900565581141984
ACH-000253,0.0011268077686015915
ACH-000255,-0.0995453727863462
ACH-000256,0.016008300222520554
ACH-000257,-0.3737078873959703
ACH-000258,-0.13777727870928602
ACH-000259,-0.12084272258629145
ACH-000260,-0.13921639776995975
ACH-000261,-0.14731998382815795
ACH-000262,-0.2224539902774938
ACH-000263,-0.08403368066129445
ACH-000264,-0.24636214719345406
ACH-000265,-0.07414827924896238
ACH-000266,-0.14749869556026066
ACH-000272,-0.19336941081094028
ACH-000274,-0.09473033248513534
ACH-000277,-0.03205599604074506
ACH-000278,-0.27735956910021625
ACH-000279,-0.15907953664619842
ACH-000280,-0.17671875928813946
ACH-000281,-0.028548868804881118
ACH-000288,-0.09455987119250063
ACH-000291,-0.18732074065221715
ACH-000293,-0.09615317019796238
ACH-000294,-0.07541130279477624
ACH-000295,-0.01357244798994657
ACH-000296,-0.22229368896752214
ACH-000302,-0.062481056410889725
ACH-000304,-0.4776776388734862
ACH-000307,-0.20535122505055706
ACH-000308,-0.18807615166413444
ACH-000310,-0.10844016324229533
ACH-000311,-0.049699765366796
ACH-000312,0.03210334096355005
ACH-000315,-0.19242819541688805
ACH-000316,-0.1913354277547638
ACH-000317,-0.07596830181746513
ACH-000318,-0.14171489510699245
ACH-000319,-0.04601928957558755
ACH-000320,-0.12589667550712452
ACH-000322,-0.2087470737559685
ACH-000323,-0.11706742410101667
ACH-000324,-0.07192818754067971
ACH-000329,-0.09644557831755407
ACH-000330,-0.1168878206750029
ACH-000331,-0.11745429328461172
ACH-000332,-0.13246600647668536
ACH-000334,-0.2189548553695519
ACH-000335,0.15804008228823932
ACH-000336,0.14043385558878882
ACH-000337,-0.4099740176977088
ACH-000338,-0.43254992164587225
ACH-000339,-0.1616372165716698
ACH-000341,-0.16444821432884685
ACH-000348,-0.11309702255983935
ACH-000350,-0.07336726831449539
ACH-000352,-0.2388173488608001
ACH-000356,-0.13126343870567453
ACH-000361,-0.09707922406357923
ACH-000362,-0.05478137829284343
ACH-000363,-0.10276992847942852
ACH-000364,-0.19642455519937066
ACH-000365,-0.18097420412144485
ACH-000366,-0.08382833109046486
ACH-000368,-0.13772998543628068
ACH-000374,-0.3031311140503217
ACH-000375,-0.13764058348385222
ACH-000376,-0.1431178423522828
ACH-000381,-0.0920144639658034
ACH-000383,-0.16618724214571898
ACH-000387,-0.13711130608642544
ACH-000389,-0.08509800756364823
ACH-000390,-0.16347060275252673
ACH-000393,-0.0055958043065481465
ACH-000395,-0.2481912790289993
ACH-000396,-0.019068301351149675
ACH-000397,-0.14242412122980366
ACH-000401,-0.252378456118643
ACH-000402,-0.18088712472829965
ACH-000403,-0.096944103999829
ACH-000404,-0.11102349988253726
ACH-000406,-0.14123270724451478
ACH-000407,-0.1162529040750558
ACH-000408,-0.2043232624724579
ACH-000410,-0.19423909690624508
ACH-000411,-0.13941132674222614
ACH-000414,-0.1476002555398325
ACH-000415,-0.06361678678642495
ACH-000416,-0.15692526667452156
ACH-000420,-0.1786372004432408
ACH-000421,-0.1841378712505902
ACH-000424,-0.030467174656712843
ACH-000425,-0.01720008338897779
ACH-000426,-0.08777169250320338
ACH-000427,-0.15093149262164846
ACH-000433,-0.2517301801659894
ACH-000435,-0.4503228234445957
ACH-000436,-0.1856079947755616
ACH-000444,-0.011846878787759248
ACH-000445,0.026046239744330103
ACH-000448,-0.1046230981811216
ACH-000450,-0.06794039039189204
ACH-000452,-0.19755081528020813
ACH-000454,-0.1744389653399623
ACH-000458,-0.02212859052156305
ACH-000459,-0.20354857205088467
ACH-000460,-0.060120601369989424
ACH-000461,-0.01448929573663845
ACH-000463,-0.1003534783462504
ACH-000464,-0.16758916990684228
ACH-000466,-0.06472392354746118
ACH-000467,-0.0960410835627548
ACH-000468,-0.2059531743369258
ACH-000469,-0.12035192069613652
ACH-000470,-0.107010213223566
ACH-000471,-0.18215264994932565
ACH-000472,-0.19273312007291396
ACH-000473,-0.01845959310207377
ACH-000475,-0.12826396336536966
ACH-000476,-0.0222405971081435
ACH-000477,-0.1676083291624884
ACH-000479,0.05417966064213963
ACH-000480,-0.2014859303550089
ACH-000481,-0.1396985402973571
ACH-000483,-0.04536055118872298
ACH-000484,-0.154798417631674
ACH-000485,-0.1396275124046454
ACH-000486,-0.08959199084079687
ACH-000487,-0.08962259901842294
ACH-000488,-0.039304232916769766
ACH-000490,-0.2380422302344746
ACH-000491,-0.07385439542992826
ACH-000495,-0.08626157561617351
ACH-000496,-0.13108591994467156
ACH-000499,-0.18250904197646725
ACH-000500,-0.2956792705529018
ACH-000502,-0.2155768627916433
ACH-000503,-0.3563989006435393
ACH-000505,-0.03941783445519337
ACH-000507,-0.09153745926514642
ACH-000510,-0.11684671004032675
ACH-000511,-0.1700286264851787
ACH-000512,0.07511525045092941
ACH-000516,-0.18507945204836596
ACH-000517,-0.20409662283525976
