,PAXBP1 (94104)
ACH-000004,-0.7260214566329838
ACH-000005,-0.7258469847561115
ACH-000007,-0.9332133034937756
ACH-000009,-0.7701996560560735
ACH-000011,-0.8789080889003145
ACH-000012,-0.9894068850069908
ACH-000013,-0.8068364073254294
ACH-000014,-0.7941185829335762
ACH-000015,-0.8690527293534037
ACH-000017,-1.0165247429175717
ACH-000018,-1.0236108530380394
ACH-000019,-0.7414702956082542
ACH-000021,-0.7587180610936686
ACH-000022,-1.0315860333579472
ACH-000025,-0.9960936640728424
ACH-000028,-0.9377699705665671
ACH-000030,-0.8685250799733067
ACH-000035,-0.8009788836298141
ACH-000036,-1.058690055773846
ACH-000037,-0.6127444344914178
ACH-000039,-0.7446945845254063
ACH-000040,-0.8931427265585924
ACH-000041,-0.7312685337289987
ACH-000042,-0.8302674186193646
ACH-000045,-0.8851086948254063
ACH-000047,-1.0607827944563186
ACH-000052,-0.7476745514217767
ACH-000053,-1.0295589969924652
ACH-000054,-0.6972681820366429
ACH-000055,-0.926493326744206
ACH-000060,-1.1156313185894693
ACH-000067,-0.7443392382870059
ACH-000070,-0.913573237643424
ACH-000075,-0.9193985623313328
ACH-000078,-0.9124624954160204
ACH-000082,-0.8926459578678623
ACH-000085,-0.8636755173440995
ACH-000086,-0.8982282226636084
ACH-000087,-0.7944555701118086
ACH-000092,-0.7767585275046175
ACH-000095,-0.8512754745381421
ACH-000097,-0.99054809501104
ACH-000098,-0.6634995264390897
ACH-000099,-0.6641821977214025
ACH-000108,-1.0786088109447014
ACH-000113,-0.8997921152709205
ACH-000116,-0.8792766039473765
ACH-000118,-0.9496294249957671
ACH-000120,-1.078305158586054
ACH-000123,-0.9069516681410256
ACH-000127,-0.8892465244184042
ACH-000128,-0.882196249286336
ACH-000132,-1.0211178305822328
ACH-000133,-1.144002400930408
ACH-000137,-1.0568378663124445
ACH-000138,-0.8618836088693591
ACH-000142,-1.0097911229182266
ACH-000143,-0.859556603748585
ACH-000146,-0.9300937047098652
ACH-000148,-0.8658576912591774
ACH-000150,-0.8169654941153781
ACH-000152,-0.9137313998486264
ACH-000153,-1.0708288194706257
ACH-000159,-0.8010792124084295
ACH-000160,-1.2120218195506502
ACH-000163,-0.814380456710378
ACH-000167,-1.4612322344230646
ACH-000168,-1.0623220534918931
ACH-000169,-1.1581775376632508
ACH-000178,-1.1100312882308998
ACH-000183,-0.9372563473042004
ACH-000188,-1.0468671244008376
ACH-000189,-1.030452086989438
ACH-000190,-0.8944968323822182
ACH-000198,-0.8945157543442479
ACH-000203,-0.9939455110412588
ACH-000204,-0.452560614483369
ACH-000206,-0.9150698622736716
ACH-000207,-0.9663461028186636
ACH-000208,-0.8281291357488919
ACH-000210,-0.950327161119492
ACH-000211,-0.8698362114882271
ACH-000215,-0.976852958411128
ACH-000221,-0.9716322467722434
ACH-000222,-1.061211480043475
ACH-000223,-1.1157334769388962
ACH-000226,-0.8820630577114075
ACH-000227,-0.8347792051553327
ACH-000228,-1.0899377380212143
ACH-000231,-0.9086947131018848
ACH-000232,-0.8784982791853087
ACH-000233,-0.9908478556159924
ACH-000234,-1.2924446191933012
ACH-000235,-0.8917593928803742
ACH-000237,-0.9148671112271156
ACH-000238,-1.0440025025736932
ACH-000242,-0.7947138710322199
ACH-000243,-0.9179392538610684
ACH-000244,-0.9879611821676578
ACH-000246,-0.8834063849142441
ACH-000248,-1.0077977844991488
ACH-000250,-0.9081095534327932
ACH-000251,-1.1019830128831134
ACH-000252,-0.5155904970740645
ACH-000253,-0.8843528009289476
ACH-000255,-0.9030653797982444
ACH-000256,-0.9746941234041172
ACH-000257,-0.7895531158825672
ACH-000258,-1.2364664823858338
ACH-000259,-1.0902688545211403
ACH-000260,-1.0354591125893875
ACH-000261,-0.8860451732292317
ACH-000262,-0.4292015279387447
ACH-000263,-0.8061755416041259
ACH-000264,-1.0229300995854196
ACH-000265,-1.1407468660180748
ACH-000266,-1.0284027867687444
ACH-000272,-0.5971084549180087
ACH-000274,-0.7977546783524082
ACH-000277,-0.9725182023754728
ACH-000278,-1.2368905837418227
ACH-000279,-0.7315877514951744
ACH-000280,-0.6676863261279985
ACH-000281,-0.7505335652090976
ACH-000288,-1.05535351733071
ACH-000291,-0.7682430104652777
ACH-000293,-1.0714721109967005
ACH-000294,-0.6494792613869216
ACH-000295,-0.8251965729664984
ACH-000296,-0.8957739385064163
ACH-000302,-1.102184328189655
ACH-000304,-0.6612755539250139
ACH-000307,-1.0792154201768744
ACH-000308,-1.1521424725366225
ACH-000310,-0.8440013379789725
ACH-000311,-1.0026233737586587
ACH-000312,-0.9967409304876188
ACH-000315,-0.9972485703166968
ACH-000316,-0.7579702254830097
