,PEF1 (553115)
ACH-000004,-0.37893497202468396
ACH-000005,-0.15924055708400248
ACH-000007,-0.21837412340568246
ACH-000009,-0.4887763610660896
ACH-000011,-0.3385051774086916
ACH-000012,-0.4389161068173841
ACH-000013,-0.4444432327105801
ACH-000014,-0.4260582451974227
ACH-000015,-0.3122180476573089
ACH-000017,-0.291360146145458
ACH-000018,-0.5518912520368657
ACH-000019,-0.434880964474746
ACH-000021,-0.2576190608967528
ACH-000022,-0.3354990164759639
ACH-000025,-0.4286042141628363
ACH-000028,-0.5769989678393408
ACH-000030,-0.33916433689649234
ACH-000035,-0.609035816729476
ACH-000036,-0.4771182320803819
ACH-000037,-0.335054054084487
ACH-000039,-0.2944489502013079
ACH-000040,-0.3673398661131723
ACH-000041,-0.4748879999723483
ACH-000042,-0.3396824114941769
ACH-000045,-0.3807709301117276
ACH-000047,-0.4317940381629092
ACH-000052,-0.3424472683712507
ACH-000053,-0.31614034714390504
ACH-000054,-0.2871387210686728
ACH-000055,-0.6028964960602132
ACH-000060,-0.394827054720412
ACH-000067,-0.4636430561160712
ACH-000070,-0.466733677644514
ACH-000075,-0.5001191722892638
ACH-000078,-0.4236537475052045
ACH-000082,-0.3519130324782611
ACH-000085,-0.4606970066700802
ACH-000086,-0.4688100357276258
ACH-000087,-0.4239673767785703
ACH-000092,-0.535043315018711
ACH-000095,-0.4540783201700111
ACH-000097,-0.33759333827372856
ACH-000098,-0.3837811325396552
ACH-000099,-0.31852956064525434
ACH-000108,-0.4975488959801822
ACH-000113,-0.3741051150786676
ACH-000116,-0.3929125057255383
ACH-000118,-0.3757751470596323
ACH-000120,-0.4601001014082582
ACH-000123,-0.4140482119872457
ACH-000127,-0.3118859668974197
ACH-000128,-0.3873465216445364
ACH-000132,-0.5193483410296174
ACH-000133,-0.4537505955340869
ACH-000137,-0.3945078360641346
ACH-000138,-0.3447869209477959
ACH-000142,-0.4291433948910601
ACH-000143,-0.37193146459678944
ACH-000146,-0.4106370281310166
ACH-000148,-0.4618735406445624
ACH-000150,-0.4493855114743275
ACH-000152,-0.4491364272416458
ACH-000153,-0.5078991280450795
ACH-000159,-0.4292248448565678
ACH-000160,-0.3549611847310295
ACH-000163,-0.2511142488324551
ACH-000167,-0.2827155517506598
ACH-000168,-0.40612185119577504
ACH-000169,-0.4766106356524868
ACH-000178,-0.3919189268538065
ACH-000183,-0.4653419772975023
ACH-000188,-0.391536784825918
ACH-000189,-0.4184678310818825
ACH-000190,-0.34549401458066165
ACH-000198,-0.4855650482569053
ACH-000203,-0.16299863443204352
ACH-000204,-0.3924858150783322
ACH-000206,-0.3523199629027852
ACH-000207,-0.4351586263373491
ACH-000208,-0.3336174252265115
ACH-000210,-0.5299423480776658
ACH-000211,-0.2872095238737725
ACH-000215,-0.4588864165634781
ACH-000221,-0.2267232399920297
ACH-000222,-0.26653163411595404
ACH-000223,-0.3800374133466078
ACH-000226,-0.5156096449087685
ACH-000227,-0.4094332175198036
ACH-000228,-0.4216267643948823
ACH-000231,-0.2694986541432568
ACH-000232,-0.2753750439548947
ACH-000233,-0.4827400019005908
ACH-000234,-0.4009118704356983
ACH-000235,-0.3917079090166895
ACH-000237,-0.4038295242683128
ACH-000238,-0.6035019528250465
ACH-000242,-0.2925032934739745
ACH-000243,-0.38939655358748737
ACH-000244,-0.3027182434738308
ACH-000246,-0.4310468887210874
ACH-000248,-0.3465069264121565
ACH-000250,-0.3672348719415201
ACH-000251,-0.15545249905973915
ACH-000252,-0.3644646426217297
ACH-000253,-0.4925199147810913
ACH-000255,-0.3787508996551704
ACH-000256,-0.390042986102555
ACH-000257,-0.4658074444960759
ACH-000258,-0.2991674868439775
ACH-000259,-0.3582201248187122
ACH-000260,-0.4144945131134702
ACH-000261,-0.3561190175412664
ACH-000262,-0.29680754990963604
ACH-000263,-0.5397981727960901
ACH-000264,-0.4859849616461344
ACH-000265,-0.2783550757166773
ACH-000266,-0.25641232693534066
ACH-000272,-0.4719725244862058
ACH-000274,-0.4703065586023046
ACH-000277,-0.2602803375606893
ACH-000278,-0.3789832045450629
ACH-000279,-0.29157379991625315
ACH-000280,-0.453689016936649
ACH-000281,-0.5178497964978155
ACH-000288,-0.5366496932843232
ACH-000291,-0.4121697067338211
ACH-000293,-0.4952887677151964
ACH-000294,-0.3491220020066138
ACH-000295,-0.4431222977547472
ACH-000296,-0.4033261011838925
ACH-000302,-0.4283414110322201
ACH-000304,-0.5828085566287127
ACH-000307,-0.4341429570833876
ACH-000308,-0.2493224675642693
ACH-000310,-0.3551365670728049
ACH-000311,-0.4276866080564973
ACH-000312,-0.4508227749295965
ACH-000315,-0.1696385152759466
ACH-000316,-0.467105190499174
ACH-000317,-0.5232840309148673
ACH-000318,-0.6711635027241268
ACH-000319,-0.209480510485074
ACH-000320,-0.4339330631519189
ACH-000322,-0.4824217775523866
ACH-000323,-0.5591577194585324
ACH-000324,-0.5564909561739264
ACH-000329,-0.4934010676521637
ACH-000330,-0.4212455587982743
ACH-000331,-0.3661206900651083
ACH-000332,-0.3627678007088497
ACH-000334,-0.3284236349455448
ACH-000335,-0.4341917383009434
