,PARD6G (84552)
ACH-000004,-0.10751293149244637
ACH-000005,0.2363806392869817
ACH-000007,0.06062345462631104
ACH-000009,-0.14203821768473102
ACH-000011,-0.19863880897142933
ACH-000012,-0.14081525328448585
ACH-000013,-0.12624074170554814
ACH-000014,-0.07565576474675317
ACH-000015,-0.1112713354563836
ACH-000017,-0.1025512320157402
ACH-000018,-0.18148696157331493
ACH-000019,-0.13688555624949694
ACH-000021,-0.08190678848895178
ACH-000022,-0.06092056421415555
ACH-000025,0.07505910589376588
ACH-000028,-0.21934293869874505
ACH-000030,-0.12769820022163136
ACH-000035,0.1437054858424166
ACH-000036,-0.18535721739977856
ACH-000037,-0.13995793043872334
ACH-000039,-0.2069465284197521
ACH-000040,-0.2076092993395155
ACH-000041,-0.011140485671938758
ACH-000042,-0.13828746625047902
ACH-000045,-0.026343915908594542
ACH-000047,-0.09198876670873328
ACH-000052,-0.13386433099690664
ACH-000053,-0.097477964703028
ACH-000054,-0.03991065113710022
ACH-000055,-0.18546375894322464
ACH-000060,-0.09302600399640523
ACH-000067,-0.11020336214067966
ACH-000070,-0.25394820931254564
ACH-000075,-0.14999172894417312
ACH-000078,-0.10651390557029433
ACH-000082,-0.19505568570409856
ACH-000085,-0.2137732500241529
ACH-000086,0.116222866461135
ACH-000087,-0.1354272348009313
ACH-000092,-0.06963291210071082
ACH-000095,-0.0040931654203840186
ACH-000097,-0.19368454128189208
ACH-000098,-0.16739322959255662
ACH-000099,-0.3791866702104195
ACH-000108,-0.2455514204510539
ACH-000113,-0.16713456343616445
ACH-000116,-0.18848908068809225
ACH-000118,-0.09398934892007928
ACH-000120,-0.20502160306669487
ACH-000123,-0.11284955840159885
ACH-000127,-0.10989486653635942
ACH-000128,-0.13149632010600465
ACH-000132,-0.09562902215314162
ACH-000133,0.0823258849496858
ACH-000137,-0.10114670113923116
ACH-000138,-0.18677705540134887
ACH-000142,-0.0859065317777101
ACH-000143,-0.36220842397672337
ACH-000146,-0.17592319771577133
ACH-000148,-0.2082978900086646
ACH-000150,-0.030826482675322224
ACH-000152,-0.14706444790087367
ACH-000153,0.116825894852342
ACH-000159,-0.19727199092839653
ACH-000160,-0.059661696240661276
ACH-000163,-0.13755298830712134
ACH-000167,-0.632040761229705
ACH-000168,-0.4523981022395441
ACH-000169,-0.1965586198058112
ACH-000178,-0.04299783260698473
ACH-000183,-0.042156610244383684
ACH-000188,-0.32376874329569016
ACH-000189,-0.30600327064780153
ACH-000190,-0.058011376651545564
ACH-000198,-0.08220840109330252
ACH-000203,-0.30696301369936885
ACH-000204,0.004989660602337557
ACH-000206,-0.0016420965330571956
ACH-000207,-0.04952644682698063
ACH-000208,-0.09389209946369527
ACH-000210,0.26210486792089044
ACH-000211,-0.16102301961196278
ACH-000215,-0.12171718313353927
ACH-000221,0.03345361276119073
ACH-000222,-0.3474897771078515
ACH-000223,-0.2930026031303577
ACH-000226,0.027423438598796084
ACH-000227,-0.1317973184951011
ACH-000228,-0.06607873650190847
ACH-000231,-0.10537501945625098
ACH-000232,-0.11541448608761355
ACH-000233,-0.1290435029369666
ACH-000234,-0.0070645850478742375
ACH-000235,-0.15685597364228546
ACH-000237,-0.18979279848261474
ACH-000238,-0.5368582717969754
ACH-000242,-0.12226316484023635
ACH-000243,-0.16761589474419766
ACH-000244,-0.06745090440810568
ACH-000246,-0.1315134418264587
ACH-000248,-0.11343433104857455
ACH-000250,-0.21322181634890452
ACH-000251,-0.20351125533874592
ACH-000252,-0.08736974094161634
ACH-000253,-0.1786348805024616
ACH-000255,-0.030495063767042405
ACH-000256,-0.1778586585861807
ACH-000257,-0.059865944366462476
ACH-000258,-0.15550540033543714
