,IDE (3416)
ACH-000004,-0.1155361846046887
ACH-000005,0.008037962896345662
ACH-000007,-0.17873177766567325
ACH-000009,-0.27133278363758195
ACH-000011,-0.07841564032068543
ACH-000012,-0.15765065588319974
ACH-000013,-0.1622481358607138
ACH-000014,-0.1216733385335785
ACH-000015,-0.23525360606660306
ACH-000017,-0.08580218179703339
ACH-000018,-0.08811483671544648
ACH-000019,-0.19834121339029745
ACH-000021,-0.12267322952815353
ACH-000022,-0.032545832353040004
ACH-000025,-0.3854089751318328
ACH-000028,-0.18441568782572987
ACH-000030,-0.2512206207853333
ACH-000035,-0.017478943376572374
ACH-000036,-0.26044663293331083
ACH-000037,-0.2156894491166708
ACH-000039,-0.04726994455955814
ACH-000040,-0.22190128885415555
ACH-000041,0.0007913156411929075
ACH-000042,-0.10209141173004314
ACH-000045,-0.15872774918925872
ACH-000047,-0.35270700116755793
ACH-000052,-0.2957908619816761
ACH-000053,0.014724350252165362
ACH-000054,-0.13401289830345978
ACH-000055,-0.2835262907552931
ACH-000060,-0.3750470019440124
ACH-000067,-0.1813039105120093
ACH-000070,-0.21521195701044185
ACH-000075,-0.11835986524124975
ACH-000078,-0.042082518065693984
ACH-000082,-0.07006859191913167
ACH-000085,-0.2868172580074317
ACH-000086,-0.23844624446867885
ACH-000087,-0.2398286750147842
ACH-000092,-0.16975441835721755
ACH-000095,-0.18106750918333372
ACH-000097,-0.20075654521058134
ACH-000098,-0.2305495458671865
ACH-000099,-0.13996533054112675
ACH-000108,-0.2463931380653843
ACH-000113,-0.17584644371630148
ACH-000116,-0.2255614109972035
ACH-000118,-0.2011395461158037
ACH-000120,-0.2254484039772773
ACH-000123,-0.20146461539059266
ACH-000127,-0.2007965926897048
ACH-000128,-0.23584809250142774
ACH-000132,-0.2414529160457577
ACH-000133,-0.17092508355913685
ACH-000137,-0.0721485205998181
ACH-000138,-0.1596940608867107
ACH-000142,-0.18991018533132856
ACH-000143,-0.11962595482494515
ACH-000146,-0.13679591428621718
ACH-000148,-0.27790093640192426
ACH-000150,-0.08834773187865567
ACH-000152,-0.2577949663829808
ACH-000153,-0.03211534874247224
ACH-000159,-0.2193921630845376
ACH-000160,-0.3504215771741754
ACH-000163,-0.14347264229300924
ACH-000167,-0.3130093778042275
ACH-000168,-0.07975601919815975
ACH-000169,-0.3389227250831228
ACH-000178,-0.11877016174014896
ACH-000183,-0.4619286149272116
ACH-000188,-0.10196922888131656
ACH-000189,-0.09790133725756146
ACH-000190,-0.11661808747678208
ACH-000198,-0.19365616528057125
ACH-000203,-0.3259856156916899
