,TCHH (7062)
ACH-000004,0.07876073673596376
ACH-000005,0.1848887542659254
ACH-000007,0.09041452091680452
ACH-000009,-0.3368481173028523
ACH-000011,-0.11540372306759045
ACH-000012,-0.1117669419259256
ACH-000013,-0.06928984887839999
ACH-000014,-0.17389531616626205
ACH-000015,-0.16222727840900406
ACH-000017,-0.05819186552177586
ACH-000018,-0.0526523732773548
ACH-000019,-0.09742600492504704
ACH-000021,-0.18894516010904186
ACH-000022,-0.10806013992653796
ACH-000025,-0.12548183743127694
ACH-000028,-0.2158071041789967
ACH-000030,-0.04365206798436376
ACH-000035,-0.046122507358563235
ACH-000036,-0.04550066572232712
ACH-000037,-0.1353500147279402
ACH-000039,-0.18984389643492205
ACH-000040,-0.11128581088872402
ACH-000041,-0.1864738538616658
ACH-000042,-0.08209505669387472
ACH-000045,-0.0685757420858149
ACH-000047,-0.1647197232546793
ACH-000052,-0.14736782033765775
ACH-000053,-0.08420205484415429
ACH-000054,-0.17388714603572838
ACH-000055,-0.0958165028636634
ACH-000060,-0.1589151009215214
ACH-000067,-0.12688172246047005
ACH-000070,-0.1885120686290474
ACH-000075,-0.023792127399558376
ACH-000078,-0.07556901558492776
ACH-000082,-0.13164215981342128
ACH-000085,0.026241895847098632
ACH-000086,-0.3469644238555833
ACH-000087,-0.25453075165215033
ACH-000092,-0.102289642875759
ACH-000095,-0.19369789476877528
ACH-000097,-0.15680565251341586
ACH-000098,-0.19049049909081506
ACH-000099,-0.0785788267453608
ACH-000108,0.07974880559620667
ACH-000113,-0.08145654054620892
ACH-000116,-0.16066337432267105
ACH-000118,-0.08738944425413851
ACH-000120,-0.08433622114506142
ACH-000123,-0.025132180259535463
ACH-000127,-0.06772183198814788
ACH-000128,-0.212369322215276
ACH-000132,-0.10375820761729426
ACH-000133,-0.11486372739489105
ACH-000137,-0.10329204828279152
ACH-000138,-0.028568814157279087
ACH-000142,-0.05627830530684259
ACH-000143,-0.09300764679648094
ACH-000146,-0.08321647551501449
ACH-000148,-0.09981114781996267
ACH-000150,-0.09026159134050207
ACH-000152,-0.15255033273768334
ACH-000153,-0.0808550297237524
ACH-000159,-0.2117059211810841
ACH-000160,-0.07948835316329893
ACH-000163,-0.09654320044097646
ACH-000167,0.032908159604830615
ACH-000168,0.019011943293522945
ACH-000169,-0.015736939922553202
ACH-000178,-0.2047741146868798
ACH-000183,-0.05001396342837624
ACH-000188,-0.05774587771958465
ACH-000189,0.005718900207686468
ACH-000190,0.04638362756227241
ACH-000198,-0.12202629239680413
ACH-000203,-0.3164975629966896
ACH-000204,-0.3575907088177944
ACH-000206,0.0574056764018548
ACH-000207,-0.0245719505625396
ACH-000208,-0.14871940892945062
ACH-000210,0.06886234339136914
ACH-000211,-0.07442126614976652
ACH-000215,-0.2014092781856464
ACH-000221,-0.11930839901110613
ACH-000222,-0.04818911318417591
ACH-000223,-0.042240367681491434
ACH-000226,0.02041128623763655
ACH-000227,0.043740647488518636
ACH-000228,-0.11595244305644542
ACH-000231,-0.07953071225955534
ACH-000232,-0.13315708100902424
ACH-000233,-0.046788106391084786
ACH-000234,-0.12051646020534178
ACH-000235,-0.1304479718840642
ACH-000237,-0.0873312367852702
ACH-000238,-0.06500122176206573
ACH-000242,-0.27765416453968217
ACH-000243,-0.09437033632355127
ACH-000244,-0.18865538800590964
ACH-000246,-0.162354557636139
ACH-000248,-0.08268960619124012
ACH-000250,-0.11033264547653887
