,GPI (2821)
ACH-000004,-0.3310578381381302
ACH-000005,-0.3228284534756974
ACH-000007,-0.28853767504689554
ACH-000009,-0.367945873638156
ACH-000011,-0.1473601122391165
ACH-000012,-0.7654652168159393
ACH-000013,-0.695394355999488
ACH-000014,-0.38653583390213
ACH-000015,-0.5327257386422968
ACH-000017,-0.23855246101633346
ACH-000018,-0.4886290041147564
ACH-000019,-0.06382317086223263
ACH-000021,-0.13528906451365302
ACH-000022,-0.137102940791035
ACH-000025,-0.6073401572769294
ACH-000028,-0.5354303477174939
ACH-000030,-0.30873610413123265
ACH-000035,-0.7046710627924383
ACH-000036,-0.7806946893302228
ACH-000037,-0.5037368076775715
ACH-000039,-0.7460507181439457
ACH-000040,-0.21369693425197694
ACH-000041,-0.13794016381913274
ACH-000042,-0.4325074998908287
ACH-000045,0.8611519180479766
ACH-000047,0.0317723463122398
ACH-000052,-0.44277713024761217
ACH-000053,-0.3468133069710179
ACH-000054,-0.0226783589422868
ACH-000055,-0.9525870363363576
ACH-000060,-0.5834565350923574
ACH-000067,-0.4274444907853984
ACH-000070,-0.383571614479691
ACH-000075,0.0194009375628957
ACH-000078,-0.3406671036438623
ACH-000082,-0.1790116920098787
ACH-000085,-0.32089609710061484
ACH-000086,-0.4699767061634865
ACH-000087,-0.7383484556660457
ACH-000092,-0.2852857321635519
ACH-000095,-0.4103359812677221
ACH-000097,-0.12660259926123427
ACH-000098,-0.6110899985245704
ACH-000099,-0.5663465829392419
ACH-000108,-0.4677861759353025
ACH-000113,-0.3278570077257718
ACH-000116,-0.2659243075462097
ACH-000118,-0.1081828291053208
ACH-000120,-0.17239920915083026
ACH-000123,-0.3589057974017125
ACH-000127,-0.18142043672042268
ACH-000128,-0.4826021328553451
ACH-000132,-0.054061584066515726
ACH-000133,-0.4342187724048149
ACH-000137,-0.5802662659312118
ACH-000138,-0.47934089274344804
ACH-000142,-0.4426269921202879
ACH-000143,-0.4072033897173845
ACH-000146,-0.012679557018233535
ACH-000148,-0.3458199946126598
ACH-000150,-0.7450068235966498
ACH-000152,-0.21849224732700376
ACH-000153,-0.5621307504235629
ACH-000159,-0.3947979149003593
ACH-000160,-0.4453287097084371
ACH-000163,-0.7354041799099366
ACH-000167,-0.20669513180178906
ACH-000168,-0.044965546427571605
ACH-000169,-0.5003291888920033
ACH-000178,-0.6885563418089052
ACH-000183,-0.5773469632906842
ACH-000188,-0.8596896772579208
ACH-000189,-0.6519822686322527
ACH-000190,-0.4269869744047943
ACH-000198,-0.060838329033723736
ACH-000203,0.06337769210883414
ACH-000204,-0.0800860221776607
ACH-000206,-0.6678321148460599
ACH-000207,-0.24827381471316204
ACH-000208,-0.5258160434482411
ACH-000210,-0.2811945572673792
ACH-000211,-0.3293126209323249
ACH-000215,-0.6013442803719978
ACH-000221,-0.5154299065526099
ACH-000222,-0.4325445454406328
ACH-000223,-0.34652796730433066
ACH-000226,-0.7044920199303305
ACH-000227,-0.3067039306845775
ACH-000228,-0.7648541548477187
ACH-000231,-0.1895076631378944
ACH-000232,-0.3558727101475706
ACH-000233,-0.12772362134714474
ACH-000234,-0.2394225522403663
ACH-000235,-0.5232339557915647
ACH-000237,-0.5091156306684336
ACH-000238,-0.25237712238385834
ACH-000242,0.07100796200767058
ACH-000243,-0.5175862026237817
ACH-000244,-0.5410110978110483
ACH-000246,-0.4159842763162033
ACH-000248,-0.6560799284261052
ACH-000250,-0.800871573173159
ACH-000251,-0.18279051401976606
ACH-000252,-0.09769883889110467
ACH-000253,-0.3111907290938935
ACH-000255,-0.9396037725189232
