,PSTK (118672)
ACH-000004,-0.6947008154529358
ACH-000005,-0.8618649071180725
ACH-000007,-0.13732946806920834
ACH-000009,-0.3853595048875351
ACH-000011,-0.7356015745267358
ACH-000012,-0.8276076662891129
ACH-000013,-0.4447900934585896
ACH-000014,-0.6153185415782604
ACH-000015,-0.5456517597223436
ACH-000017,-0.34298320407381794
ACH-000018,-0.57118942593966
ACH-000019,-0.3009461985989002
ACH-000021,-0.9588746068034971
ACH-000022,-0.26946681669550343
ACH-000025,-0.7867847733485973
ACH-000028,-0.4654525720925306
ACH-000030,-0.5889853704593482
ACH-000035,-0.9285150033871022
ACH-000036,-0.6618668795646321
ACH-000037,-0.8424695634164395
ACH-000039,-0.630586340366093
ACH-000040,-0.4596904487412537
ACH-000041,-1.0279486912435525
ACH-000042,-0.4988831825721959
ACH-000045,-0.7701791744484574
ACH-000047,-0.7781177425710174
ACH-000052,-0.7900862196503244
ACH-000053,-0.9250651308010368
ACH-000054,-0.951057772575926
ACH-000055,-0.8431650761101904
ACH-000060,-0.3512059132391712
ACH-000067,-0.9038863112395036
ACH-000070,-0.6438260473749965
ACH-000075,-0.3940420159685573
ACH-000078,-0.4316231329505327
ACH-000082,-0.6051396094104812
ACH-000085,-0.7388355011606932
ACH-000086,-0.506343124863581
ACH-000087,-0.7526437261711133
ACH-000092,-0.2451805913607729
ACH-000095,-0.7435071776505541
ACH-000097,-0.3221506370468464
ACH-000098,-0.4269200413618962
ACH-000099,-0.6150690644841471
ACH-000108,-0.4084907043126016
ACH-000113,-0.6856859714096327
ACH-000116,-0.8818328505180945
ACH-000118,-0.5752235418111802
ACH-000120,-0.9657233207357688
ACH-000123,-0.5508661753613241
ACH-000127,-0.5459427424761877
ACH-000128,-0.8830342570984095
ACH-000132,-0.8610562655816579
ACH-000133,-0.9141247803686844
ACH-000137,-0.8732820708576257
ACH-000138,-0.3851530671506292
ACH-000142,-0.42673379892295904
ACH-000143,-0.6560271389036065
ACH-000146,-0.5316140095248004
ACH-000148,-0.7835260677911404
ACH-000150,-0.8587013638066527
ACH-000152,-0.9235766662713062
ACH-000153,-0.3094821975289929
ACH-000159,-0.8525783086061631
ACH-000160,-0.2580955107973429
ACH-000163,-0.8594303801364014
ACH-000167,-0.8709581595613836
ACH-000168,-0.7146651979012488
ACH-000169,-0.3710707443615064
ACH-000178,-0.5920119525079532
ACH-000183,-0.6203626166129842
ACH-000188,-0.6806396917154107
ACH-000189,-0.6805824795541038
ACH-000190,-0.4746448286386274
ACH-000198,-0.6194768044942883
ACH-000203,-0.5551459540486792
ACH-000204,-0.4369246952757488
ACH-000206,-0.7781800936713315
ACH-000207,-0.3689524517043628
ACH-000208,-0.6734999510096009
ACH-000210,-0.5153506438740292
ACH-000211,-0.7944845796483022
ACH-000215,-0.6196765117595134
ACH-000221,-0.4988090699513123
ACH-000222,-0.5211736971318337
ACH-000223,-0.685390456032013
ACH-000226,-0.5890491981557513
ACH-000227,-0.7313955925032636
ACH-000228,-0.5358255842378198
ACH-000231,-0.5937351755151278
ACH-000232,-0.2752403486440657
ACH-000233,-0.7229386615445764
ACH-000234,-0.7480906675212217
ACH-000235,-0.4696850156578411
ACH-000237,-0.3301790654758928
ACH-000238,-0.5679353952347515
ACH-000242,-0.21300805563664524
ACH-000243,-0.8513746651960826
ACH-000244,-0.7389142889672577
ACH-000246,-0.8020924439965548
ACH-000248,-0.44260442817384793
ACH-000250,-0.5394364954123295
ACH-000251,-1.0597537552071667
ACH-000252,-0.2969125160866797
ACH-000253,-0.19200706251755256
ACH-000255,-0.5891943332622493
ACH-000256,-0.6714962441657378
ACH-000257,-0.4210447749701882
ACH-000258,-0.3149915011201089
ACH-000259,-0.9862088617451336
ACH-000260,-0.7732457594820599
