,MVB12B (89853)
ACH-000004,0.08463619782631641
ACH-000005,-0.3600032990957732
ACH-000007,-0.1886597406885996
ACH-000009,-0.2958773240628977
ACH-000011,-0.2504905596070344
ACH-000012,-0.2307773040651992
ACH-000013,-0.2486136252289344
ACH-000014,-0.2709158602664693
ACH-000015,-0.35445920418664095
ACH-000017,-0.2874419189825156
ACH-000018,-0.3908191819526443
ACH-000019,-0.1336939959857299
ACH-000021,-0.21553585136840345
ACH-000022,-0.31681502843951964
ACH-000025,-0.10224220396978367
ACH-000028,0.034264965382698236
ACH-000030,-0.14543449349472387
ACH-000035,-0.16999045717623815
ACH-000036,-0.1284585392307265
ACH-000037,-0.22042060639450106
ACH-000039,0.0018849185010743187
ACH-000040,-0.3203957650034929
ACH-000041,-0.2163234317084087
ACH-000042,-0.2362106185825375
ACH-000045,-0.2517386004389873
ACH-000047,-0.06702665416481365
ACH-000052,-0.2059971395127915
ACH-000053,-0.12224106958261086
ACH-000054,-0.19895760434126966
ACH-000055,-0.05042135531041786
ACH-000060,-0.12431133676063695
ACH-000067,-0.09438100531519883
ACH-000070,-0.30831677212931696
ACH-000075,-0.22562715153733146
ACH-000078,-0.1942982251066958
ACH-000082,-0.1552618255388765
ACH-000085,0.012583614391146736
ACH-000086,-0.043532824258991916
ACH-000087,-0.16499350514093647
ACH-000092,-0.10568439970490402
ACH-000095,-0.12418697377949092
ACH-000097,-0.14507706314944532
ACH-000098,-0.16321041782647178
ACH-000099,-0.2230210037059244
ACH-000108,-0.2537841660627301
ACH-000113,-0.048293999366112034
ACH-000116,-0.21364348786038484
ACH-000118,-0.22726279976570246
ACH-000120,-0.2231825323357713
ACH-000123,-0.13012261065154795
ACH-000127,-0.15483027149324546
ACH-000128,-0.11527961003915467
ACH-000132,-0.20228895973450625
ACH-000133,-0.2741773796840816
ACH-000137,-0.2271053372791892
ACH-000138,-0.20191388105543906
ACH-000142,-0.1977749930399256
ACH-000143,-0.24692088522417102
ACH-000146,-0.17145793899830278
ACH-000148,-0.11529719320335745
ACH-000150,-0.07378071553533051
ACH-000152,-0.315945360634199
ACH-000153,-0.06907797988020704
ACH-000159,-0.18428962189858025
ACH-000160,-0.27803314566540915
ACH-000163,-0.3427433266565558
ACH-000167,-0.17591542533169385
ACH-000168,-0.2541416289771593
ACH-000169,-0.16322173209464513
ACH-000178,-0.2496705115403232
ACH-000183,-0.09234231861518084
ACH-000188,-0.21365172331589904
ACH-000189,-0.10285819584473606
ACH-000190,-0.1615270236167443
ACH-000198,-0.09526212988942913
ACH-000203,0.2813526257603249
ACH-000204,-0.4477633827606304
ACH-000206,-0.1500155440633638
ACH-000207,-0.09210356270120396
ACH-000208,-0.3190259353576887
ACH-000210,-0.19164163649216667
ACH-000211,-0.2932038832055613
ACH-000215,-0.22333172299100745
ACH-000221,-0.3282683454090323
ACH-000222,-0.22643095290306464
ACH-000223,-0.2595035771299328
ACH-000226,-0.1895045418072948
ACH-000227,-0.3165248372211473
ACH-000228,-0.13358692127743327
ACH-000231,-0.17333764828213552
ACH-000232,-0.2542126633252124
ACH-000233,-0.09399072912827906
ACH-000234,-0.20747373013015388
ACH-000235,-0.20292899948222695
ACH-000237,-0.2426477471447463
ACH-000238,-0.12894236237671575
ACH-000242,-0.147226573891826
ACH-000243,-0.07418291589746895
ACH-000244,0.02896900124463636
ACH-000246,-0.17409682128389192
ACH-000248,-0.18741775968266286
ACH-000250,-0.2329808672684465
ACH-000251,-0.09460681879438462
ACH-000252,-0.2551471372146394
ACH-000253,-0.18932489290620053
ACH-000255,-0.24195197467446986
ACH-000256,-0.09085578852297103
ACH-000257,0.00953021715798642
ACH-000258,-0.20171710080860664
ACH-000259,-0.2746695186394499
ACH-000260,-0.18500453958447274
ACH-000261,-0.04931317630368611
ACH-000262,-0.10236356870040833
ACH-000263,-0.2694787237115733
ACH-000264,-0.1711065431712828
ACH-000265,-0.15620959692038786
ACH-000266,-0.15131644212168982
ACH-000272,-0.17746943116847294
