,UBIAD1 (29914)
ACH-000004,-0.2351074521075784
ACH-000005,-0.8102245984552688
ACH-000007,-0.32970015653291795
ACH-000009,-0.158059955846713
ACH-000011,-0.4993490100162093
ACH-000012,-0.13714219736153166
ACH-000013,-0.029838114339577407
ACH-000014,-0.8884305453288218
ACH-000015,-0.18629526190921789
ACH-000017,-0.001814816263058772
ACH-000018,-0.6752879780119002
ACH-000019,-0.04082906978789915
ACH-000021,-0.050456814664220064
ACH-000022,-0.06954065887130535
ACH-000025,-0.746612326277193
ACH-000028,-0.15772777848140312
ACH-000030,-0.8019613316493306
ACH-000035,-0.4523585026985124
ACH-000036,-0.9177359336343291
ACH-000037,-0.16418191411201752
ACH-000039,-0.2707026361095146
ACH-000040,-0.6744802533584656
ACH-000041,-0.18716548689344756
ACH-000042,-0.6619121166971133
ACH-000045,-0.054487092846569635
ACH-000047,-0.09501980509183428
ACH-000052,-0.4037276751651812
ACH-000053,-0.638193752996271
ACH-000054,-0.7828181172819747
ACH-000055,-0.3269876217103345
ACH-000060,-0.2042490149927449
ACH-000067,-0.3939679471445597
ACH-000070,-0.057622427931909886
ACH-000075,-0.4343753257665669
ACH-000078,0.13831710407663667
ACH-000082,-0.3695316093284156
ACH-000085,-0.4003871137423459
ACH-000086,-0.12371671776266514
ACH-000087,-0.2190144452462698
ACH-000092,-0.8770668761900866
ACH-000095,-0.12137551034145892
ACH-000097,-0.2551652018110418
ACH-000098,-0.08520951870959753
ACH-000099,-0.08083147447069006
ACH-000108,-0.9404636636888736
ACH-000113,-0.4415891454670012
ACH-000116,-0.10905822842045323
ACH-000118,-0.8150702589658786
ACH-000120,-0.20091015871824935
ACH-000123,-0.7592173085645436
ACH-000127,-1.1310582255436588
ACH-000128,-0.393590078533858
ACH-000132,-1.103487761270822
ACH-000133,-0.5877818163040027
ACH-000137,-0.15704625337269645
ACH-000138,-0.15713707212185482
ACH-000142,-0.08435502052487688
ACH-000143,-0.9016607035620436
ACH-000146,0.0688557182218382
ACH-000148,-0.4616778689420847
ACH-000150,-0.5943158547505196
ACH-000152,-0.5963478947049367
ACH-000153,-0.7423127670628816
ACH-000159,-0.3392997785694492
ACH-000160,-0.4258905375758978
ACH-000163,-0.14195916826041258
ACH-000167,-0.5595206303024227
ACH-000168,-0.14064506578868216
ACH-000169,-0.2146448796552503
ACH-000178,-0.8674887686909241
ACH-000183,-0.507235598214912
ACH-000188,-0.6949764765711184
ACH-000189,-0.30160298401035784
ACH-000190,-0.2809270921451665
ACH-000198,-0.19344942203956828
ACH-000203,-0.2843936681395146
ACH-000204,-0.393323924079944
ACH-000206,-0.18744324094930345
ACH-000207,-0.2841604339758555
ACH-000208,-0.5148645050859344
ACH-000210,-0.5547871714503189
ACH-000211,-0.14009320035950226
ACH-000215,-0.18853875515817872
ACH-000221,0.007166911776780412
ACH-000222,-0.4686669266784631
ACH-000223,-0.379133521239498
ACH-000226,-0.6788325618565071
ACH-000227,-0.6326911941443346
ACH-000228,-0.05108501244603751
ACH-000231,-0.10692970777537396
ACH-000232,-0.14432222255207353
ACH-000233,-0.9241861538921274
ACH-000234,-0.4739151618636475
ACH-000235,-0.7448787893997595
ACH-000237,-0.3001361996933535
ACH-000238,-0.4762707988758576
ACH-000242,-0.473510330186906
ACH-000243,0.010733579589346036
ACH-000244,-0.15922199432418954
ACH-000246,-0.4255696314727191
ACH-000248,-0.23583619336355466
ACH-000250,-0.05192391629634329
ACH-000251,-0.8042089202342285
ACH-000252,-0.4963617112154575
ACH-000253,-0.6880440537456469
ACH-000255,-0.685759804847604
ACH-000256,-0.1320091468404577
ACH-000257,-0.4794251588303692
ACH-000258,-0.15705494425442001
ACH-000259,-0.052323593920934136
ACH-000260,-0.15040915036844574
ACH-000261,-0.4682322081295833
ACH-000262,-0.2766975399571334
ACH-000263,-0.3222986755515773
ACH-000264,-0.18778531478963734
ACH-000265,-0.3765129076770936
ACH-000266,-0.3902862013748585
ACH-000272,-0.18897720041208727
ACH-000274,-0.5149474617340699
ACH-000277,-0.2455386096053785
ACH-000278,-0.31201885379985506
ACH-000279,-0.1963091443232339
ACH-000280,-0.1530895607815938
ACH-000281,-0.2916901574192084
ACH-000288,-0.24971068374640734
ACH-000291,-0.2416584176288329
ACH-000293,-0.17857804594742074
ACH-000294,-0.0203915459616866
ACH-000295,-0.2702020711853453
ACH-000296,-0.12154039888835758
ACH-000302,-0.14570112655358908
ACH-000304,-0.6992603359740379
ACH-000307,-0.08476461808304278
ACH-000308,-0.3457229677424222
ACH-000310,-0.09245027152859854
ACH-000311,-0.6869805643332626
ACH-000312,-0.17182358079733226
ACH-000315,-0.14390751843527136
ACH-000316,-0.2983929989405804
ACH-000317,-0.929120305982558
ACH-000318,-0.9348929563693532
ACH-000319,-0.3147000157188157
ACH-000320,-0.4285629661335648
ACH-000322,-0.6514654646592046
ACH-000323,-0.18009300960247845
ACH-000324,-0.2673882045153793
ACH-000329,-0.1989502541436662
ACH-000330,-0.028655427429986623
ACH-000331,-0.8048678145123823
ACH-000332,-0.6051213446190588
ACH-000334,-0.14943461210059322
ACH-000335,-0.6139208662829482
ACH-000336,-0.4737957110491219
ACH-000337,-0.18664657722143632
ACH-000338,-0.5311767260767968
ACH-000339,-0.6513578279528476
ACH-000341,-0.5656254470213969
ACH-000348,-0.5973927542899004
ACH-000350,-0.7495365847950404
ACH-000352,-0.22390423154012254
ACH-000356,-0.2694024009863391
ACH-000361,-0.6927643770087201
ACH-000362,0.059238300848524064
ACH-000363,-0.12324616559770855
ACH-000364,-0.4203949402842779
ACH-000365,-0.0976954816817878
ACH-000366,-0.09028524577037632
ACH-000368,-0.2821394527970864
ACH-000374,-0.060522722392819535
ACH-000375,-0.5396070884616359
ACH-000376,-0.7822099553624807
ACH-000381,-0.032716238258321616
ACH-000383,-0.16795855135462728
ACH-000387,-0.002725865404746888
ACH-000389,-0.26370520005002296
ACH-000390,0.020448336563288136
ACH-000393,-0.17904259498091096
ACH-000395,-0.44530685431425376
ACH-000396,-0.5187423262607657
ACH-000397,-0.12016459262979708
ACH-000401,-0.4528809250811909
ACH-000402,-0.1792597937720342
ACH-000403,-0.4373593013734092
ACH-000404,-1.0847342107170108
ACH-000406,0.011706870085192876
ACH-000407,-0.231893747270222
ACH-000408,-0.38943462720401306
ACH-000410,-0.11832001520446947
ACH-000411,-0.3374877066047097
ACH-000414,-0.04962771269994225
ACH-000415,0.014492434970156357
ACH-000416,-1.0894960957225943
ACH-000420,-0.5427027621077416
ACH-000421,-0.2255329014935499
ACH-000424,-0.2129570556733506
ACH-000425,-0.7222911255739835
ACH-000426,-0.6333877061836892
ACH-000427,-0.3459852937111775
ACH-000433,-0.39225125168833536
ACH-000435,-0.2481941371259895
ACH-000436,-0.5712014242820045
