,PRADC1 (84279)
ACH-000004,-0.12884716927139284
ACH-000005,-0.22088766760812015
ACH-000007,-0.1820981452952413
ACH-000009,-0.11406479767990575
ACH-000011,0.06385335334365018
ACH-000012,-0.1102785871294822
ACH-000013,-0.07786592005476539
ACH-000014,-0.06950290190950714
ACH-000015,-0.041703477316399916
ACH-000017,-0.15486923840670047
ACH-000018,-0.0639605944989711
ACH-000019,0.034127917485773214
ACH-000021,-0.1350467683094909
ACH-000022,-0.06556362278941015
ACH-000025,-0.06681292429414708
ACH-000028,-0.019109777541386597
ACH-000030,-0.14879026022106084
ACH-000035,-0.23135329801745305
ACH-000036,-0.2739982375914937
ACH-000037,-0.15939469585275354
ACH-000039,-0.21338524179297366
ACH-000040,-0.1034166758273984
ACH-000041,-0.056639657582442375
ACH-000042,-0.05598174715157145
ACH-000045,-0.005156549327085322
ACH-000047,-0.2944775424252867
ACH-000052,-0.11934650128805943
ACH-000053,-0.17130062865885626
ACH-000054,-0.12431061883303343
ACH-000055,-0.008630341987198366
ACH-000060,-0.015151398768020324
ACH-000067,-0.12474723810000155
ACH-000070,-0.2132129591789255
ACH-000075,-0.13769008138740724
ACH-000078,-0.17893083706986895
ACH-000082,-0.06869201915652799
ACH-000085,-0.2254574678285708
ACH-000086,-0.17275247474257244
ACH-000087,-0.1741518848116263
ACH-000092,-0.2574535392443294
ACH-000095,-0.20108747124125648
ACH-000097,-0.13519673655895792
ACH-000098,-0.08423663568647807
ACH-000099,-0.14725467443279142
ACH-000108,-0.07095531100179092
ACH-000113,-0.10301329200701356
ACH-000116,-0.13491338118630986
ACH-000118,-0.11708408478065413
ACH-000120,-0.1039927119829242
ACH-000123,-0.07085473168257135
ACH-000127,-0.14179717098786104
ACH-000128,-0.1691095097161119
ACH-000132,-0.03592453538875424
ACH-000133,-0.2977332194005133
ACH-000137,-0.2128670764343244
ACH-000138,-0.022161497175991657
ACH-000142,-0.11001852360164434
ACH-000143,-0.001906074474514318
ACH-000146,-0.09374296264027876
ACH-000148,-0.06532650532926967
ACH-000150,0.08386747561384733
ACH-000152,-0.3148919471118501
ACH-000153,-0.10530945037114192
ACH-000159,-0.2324016292318611
ACH-000160,-0.12902760737764066
ACH-000163,-0.16332615123494496
ACH-000167,-0.4007441414574752
ACH-000168,-0.0232060112921833
ACH-000169,-0.06719286038577506
ACH-000178,0.022698956925832174
ACH-000183,-0.08430846793143547
ACH-000188,-0.23496662594126586
ACH-000189,-0.29175522880688914
ACH-000190,-0.031407988683918905
ACH-000198,-0.07900610943967952
ACH-000203,0.1669508482534272
ACH-000204,0.07512851528278312
ACH-000206,-0.030620104807321413
ACH-000207,-0.03286252541247772
ACH-000208,-0.040162831795523636
ACH-000210,-0.05093220137575085
ACH-000211,-0.15003969358033134
ACH-000215,-0.18662267964140716
ACH-000221,-0.13947264423198924
ACH-000222,-0.15857526437743266
ACH-000223,-0.12152682274831153
ACH-000226,-0.3431586787512092
ACH-000227,-0.17945187712410327
ACH-000228,-0.15533672054774605
ACH-000231,-0.2096086056593725
ACH-000232,-0.04261452098368646
ACH-000233,-0.09203339759951018
ACH-000234,-0.17988323386057492
ACH-000235,-0.08147854429491856
ACH-000237,-0.10541426729502287
ACH-000238,-0.3103518014770125
ACH-000242,-0.05555733233941551
ACH-000243,-0.1178443464096462
ACH-000244,-0.0906169619778473
ACH-000246,-0.133159760532726
ACH-000248,-0.22470679263764348
ACH-000250,-0.13502796636460498
ACH-000251,-0.07548194534808121
ACH-000252,-0.1267272441867903
ACH-000253,-0.15415801085253256
ACH-000255,-0.2354524228138065
ACH-000256,-0.13820723907157348
ACH-000257,-0.15690330219187498
ACH-000258,0.01941688173981692
ACH-000259,-0.23392574627417498
ACH-000260,-0.11168387295554164
ACH-000261,-0.11779446201524554
ACH-000262,-0.2112317673819633
ACH-000263,-0.09304447537231814
ACH-000264,-0.21429831300077504
ACH-000265,-0.1937493937683133
ACH-000266,-0.12089612164412784
ACH-000272,-0.13797817166196066
ACH-000274,-0.22284103878622566
ACH-000277,-0.0826032335944378
ACH-000278,-0.18560883484637056
ACH-000279,-0.2201982655270484
ACH-000280,-0.029967943877660143
ACH-000281,-0.1930030194980624
ACH-000288,-0.1262769160926624
ACH-000291,-0.20632443653321186
ACH-000293,-0.22443370471970547
ACH-000294,-0.17135012726853896
ACH-000295,-0.024168051715842142
ACH-000296,-0.13176029522210314
ACH-000302,-0.08720733517543981
ACH-000304,-0.13473520112400242
ACH-000307,-0.14845152884336052
ACH-000308,-0.10013496354900707
ACH-000310,-0.09195754571348276
ACH-000311,-0.14220172369026216
ACH-000312,-0.13522506840140902
ACH-000315,-0.1966200930115772
ACH-000316,0.00605310411603772
ACH-000317,-0.2618560251389941
ACH-000318,-0.14137840628173873
ACH-000319,0.025049760937213804
ACH-000320,-0.0923960766620424
ACH-000322,-0.2142433484436448
ACH-000323,-0.0479014331170536
ACH-000324,-0.04753017880495685
ACH-000329,-0.06012150841645975
ACH-000330,-0.28444494765780004
ACH-000331,-0.2950145095469696
ACH-000332,-0.11085573683173024
ACH-000334,-0.12033177580405904
ACH-000335,-0.4477696872225176
ACH-000336,0.02594741036371673
ACH-000337,0.045356329449279184
ACH-000338,0.2294807855215855
ACH-000339,-0.1371832565683154
ACH-000341,-0.18652073507032674
ACH-000348,-0.17225124705062753
ACH-000350,-0.05137958593606472
ACH-000352,-0.05830733046133059
ACH-000356,-0.1271092606613892
ACH-000361,0.13023245281751145
ACH-000362,-0.033236593691361366
ACH-000363,-0.09215683824737238
ACH-000364,-0.09592822645973616
ACH-000365,-0.11504959948997365
ACH-000366,-0.10481094327318252
ACH-000368,-0.1835725808365901
ACH-000374,-0.17155472302867136
ACH-000375,0.07237751961588337
ACH-000376,-0.1465347074426064
ACH-000381,-0.2948045579001653
ACH-000383,-0.10973106612523087
ACH-000387,-0.074153783954458
ACH-000389,0.0683964910048681
ACH-000390,-0.256046710872474
ACH-000393,-0.11145669814091652
ACH-000395,-0.31463408919460345
ACH-000396,-0.3120392025615576
ACH-000397,-0.13583287206349814
ACH-000401,-0.09716880815116384
ACH-000402,-0.05838413876853499
ACH-000403,-0.1929013071622948
ACH-000404,-0.06691916678225235
ACH-000406,-0.081405733020967
ACH-000407,-0.2507739392292023
ACH-000408,-0.058793450786413314
ACH-000410,-0.1241550634946954
ACH-000411,-0.11829654291731298
ACH-000414,-0.07658873449385008
ACH-000415,-0.2106514155412513
ACH-000416,-0.160832209228035
ACH-000420,-0.18592064999162924
ACH-000421,-0.047448977976105366
ACH-000424,-0.08883486636780374
ACH-000425,-0.1177868607886614
ACH-000426,-0.14261722024597578
ACH-000427,-0.13389642754647074
ACH-000433,-0.31314424968141635
