,SNUPN (10073)
ACH-000004,-0.8638153770920936
ACH-000005,-0.6296146477923104
ACH-000007,-0.8578020985298264
ACH-000009,-0.8250039822495785
ACH-000011,-0.6123909034005289
ACH-000012,-0.8003645221949591
ACH-000013,-0.9024875944120552
ACH-000014,-0.8101272916446342
ACH-000015,-0.5733200990718974
ACH-000017,-0.7571828823474448
ACH-000018,-0.8944363133656106
ACH-000019,-0.7995421485459623
ACH-000021,-0.7378007599702641
ACH-000022,-0.3945431636769979
ACH-000025,-0.921520722387409
ACH-000028,-0.8986220755215925
ACH-000030,-0.7577348676398457
ACH-000035,-0.6692370445923121
ACH-000036,-0.7759608626860793
ACH-000037,-0.6668660004280852
ACH-000039,-0.7294742526754705
ACH-000040,-0.9396023624555484
ACH-000041,-0.5858302821530086
ACH-000042,-0.8046004054084306
ACH-000045,-0.5897829433111996
ACH-000047,-0.9515928222372688
ACH-000052,-0.7548590683438164
ACH-000053,-0.37806149627270497
ACH-000054,-0.4629763823594388
ACH-000055,-0.7895523310895253
ACH-000060,-0.8470425374615416
ACH-000067,-0.9353769971015
ACH-000070,-0.5566450495269231
ACH-000075,-0.8153648703462424
ACH-000078,-0.5352574952531076
ACH-000082,-0.7414079326582633
ACH-000085,-0.9157668917042604
ACH-000086,-0.7881703238195511
ACH-000087,-0.6276815284918341
ACH-000092,-0.5425466160754019
ACH-000095,-0.5137781542131965
ACH-000097,-0.7551808626193334
ACH-000098,-0.6185915256667851
ACH-000099,-0.3671192079603948
ACH-000108,-0.6549945319010374
ACH-000113,-0.5557642957657339
ACH-000116,-0.7647848775433358
ACH-000118,-0.8555087957927139
ACH-000120,-0.7363657056083479
ACH-000123,-0.7200981664217115
ACH-000127,-0.6820925648000191
ACH-000128,-0.7861757468466058
ACH-000132,-0.8150768856563124
ACH-000133,-0.8052232308481189
ACH-000137,-0.8003197341953557
ACH-000138,-0.421991626942376
ACH-000142,-0.926971404494116
ACH-000143,-0.9195699985769016
ACH-000146,-0.5046892273855055
ACH-000148,-0.8926390107085687
ACH-000150,-0.6474847788232992
ACH-000152,-0.9051928943047168
ACH-000153,-0.9481004275865932
ACH-000159,-0.5930148202075164
