,ATP6V1A (523)
ACH-000004,-1.505493622932022
ACH-000005,-1.4517625935420206
ACH-000007,-1.3447341334252676
ACH-000009,-1.2283642685980345
ACH-000011,-1.1003142969929487
ACH-000012,-1.1588462617375532
ACH-000013,-0.96388744111319
ACH-000014,-1.4325927958250804
ACH-000015,-1.0017605040296154
ACH-000017,-1.0533011468901614
ACH-000018,-1.1877193264628705
ACH-000019,-1.2141547238916912
ACH-000021,-1.321895435632237
ACH-000022,-0.9830189689722156
ACH-000025,-1.283890176880744
ACH-000028,-1.1376174298483486
ACH-000030,-1.1947708496609688
ACH-000035,-1.3240564039325171
ACH-000036,-1.318195107155258
ACH-000037,-0.405178202186624
ACH-000039,-1.10025963565191
ACH-000040,-1.1597298284611584
ACH-000041,-1.1149515511631891
ACH-000042,-1.1464788156360286
ACH-000045,-1.3785538134065
ACH-000047,-1.1768587755468731
ACH-000052,-1.334493738651502
ACH-000053,-1.3582311146675838
ACH-000054,-1.181489310803396
ACH-000055,-1.2350944796237646
ACH-000060,-1.1530290774475067
ACH-000067,-1.2611139457136509
ACH-000070,-1.241017639009516
ACH-000075,-1.125774873540965
ACH-000078,-1.0994265208059515
ACH-000082,-0.9284343463150008
ACH-000085,-1.1931576540334738
ACH-000086,-1.201967721937142
ACH-000087,-1.205345015801048
ACH-000092,-1.0441463870991643
ACH-000095,-1.0629758854034448
ACH-000097,-1.142635621084854
ACH-000098,-1.042044014204269
ACH-000099,-0.921103783348192
ACH-000108,-1.128385588571006
ACH-000113,-1.2009497249239345
ACH-000116,-1.2896872036481333
ACH-000118,-1.2066286116027407
ACH-000120,-1.2452716665599797
ACH-000123,-1.2664241504195035
ACH-000127,-1.2518454637847212
ACH-000128,-1.1519439638601938
ACH-000132,-1.0517162385397028
ACH-000133,-1.218043033544792
ACH-000137,-0.9545533687770784
ACH-000138,-1.1659347206696091
ACH-000142,-1.2425467114973574
ACH-000143,-1.2462622257231508
ACH-000146,-1.3210483409387892
ACH-000148,-0.9903411782649344
ACH-000150,-0.9759198941649484
ACH-000152,-0.921532624887096
ACH-000153,-1.348332685028998
ACH-000159,-1.0980728637561548
ACH-000160,-1.0190966143105176
ACH-000163,-0.9173238573545164
ACH-000167,-1.6003984723175313
ACH-000168,-1.1670395749016178
ACH-000169,-1.3335360182892353
ACH-000178,-1.268196034128748
ACH-000183,-1.2143258464254747
ACH-000188,-1.1524033155594786
ACH-000189,-1.3122514438532675
ACH-000190,-1.3000884333236875
ACH-000198,-1.210555620664272
ACH-000203,-0.940697959807856
ACH-000204,-1.0711156050524278
ACH-000206,-0.9934709707103344
ACH-000207,-1.039252660756208
ACH-000208,-1.2237476919470585
ACH-000210,-1.2817346623471069
ACH-000211,-1.0435534709039391
ACH-000215,-1.2365939416220697
ACH-000221,-1.3772132746782166
ACH-000222,-1.2643504374710464
ACH-000223,-1.2334310268765207
ACH-000226,-1.060487294420862
ACH-000227,-0.8920084874858134
ACH-000228,-1.2487458344497824
ACH-000231,-1.0631671888716463
ACH-000232,-1.2751866149194415
ACH-000233,-1.3013924334118696
ACH-000234,-1.3671900546946918
ACH-000235,-1.0119948462669874
ACH-000237,-1.2449968317104458
ACH-000238,-1.0401107363807864
ACH-000242,-0.7378310987686397
ACH-000243,-1.1787462139988527
ACH-000244,-1.331937251616567
ACH-000246,-1.324881744210241
ACH-000248,-1.0783010311704817
ACH-000250,-1.1544244337763412
ACH-000251,-1.5405320507867424
ACH-000252,-1.4450716108894
ACH-000253,-1.2397678432586436
ACH-000255,-1.0702556537548005
ACH-000256,-1.256041295246741
ACH-000257,-0.8175328085276864
ACH-000258,-0.7515142324407933
ACH-000259,-1.2815041379055987
ACH-000260,-1.0140272995808128
ACH-000261,-1.0245305309329962
ACH-000262,-1.3366351394263942
ACH-000263,-1.1752408002611816
ACH-000264,-1.257227740954349
ACH-000265,-1.044023821669598
ACH-000266,-1.2982907892429143
ACH-000272,-1.1061140697980356
ACH-000274,-0.8706069205282952
ACH-000277,-1.1679594703156344
ACH-000278,-1.614907310261057
ACH-000279,-1.1741577090289976
ACH-000280,-1.09076481697864
ACH-000281,-1.2644484455877734
ACH-000288,-1.2605575862281615
ACH-000291,-1.0692125965564132
