,THUMPD1 (55623)
ACH-000004,-0.3183822329996179
ACH-000005,-0.4127954242011777
ACH-000007,-0.21646476592663108
ACH-000009,-0.08154820032263603
ACH-000011,-0.27980090905213856
ACH-000012,-0.3475547095878874
ACH-000013,-0.4130648889458927
ACH-000014,-0.32545131281437323
ACH-000015,-0.2958293779957565
ACH-000017,-0.1610656519754638
ACH-000018,-0.5281991948125005
ACH-000019,-0.278839796835298
ACH-000021,-0.2668388494084131
ACH-000022,-0.3354526947253281
ACH-000025,-0.5189488960826175
ACH-000028,-0.1851091913014184
ACH-000030,-0.3101534263098312
ACH-000035,-0.5127664459348598
ACH-000036,-0.4018905996373257
ACH-000037,-0.3288329485571751
ACH-000039,-0.4209481770186913
ACH-000040,-0.4415056643663143
ACH-000041,-0.212762270449388
ACH-000042,-0.10485328769158003
ACH-000045,-0.3596643332710525
ACH-000047,-0.3964630034131911
ACH-000052,-0.18490583334984387
ACH-000053,-0.22281647551662415
ACH-000054,-0.2812581917336533
ACH-000055,-0.13157053488672818
ACH-000060,-0.25679192465041945
ACH-000067,-0.2406812600458564
ACH-000070,-0.14291230786887155
ACH-000075,-0.5162007112259269
ACH-000078,-0.2344180071528267
ACH-000082,-0.1511203874253705
ACH-000085,-0.3846950764010801
ACH-000086,-0.20387303691336667
ACH-000087,-0.4980701065065625
ACH-000092,-0.3426079608417373
ACH-000095,-0.2924079658919792
ACH-000097,-0.2786841981901225
ACH-000098,-0.2854891386414343
ACH-000099,-0.2005768365282421
ACH-000108,-0.3174623962798577
ACH-000113,-0.09930939929734033
ACH-000116,-0.3399350523432282
ACH-000118,-0.19672952347948106
ACH-000120,-0.24726258183768995
ACH-000123,-0.4534175276069529
ACH-000127,-0.5622897419533881
ACH-000128,-0.02555828938135873
ACH-000132,-0.2865226258441814
ACH-000133,-0.2496884675600255
ACH-000137,-0.30393842110496905
ACH-000138,-0.232525327599748
ACH-000142,-0.4218403256746666
ACH-000143,-0.3428068153522276
ACH-000146,-0.2472114082526097
ACH-000148,-0.3098915030227912
ACH-000150,-0.15531199420257533
ACH-000152,-0.24653897273363246
ACH-000153,-0.4143434283491461
ACH-000159,-0.3692720774203713
ACH-000160,-0.17644250493033264
ACH-000163,-0.21861845729699045
ACH-000167,-0.3969648864095575
ACH-000168,-0.1841031699155227
ACH-000169,-0.180777563134579
ACH-000178,-0.3637491435074113
ACH-000183,-0.13378228296169195
ACH-000188,-0.30668781154231023
ACH-000189,-0.21185580166699305
ACH-000190,-0.11754976765737266
ACH-000198,-0.3745367640339558
ACH-000203,-0.14256291108794866
ACH-000204,-0.2576627469649094
ACH-000206,-0.08402369082298693
ACH-000207,-0.2516010771706558
ACH-000208,-0.2161047382248431
ACH-000210,-0.2892049593820641
ACH-000211,-0.2616084099205758
ACH-000215,-0.4049135080610821
ACH-000221,-0.3055653700598301
ACH-000222,-0.1947882945032415
ACH-000223,-0.20150172021782908
ACH-000226,-0.2272259977688125
ACH-000227,-0.20863399385129025
ACH-000228,-0.2149980233403943
ACH-000231,-0.3479935796353917
ACH-000232,-0.2208330542462862
ACH-000233,-0.3512902286418305
ACH-000234,-0.2882463536435344
ACH-000235,-0.22183091976804867
ACH-000237,-0.25036919868171226
ACH-000238,-0.12289627532427096
ACH-000242,-0.29397270433775474
ACH-000243,-0.4213143776903605
ACH-000244,-0.2593308635870894
ACH-000246,-0.19409860259261744
ACH-000248,-0.4761732554324951
ACH-000250,-0.4201786805040889
ACH-000251,-0.2889222493434969
ACH-000252,-0.07562820752851697
ACH-000253,-0.3227125072745473
ACH-000255,-0.3014505717502969
ACH-000256,-0.0022467897166014873
ACH-000257,-0.4477597259308244
ACH-000258,-0.3861360313799003
ACH-000259,-0.2102707256298424
ACH-000260,-0.4238719499641814
ACH-000261,-0.3574271189126805
ACH-000262,-0.2580593055982501
ACH-000263,-0.22182036590178594
ACH-000264,-0.23023752845369436
ACH-000265,-0.2897063238383397
ACH-000266,-0.1866705972857637
ACH-000272,-0.2619601573851493
ACH-000274,-0.31598349075299875
ACH-000277,-0.2450856451380285
ACH-000278,-0.3670934483691284
ACH-000279,-0.4525527130371758
ACH-000280,-0.5264634006059613
ACH-000281,-0.17733899718917212
ACH-000288,-0.27713101031032955
ACH-000291,-0.3608489262820591
ACH-000293,-0.21383459482852765
ACH-000294,-0.6577276004365129
ACH-000295,-0.44723719623920893
ACH-000296,-0.3099790542985266
ACH-000302,-0.18657626194124796
ACH-000304,-0.2954592921350189
ACH-000307,-0.21417111680201975
ACH-000308,-0.33317428593667997
ACH-000310,-0.2901610527494323
ACH-000311,-0.24798441711765698
ACH-000312,-0.2060131668367073
ACH-000315,-0.3653817065686789
ACH-000316,-0.2784875645328993
ACH-000317,-0.2317657876825789
ACH-000318,-0.22531039380374665
ACH-000319,-0.3761393710674885
ACH-000320,-0.08125329553610727
ACH-000322,-0.2944607242017049
ACH-000323,-0.3242282135850356
ACH-000324,-0.3430005743301365
ACH-000329,-0.3393296387393641
ACH-000330,-0.42282519892775977
ACH-000331,-0.3015635749556956
ACH-000332,-0.26323434922935723
ACH-000334,-0.2436232107282921
ACH-000335,-0.3677985857848491
ACH-000336,-0.2712298685905975
ACH-000337,-0.0988301899192964
ACH-000338,-0.12682199585190546
ACH-000339,-0.31073934481615084
ACH-000341,-0.06534525309780588
ACH-000348,-0.32993414141479577
ACH-000350,-0.3201649566855426
ACH-000352,-0.2451756120222213
ACH-000356,-0.3889633619306838
ACH-000361,-0.5126463307679878
ACH-000362,-0.38810257600344544
ACH-000363,-0.17098042614956538
ACH-000364,-0.5340388255717449
ACH-000365,-0.262069719572054
ACH-000366,-0.22495119276068629
ACH-000368,-0.2698658900179468
ACH-000374,-0.4566511862091888
ACH-000375,-0.2937766526189629
ACH-000376,-0.3085055902331691
ACH-000381,-0.21514152037401849
ACH-000383,-0.2768914508440858
ACH-000387,-0.3291937793789313
ACH-000389,-0.2512149736847618
ACH-000390,-0.379979155929636
ACH-000393,-0.2969537183014932
ACH-000395,0.04753030409102646
ACH-000396,-0.3372019178271577
ACH-000397,-0.5198994405098175
ACH-000401,-0.3239838490979304
ACH-000402,-0.3090204085772433
ACH-000403,-0.2693366835412995
ACH-000404,-0.32477167027196296
ACH-000406,-0.1987751902432308
ACH-000407,-0.3430810141101136
ACH-000408,-0.3378421439038452
ACH-000410,-0.27014624962619965
ACH-000411,-0.368683894813044
ACH-000414,-0.23677626206522864
ACH-000415,-0.461896049041388
ACH-000416,-0.215732478222788
ACH-000420,-0.2041723511785367
ACH-000421,-0.2818561973360162
ACH-000424,-0.1607085001681494
ACH-000425,-0.2654844122533537
ACH-000426,-0.3997171402377732
ACH-000427,-0.4102458790186503
ACH-000433,-0.2599656480046102
ACH-000435,-0.18998909417665275
ACH-000436,-0.3271277618608231
ACH-000444,-0.33257815014254183
ACH-000445,-0.4036510949506508
ACH-000448,-0.2884696520363584
ACH-000450,-0.16542680227766451
ACH-000452,-0.3284798897696116
ACH-000454,-0.3663586480281317
ACH-000458,-0.35811145973100744
ACH-000459,-0.34101895427702844
