,NT5C3B (115024)
ACH-000004,-0.20000437389822567
ACH-000005,-0.42497183806353295
ACH-000007,-0.03432117295994621
ACH-000009,-0.4386182988938875
ACH-000011,-0.3573896522359171
ACH-000012,-0.29915258295852537
ACH-000013,-0.2456662242658645
ACH-000014,0.017206417889744512
ACH-000015,-0.05873350274059282
ACH-000017,-0.3609072776963169
ACH-000018,-0.15839022896603885
ACH-000019,-0.2481202686133236
ACH-000021,-0.12978150728993193
ACH-000022,-0.12617912173637258
ACH-000025,-0.20202363623867065
ACH-000028,-0.3024149763475689
ACH-000030,-0.2468914881582315
ACH-000035,-0.25440451135175424
ACH-000036,-0.13255886740599165
ACH-000037,-0.23943677477306974
ACH-000039,-0.20257040814799027
ACH-000040,-0.2630775827882854
ACH-000041,-0.2147920133164728
ACH-000042,-0.19025017255170187
ACH-000045,-0.19109042660562872
ACH-000047,-0.2104629708625358
ACH-000052,-0.1357342932033816
ACH-000053,-0.15485158247557074
ACH-000054,-0.1834554823036601
ACH-000055,-0.3501748078371246
ACH-000060,-0.3687096114532829
ACH-000067,-0.3398041542316626
ACH-000070,-0.06621376640080913
ACH-000075,-0.17631443220690365
ACH-000078,-0.13358341441595156
ACH-000082,-0.2949417969092985
ACH-000085,-0.16634067964410956
ACH-000086,-0.3694280645104129
ACH-000087,-0.08036619863066466
ACH-000092,-0.4012919448747557
ACH-000095,-0.27082005979595225
ACH-000097,-0.5115307598192127
ACH-000098,-0.3715809777148516
ACH-000099,-0.2052684306435247
ACH-000108,-0.10518088418882207
ACH-000113,-0.11988526634340535
ACH-000116,-0.26250084636645604
ACH-000118,-0.2348588837970639
ACH-000120,-0.12956367544000566
ACH-000123,-0.2391351422451609
ACH-000127,-0.1935396084167018
ACH-000128,0.00047613476653956887
ACH-000132,-0.21024402254309715
ACH-000133,-0.15249887622707156
ACH-000137,-0.2293501885524565
ACH-000138,-0.25998232319908204
ACH-000142,-0.2868166667561268
ACH-000143,-0.14539384590592275
ACH-000146,-0.18152722027773813
ACH-000148,-0.2442211137655108
