,MRPS18A (55168)
ACH-000004,-0.3547296506243754
ACH-000005,-0.5658885569021997
ACH-000007,-0.6226324019771244
ACH-000009,-0.34542011227502695
ACH-000011,-0.35517753813083275
ACH-000012,-0.5150948468214023
ACH-000013,-0.5812399200671353
ACH-000014,-0.2590837595115588
ACH-000015,-0.4612742827653674
ACH-000017,-0.40334311868010175
ACH-000018,-0.4433961029850396
ACH-000019,-0.6284519928159009
ACH-000021,-0.4418919714317511
ACH-000022,-0.5321560652390502
ACH-000025,-0.5189003706666812
ACH-000028,-0.6251788528859783
ACH-000030,-0.5299133793946808
ACH-000035,-0.6629714575907554
ACH-000036,-0.17062152681224554
ACH-000037,-0.3359209731411341
ACH-000039,-0.30416787609427803
ACH-000040,-0.3366025653811149
ACH-000041,-0.35726250443737856
ACH-000042,-0.2415572859948929
ACH-000045,-0.4753093909005822
ACH-000047,-0.4498899150349249
ACH-000052,-0.5517565449570273
ACH-000053,-0.3762942611258837
ACH-000054,-0.5438756956352934
ACH-000055,-0.31179630593512797
ACH-000060,-0.3536375785145664
ACH-000067,-0.3646400335748276
ACH-000070,-0.2571913431893745
ACH-000075,-0.15013939345081054
ACH-000078,-0.39718757063361104
ACH-000082,-0.2796150184603781
ACH-000085,-0.4440375211371882
ACH-000086,-0.4772584552040188
ACH-000087,-0.3909599161375904
ACH-000092,-0.4128081241759544
ACH-000095,-0.20034890267514915
ACH-000097,-0.3179052227784901
ACH-000098,-0.5852140397319591
ACH-000099,-0.4756677958771973
ACH-000108,-0.15897542791592725
ACH-000113,-0.3699503775176069
ACH-000116,-0.5432113853197345
ACH-000118,-0.8389586853806026
ACH-000120,-0.34446385175977146
ACH-000123,-0.3834838712227721
ACH-000127,-0.4378289860433304
ACH-000128,-0.5678828090688484
ACH-000132,-0.5366564592669574
ACH-000133,-0.320439409691637
ACH-000137,-0.14335496719591087
ACH-000138,-0.4673586592546661
ACH-000142,-0.21150583564049646
ACH-000143,-0.44886070613083506
ACH-000146,-0.3752082841609001
ACH-000148,-0.4160019076760386
ACH-000150,-0.4908798774152728
ACH-000152,-0.3752260004852302
ACH-000153,-0.5554386651004574
ACH-000159,-0.4971771406086578
ACH-000160,-0.4189633366293171
ACH-000163,-0.3067811814173881
ACH-000167,-0.46183661464640297
ACH-000168,-0.11771270236164096
ACH-000169,-0.5732047211108259
ACH-000178,-0.4474828207315899
ACH-000183,-0.4716523514973697
ACH-000188,-0.17889496556704032
ACH-000189,-0.4725819035764343
ACH-000190,-0.6443622953943022
ACH-000198,-0.3485141693941615
ACH-000203,-0.6746373734741855
ACH-000204,-0.3970927153605117
ACH-000206,-0.35891417006256016
ACH-000207,-0.37052204355091617
ACH-000208,-0.3976177760280973
ACH-000210,-0.7713874568670016
ACH-000211,-0.3742743967365454
ACH-000215,-0.5628892221634003
ACH-000221,-0.8509043146008874
ACH-000222,-0.41906901285711706
ACH-000223,-0.4960238595583801
ACH-000226,-0.3237419220431567
ACH-000227,-0.5003412310241759
ACH-000228,-0.21707812611707009
ACH-000231,-0.4664690149024231
ACH-000232,-0.4355084577843996
ACH-000233,-0.5791029654972877
ACH-000234,-0.18342612681420975
ACH-000235,-0.4885595759315826
ACH-000237,-0.1808853226265381
ACH-000238,-0.4602450714869159
ACH-000242,-0.21373424693068171
ACH-000243,-0.4471736456262607
ACH-000244,-0.5849570644344061
ACH-000246,-0.4634888049464746
ACH-000248,-0.44944138532774186
ACH-000250,-0.2190205015567017
ACH-000251,-0.5938594945379115
ACH-000252,-0.4524924372109373
ACH-000253,-0.5614003628766776
ACH-000255,-0.4449490513266339
ACH-000256,-0.3509251868063731
ACH-000257,-0.2896193606428725
ACH-000258,-0.4569972577405294
ACH-000259,-0.620253653742206
ACH-000260,-0.3370811031157972
ACH-000261,-0.35931356596746783
ACH-000262,-0.16283476184716186
ACH-000263,-0.3032578073395301
ACH-000264,-0.35551911629529764
ACH-000265,-0.5169857728774623
ACH-000266,-0.4688094083005505
ACH-000272,-0.2345337010720023
ACH-000274,-0.2399999801555242
ACH-000277,-0.3834999326518038
ACH-000278,-0.2871034490752509
ACH-000279,-0.5614900110281404
ACH-000280,-0.27096601963907524
ACH-000281,-0.3881944620255953
ACH-000288,-0.5507566113904633
ACH-000291,-0.4433428603912381
ACH-000293,-0.451983464651915
ACH-000294,-0.09011233485535776
ACH-000295,-0.3813344862896923
ACH-000296,-0.3065103802818783
ACH-000302,-0.4844503662301604
ACH-000304,-0.5753981640256364
ACH-000307,-0.4172112632864811
ACH-000308,-0.3903881862948702
ACH-000310,-0.3724487156252793
ACH-000311,-0.3957265496268314
ACH-000312,-0.6261878070610101
ACH-000315,-0.4500816513122284
ACH-000316,-0.4931507232975016
ACH-000317,-0.8039053331219399
ACH-000318,-0.5673820773270759
ACH-000319,-0.2756152405015898
ACH-000320,-0.6465084154295865
