,CENPW (387103)
ACH-000004,-0.9777600915824516
ACH-000005,-0.965650312344516
ACH-000007,-1.1062813262980076
ACH-000009,-1.1107745089204932
ACH-000011,-1.3506361495101162
ACH-000012,-1.2518752550070529
ACH-000013,-1.3507499573602977
ACH-000014,-1.2852244026196078
ACH-000015,-1.2223451765586322
ACH-000017,-1.181844928244376
ACH-000018,-1.0099798222879977
ACH-000019,-1.0135755729715124
ACH-000021,-1.0110601331916982
ACH-000022,-1.2470108323396238
ACH-000025,-1.2643534959804512
ACH-000028,-1.0284532371168098
ACH-000030,-1.4602230278214747
ACH-000035,-1.0032589860732803
ACH-000036,-1.193205958504046
ACH-000037,-1.2008701120576977
ACH-000039,-1.2428423783005171
ACH-000040,-1.122741936794039
ACH-000041,-1.2316293405274004
ACH-000042,-1.4704181081247512
ACH-000045,-1.0646112517037445
ACH-000047,-1.5266037295585373
ACH-000052,-0.8737125988654909
ACH-000053,-1.3237763043424804
ACH-000054,-1.1729416411847833
ACH-000055,-1.0009492358560468
ACH-000060,-1.4436810855927262
ACH-000067,-1.273035719289303
ACH-000070,-1.3471506882149369
ACH-000075,-0.9398800960068548
ACH-000078,-1.2523677845489332
ACH-000082,-1.0847388955797317
ACH-000085,-1.621145753710576
ACH-000086,-0.9352893513471146
ACH-000087,-1.365328026911318
ACH-000092,-1.1035265490518924
ACH-000095,-1.0890107820947272
ACH-000097,-1.045640482435662
ACH-000098,-0.9345310020639496
ACH-000099,-1.1091282607742794
ACH-000108,-1.3091277691010623
ACH-000113,-0.8415286571355733
ACH-000116,-1.316263838027249
ACH-000118,-1.3918273058413446
ACH-000120,-1.1978403056734697
ACH-000123,-1.1302821768198128
ACH-000127,-0.9731062624004126
ACH-000128,-1.0602675793197458
ACH-000132,-1.2670649418854971
ACH-000133,-1.2140409833669563
ACH-000137,-1.3908777178744356
ACH-000138,-1.2992133989992307
ACH-000142,-0.9156279386579296
ACH-000143,-1.1740091801720478
ACH-000146,-1.1242760838279229
ACH-000148,-1.3019546108178253
ACH-000150,-0.8345643702010447
ACH-000152,-0.9953690833055028
ACH-000153,-1.0966396183144598
ACH-000159,-0.7940315468724523
ACH-000160,-1.0998613725743034
ACH-000163,-1.062339349714686
ACH-000167,-1.3324826381394743
ACH-000168,-1.3000259924504036
