,EIF3C (8663)
ACH-000004,0.2528145949584733
ACH-000005,0.21962237851584387
ACH-000007,0.35533503070571265
ACH-000009,0.3435717250483529
ACH-000011,0.3385372520039316
ACH-000012,0.23338643937182665
ACH-000013,-0.016326597413463397
ACH-000014,0.34992916017818904
ACH-000015,0.054661206632896725
ACH-000017,0.3517154050433876
ACH-000018,0.2327462813542097
ACH-000019,0.31571273542154943
ACH-000021,0.2266421411413104
ACH-000022,0.3202789625072844
ACH-000025,0.2882422423740553
ACH-000028,0.40608333136033264
ACH-000030,0.2627150890704622
ACH-000035,-0.058520631304838186
ACH-000036,0.2658322251075253
ACH-000037,0.1308703228239855
ACH-000039,0.3519653849408151
ACH-000040,0.4348950329067641
ACH-000041,0.1626717209581742
ACH-000042,0.40180635534114056
ACH-000045,0.2340139848031761
ACH-000047,0.2775904266043285
ACH-000052,0.245091838539698
ACH-000053,0.08318220054780967
ACH-000054,0.4334101144335089
ACH-000055,0.30653363357111163
ACH-000060,0.2685962229992709
ACH-000067,0.2618539620359931
ACH-000070,0.12748008728236682
ACH-000075,-0.022909224069287568
ACH-000078,0.27701121648295995
ACH-000082,0.20030386269970035
ACH-000085,0.13018432059917506
ACH-000086,0.4043559527590032
ACH-000087,0.24772164075269815
ACH-000092,0.25918604362414005
ACH-000095,0.29950749958690176
ACH-000097,0.25617449578288704
ACH-000098,0.17195252104565736
ACH-000099,0.23603970464248006
ACH-000108,0.300598241401942
ACH-000113,0.2672570201881168
ACH-000116,0.25656171655602983
ACH-000118,0.20247944080352429
ACH-000120,0.3578951248389053
ACH-000123,0.2637251880324957
ACH-000127,0.28922124222921586
ACH-000128,0.2504440275663143
ACH-000132,0.08408088167038189
ACH-000133,0.2727264410016297
ACH-000137,0.09899701340477224
ACH-000138,0.386641850271409
ACH-000142,0.05986651182080971
ACH-000143,0.16447665698717945
ACH-000146,0.19019980733079014
ACH-000148,0.15969253526509242
ACH-000150,0.024792488911544446
ACH-000152,0.34088025238175196
ACH-000153,0.1365487043903789
ACH-000159,0.17310381609498554
ACH-000160,0.20581220770932954
ACH-000163,0.37863783301373455
