,EXTL1 (2134)
ACH-000004,-0.3689415643754899
ACH-000005,-0.3550513351348437
ACH-000007,-0.20908468131106586
ACH-000009,-0.268151845013418
ACH-000011,-0.2767277334433234
ACH-000012,-0.23119840180172266
ACH-000013,-0.2744255986978454
ACH-000014,-0.2594848449801165
ACH-000015,-0.2359011424279897
ACH-000017,-0.12893839721222314
ACH-000018,-0.3041169569120527
ACH-000019,-0.14963520809525582
ACH-000021,-0.1653051018024971
ACH-000022,-0.227465149063248
ACH-000025,-0.1163678662732925
ACH-000028,-0.1322364710332011
ACH-000030,-0.1828921908514418
ACH-000035,-0.3731318001857116
ACH-000036,-0.2072191873126343
ACH-000037,-0.32235110736676154
ACH-000039,-0.22676034873656656
ACH-000040,-0.3443105723101689
ACH-000041,-0.1633093112538693
ACH-000042,-0.30587574890379154
ACH-000045,-0.16311422484545746
ACH-000047,-0.18265826918949354
ACH-000052,-0.3761922099190162
ACH-000053,-0.20132622899919986
ACH-000054,-0.11541453342362253
ACH-000055,-0.2601423477885265
ACH-000060,-0.2806942937902898
ACH-000067,-0.1560331687328185
ACH-000070,-0.28967109509321803
ACH-000075,-0.2476386692665458
ACH-000078,-0.14248205760026722
ACH-000082,-0.2429306505552941
ACH-000085,-0.3572864345451815
ACH-000086,-0.27806455970106025
ACH-000087,-0.30747446253789884
ACH-000092,-0.42873484837531095
ACH-000095,-0.2749865202523362
ACH-000097,-0.2487802455723008
ACH-000098,-0.16955574236768026
ACH-000099,-0.10215181138299473
ACH-000108,-0.3041619874505449
ACH-000113,-0.08897443470878816
ACH-000116,-0.3742619808269367
ACH-000118,-0.2170502570036569
ACH-000120,-0.15083509401037612
ACH-000123,-0.21192825992797826
ACH-000127,-0.23774192592164145
ACH-000128,-0.3505643353184176
ACH-000132,-0.3590778102329763
ACH-000133,-0.2868402953232129
ACH-000137,-0.5274500887345556
ACH-000138,-0.1448606894955352
ACH-000142,-0.4314401318061646
ACH-000143,-0.3570420603012029
