,DENR (8562)
ACH-000004,-0.6759489788241175
ACH-000005,-0.7127024215774119
ACH-000007,-0.9280245120868068
ACH-000009,-0.8885236958920131
ACH-000011,-0.8559140512811088
ACH-000012,-0.6527379381306041
ACH-000013,-0.7860541564434577
ACH-000014,-0.4081763862471274
ACH-000015,-0.7049770856854128
ACH-000017,-0.9195123605088259
ACH-000018,-0.8596174161836883
ACH-000019,-0.43322909754979705
ACH-000021,-0.4658148129171765
ACH-000022,-0.8995784093005842
ACH-000025,-0.7002358613753341
ACH-000028,-0.5046369706742087
ACH-000030,-0.63596454467494
ACH-000035,-0.8533854877070037
ACH-000036,-0.6771554000513674
ACH-000037,-0.8681039094081229
ACH-000039,-0.7232416906484133
ACH-000040,-0.5311815135427137
ACH-000041,-0.8726725132853508
ACH-000042,-0.5990446600514616
ACH-000045,0.18489467624187125
ACH-000047,-0.582290900517004
ACH-000052,-0.7096687700760067
ACH-000053,-0.5946013775162803
ACH-000054,-0.6371290292499273
ACH-000055,-0.69022544869158
ACH-000060,-0.6640234257357134
ACH-000067,-0.7093093094398385
ACH-000070,-0.567139388914596
ACH-000075,-0.5128398428589934
ACH-000078,-0.5701713145891091
ACH-000082,-0.5542160533493219
ACH-000085,-0.6925421180021665
ACH-000086,-0.4992927851362796
ACH-000087,-1.0512721423627558
ACH-000092,-0.7661544103649222
ACH-000095,-0.6626849404005054
ACH-000097,-0.9412732064301876
ACH-000098,-0.5097013244193879
ACH-000099,-0.7421924462888536
ACH-000108,-0.4702938162838232
ACH-000113,-0.41714387254428414
ACH-000116,-0.5692446422501874
ACH-000118,-0.5334207821797463
ACH-000120,-0.6111927987469661
ACH-000123,-0.6928169062890462
ACH-000127,-0.5248123336647057
ACH-000128,-0.6011331015500346
ACH-000132,-0.73788861846006
ACH-000133,-0.8182040011393777
ACH-000137,-0.5674237943680897
ACH-000138,-0.367734633717568
ACH-000142,-0.5728237712798561
ACH-000143,-0.7582972085176141
ACH-000146,0.02278105938822012
ACH-000148,-0.8752504812234542
ACH-000150,-0.6116420987232501
ACH-000152,-0.7664324391027583
ACH-000153,-0.7814406935650824
ACH-000159,-0.5016398207843433
ACH-000160,-0.5916890021077269
ACH-000163,-0.5601247244637174
ACH-000167,-0.3229510908443016
ACH-000168,-0.34547277006393096
ACH-000169,-0.7458983443430823
ACH-000178,-0.5832451695562733
ACH-000183,-0.25427724405304425
ACH-000188,-0.921449998063532
ACH-000189,-0.6308525841837376
ACH-000190,-0.6596437080480875
ACH-000198,-0.6127935112154208
ACH-000203,-0.7299328221385436
ACH-000204,-0.6126501215812549
ACH-000206,-0.6374263537789735
ACH-000207,-0.5392563288325775
ACH-000208,-0.5816596366232888
ACH-000210,-0.7732940946346311
ACH-000211,-0.8092471291580353
ACH-000215,-0.5245204086659118
ACH-000221,-0.5139371466491839
ACH-000222,-0.7544365477125856
ACH-000223,-0.8491947696277515
ACH-000226,-0.5181062295627553
ACH-000227,-0.6742561785394299
ACH-000228,-0.641530178005464
ACH-000231,-0.6096329167023796
ACH-000232,-0.6200259948978762
ACH-000233,-0.4951176545073989
ACH-000234,-0.7006709334426598
ACH-000235,-0.5125157374716613
ACH-000237,-0.8831709331889087
ACH-000238,-0.6212239890079635
ACH-000242,-0.5989762664843352
ACH-000243,-0.6023197509286924
ACH-000244,-0.7594248352362144
ACH-000246,-0.8055624245610388
ACH-000248,-0.9346433137296912
ACH-000250,-0.5634275200969218
ACH-000251,-0.7321292060866278
ACH-000252,-0.8529538393297127
ACH-000253,-0.5983783403225861
ACH-000255,-0.3232427912004126
ACH-000256,-0.7040381560131426
ACH-000257,-0.9296781936217596
ACH-000258,-0.8523043141905754
ACH-000259,-0.6866775349398112
ACH-000260,-0.7361262226738621
ACH-000261,-0.7381445353148957
ACH-000262,-0.5527569662676692
