,CDK12 (51755)
ACH-000004,-0.20689811588127865
ACH-000005,-0.16875156280414902
ACH-000007,-0.3925188080931553
ACH-000009,-0.37919922649599386
ACH-000011,-0.2563784508442171
ACH-000012,-0.3869312581499394
ACH-000013,-0.6207950885132487
ACH-000014,-0.2966007381071118
ACH-000015,-0.15914359459351415
ACH-000017,-0.46206939698537797
ACH-000018,-0.19020046097857535
ACH-000019,-0.5215167791402899
ACH-000021,-0.2756553470290149
ACH-000022,-0.2920018304260788
ACH-000025,-0.29059542795542564
ACH-000028,-0.4726247529654239
ACH-000030,-0.30929795424921
ACH-000035,-0.40978801083951005
ACH-000036,-0.4376119957235424
ACH-000037,-0.5569386043879725
ACH-000039,-0.4638069987537696
ACH-000040,-0.2970908183170138
ACH-000041,-0.20788280922924385
ACH-000042,-0.1858631202381772
ACH-000045,-0.09986818301645076
ACH-000047,-0.4651157809716286
ACH-000052,-0.4200614445480049
ACH-000053,-0.29504249066426114
ACH-000054,-0.18627952720637267
ACH-000055,-0.19629418459089654
ACH-000060,-0.4913133204108723
ACH-000067,-0.14073166454447458
ACH-000070,-0.4651108828850374
ACH-000075,-0.2466042791302889
ACH-000078,-0.4236338827711283
ACH-000082,-0.26665242226775826
ACH-000085,-0.20077658923131486
ACH-000086,-0.5607043644891028
ACH-000087,-0.6991795332840508
ACH-000092,-0.12954459257219034
ACH-000095,-0.2790412396367737
ACH-000097,-0.4104525777015172
ACH-000098,-0.057065691724109885
ACH-000099,-0.42223420910726417
ACH-000108,-0.2815806301440863
ACH-000113,-0.15808327955866885
ACH-000116,-0.5307903174319676
ACH-000118,-0.3509881811315788
ACH-000120,-0.2178328004326964
ACH-000123,-0.33260872759411
ACH-000127,0.007234469725952014
ACH-000128,-0.3650346972948159
ACH-000132,-0.26617157278605824
ACH-000133,-0.340556966952462
ACH-000137,-0.5298123298640941
ACH-000138,-0.2753472301374717
ACH-000142,-0.3590358933788634
ACH-000143,-0.5199129644621878
ACH-000146,-0.0072861359211175815
ACH-000148,-0.3650275589135477
ACH-000150,-0.14674867590960178
ACH-000152,-0.6642734919552891
ACH-000153,-0.611688654479741
ACH-000159,-0.4532722118437728
ACH-000160,-0.07248710256904355
ACH-000163,-0.18501335372949212
ACH-000167,-0.062493881420361386
ACH-000168,-0.4113417001835112
ACH-000169,-0.3481160935455996
ACH-000178,-0.3288209935332839
ACH-000183,-0.36280967382769536
ACH-000188,-0.5285893097886141
ACH-000189,-0.3833000864380088
ACH-000190,-0.09484069864023773
ACH-000198,-0.4865103768165109
ACH-000203,-0.07437156475345315
ACH-000204,-0.4101572253528553
ACH-000206,-0.2290978446229009
ACH-000207,-0.13705190709734913
ACH-000208,-0.5797786714069337
ACH-000210,-0.555932735512794
ACH-000211,-0.465548398892547
ACH-000215,-0.15001001186623508
ACH-000221,-0.6127204872293244
ACH-000222,-0.2332738213127883
ACH-000223,-0.4164291837994695
ACH-000226,-0.2604936588297264
ACH-000227,0.07251099939965648
ACH-000228,-0.34238163578450753
ACH-000231,-0.30069595765721696
ACH-000232,-0.2627391290362716
ACH-000233,-0.3087843239690202
ACH-000234,-0.4842017250722664
ACH-000235,-0.2563613010717985
ACH-000237,-0.4968022858986529
ACH-000238,-0.5923899035968112
ACH-000242,-0.4235226765555751
ACH-000243,-0.4702630317989226
ACH-000244,-0.7696777437382163
ACH-000246,-0.39947048272686064
ACH-000248,-0.1688459882030055
ACH-000250,-0.20951931802025606
ACH-000251,-0.09798169199306067
ACH-000252,-0.5442529733298624
ACH-000253,-0.3194127292150711
ACH-000255,-0.519192257871305
ACH-000256,-0.14691860252466216
ACH-000257,0.03453331693555972
ACH-000258,-0.03343671583080988
ACH-000259,-0.43986610712857743
ACH-000260,-0.32658638606207296
ACH-000261,-0.4166004139856152
ACH-000262,-0.5801490806750786
ACH-000263,0.1902810491230556
ACH-000264,-0.37952513917888814
ACH-000265,-0.3513566592157557
ACH-000266,-0.3971364369247847
ACH-000272,-0.3670678629245113
ACH-000274,-0.17372593240865394
ACH-000277,-0.33998758735307466
ACH-000278,-0.4610971955159003
ACH-000279,-0.20984045010228292
ACH-000280,-0.53072009699957
ACH-000281,-0.36107371980482206
ACH-000288,-0.2036155940344357
ACH-000291,-0.2892381416292669
ACH-000293,-0.7678358213870305
ACH-000294,-0.12493153495072433
ACH-000295,-0.318181899394956
ACH-000296,-0.27782041764714605
ACH-000302,-0.5656694303929256
ACH-000304,-0.4344972722642177
ACH-000307,-0.3170193015355333
ACH-000308,-0.17950317517967007
ACH-000310,-0.2867204748737701
ACH-000311,-0.25587099736743496
ACH-000312,-0.17225954980849106
ACH-000315,-0.20235360281855672
ACH-000316,-0.5197891631271196
ACH-000317,-0.4858790386148328
ACH-000318,-0.3993591227277201
ACH-000319,-0.6252827431036689
ACH-000320,0.016961437759494494
ACH-000322,-0.43757661791141533
ACH-000323,-0.3821277208798472
ACH-000324,-0.5684374425982052
ACH-000329,-0.2088072643995311
ACH-000330,-0.3132239803965656
ACH-000331,-0.3673773592762705
ACH-000332,-0.24577572309427814
ACH-000334,-0.11678745443108901
ACH-000335,-0.6615524968397867
