,ODF4 (146852)
ACH-000004,0.05088814088900182
ACH-000005,-0.08317019704673441
ACH-000007,0.007329378440125185
ACH-000009,-0.22894104450831965
ACH-000011,-0.028989355574296063
ACH-000012,-0.050517689218500784
ACH-000013,-0.10904173676890697
ACH-000014,-0.10669066269783277
ACH-000015,-0.15008912137038627
ACH-000017,-0.17181230193865712
ACH-000018,-0.1535273405428683
ACH-000019,-0.06284153832443194
ACH-000021,0.01367293214063407
ACH-000022,-0.1081216265391842
ACH-000025,-0.013544860368941829
ACH-000028,-0.044038510504077234
ACH-000030,-0.11896638189415135
ACH-000035,-0.10124947753004072
ACH-000036,-0.106279901386313
ACH-000037,-0.19615967235024576
ACH-000039,-0.027740092673874527
ACH-000040,-0.09991997633245844
ACH-000041,-0.12922624409703554
ACH-000042,-0.15750968178748534
ACH-000045,-0.08081847933041668
ACH-000047,-0.1337911403479125
ACH-000052,-0.20468784180238567
ACH-000053,0.037666569293023706
ACH-000054,-0.025847393707688848
ACH-000055,-0.22116797685487372
ACH-000060,-0.0510884814159918
ACH-000067,-0.22205356493587464
ACH-000070,-0.1726110053024715
ACH-000075,-0.0031639736668394244
ACH-000078,-0.2253956219173185
ACH-000082,-0.205826956296138
ACH-000085,-0.09946343847349023
ACH-000086,0.08146149084752341
ACH-000087,-0.3853753295118005
ACH-000092,0.021250165804252562
ACH-000095,-0.12285168524302495
ACH-000097,-0.10911194632954772
ACH-000098,-0.10441925782012396
ACH-000099,-0.14541371653851262
ACH-000108,-0.15595661136522682
ACH-000113,-0.09774638105706487
ACH-000116,-0.16976571884039054
ACH-000118,-0.07540201964238433
ACH-000120,0.05769505176932652
ACH-000123,-0.1880687350448977
ACH-000127,-0.055814999872332786
ACH-000128,-0.11540888868329872
ACH-000132,-0.1731472966136619
ACH-000133,-0.13962936262981795
ACH-000137,-0.1478154267911495
ACH-000138,-0.03540335336736655
ACH-000142,-0.14445208052252995
ACH-000143,0.049755813750386235
ACH-000146,-0.011438409673977952
ACH-000148,-0.19717587895326888
ACH-000150,0.008657622348324377
ACH-000152,-0.07048435914557068
ACH-000153,-0.09515559331630304
ACH-000159,-0.0606863866459184
ACH-000160,-0.11504080005120987
ACH-000163,-0.07292217065800757
ACH-000167,-0.4078716557941385
ACH-000168,-0.003025524995534884
ACH-000169,-0.09026560184723867
ACH-000178,-0.029678765610785755
ACH-000183,-0.0020125355069672024
ACH-000188,-0.12496391986147334
ACH-000189,-0.1545693258513482
ACH-000190,-0.08500506880686852
ACH-000198,-0.05249884617812817
ACH-000203,0.6752990501339659
ACH-000204,-0.339016479463256
ACH-000206,0.08348441128241824
ACH-000207,-0.12732942064067249
ACH-000208,-0.4396083856516072
ACH-000210,-0.09197139272092948
ACH-000211,0.051487046056840284
ACH-000215,-0.048838062440740376
ACH-000221,-0.193780543991024
ACH-000222,0.03824404684186704
ACH-000223,-0.10954683845801276
ACH-000226,-0.052078075636223256
ACH-000227,-0.18899285572387234
ACH-000228,-0.05306025741868617
ACH-000231,-0.1622501947920912
ACH-000232,0.03777860076019199
ACH-000233,-0.06487156914970657
ACH-000234,-0.2590251199361735
ACH-000235,-0.0181102677752668
ACH-000237,-0.06541142502545677
ACH-000238,-0.11573958101731628
ACH-000242,-0.15932406442634045
ACH-000243,-0.03857415732060331
ACH-000244,-0.04326955870230559
ACH-000246,-0.21536176025396173
ACH-000248,-0.034705540394958566
ACH-000250,-0.11797586645588524
ACH-000251,0.08308390228075196
ACH-000252,-0.3963778657689597
ACH-000253,-0.20394783708939904
ACH-000255,0.1026876131063518
ACH-000256,-0.2728089664131267
ACH-000257,-0.05898347802416681
ACH-000258,-0.08454802215408927
ACH-000259,-0.08214479585986509
ACH-000260,-0.046160302573594165
ACH-000261,-0.07928965401972404
ACH-000262,-0.07342154404389506
ACH-000263,-0.08473516843661781
ACH-000264,-0.12071499092371285
ACH-000265,-0.06816536467897097
ACH-000266,-0.0934148989486767
ACH-000272,-0.06627921204884536
ACH-000274,-0.10316884096729312
ACH-000277,-0.13614963501561594
ACH-000278,-0.21179296789170998
ACH-000279,-0.13286695360787454
ACH-000280,-0.0118144259351457
ACH-000281,-0.16820182392358754
ACH-000288,-0.2900514146136404
ACH-000291,-0.041173747228086616
ACH-000293,-0.25308300316623394
ACH-000294,-0.25860860131728824
ACH-000295,-0.3022363986856177
ACH-000296,-0.3875419686075394
ACH-000302,-0.21011190045757025
ACH-000304,0.0160697866253695
ACH-000307,-0.008456467615717844
ACH-000308,-0.016232162494468762
ACH-000310,0.13360245065091936
ACH-000311,-0.03086628256327925
ACH-000312,-0.027879013204577224
ACH-000315,0.07757840457008149
ACH-000316,-0.12667741541490868
ACH-000317,-0.003267911900083725
ACH-000318,-0.11075419849684304
ACH-000319,-0.1895458770704493
ACH-000320,-0.09853545948042784
ACH-000322,-0.1988615373337983
ACH-000323,-0.1811940756698232
ACH-000324,-0.02012409158466659
ACH-000329,-0.07351370723097699
ACH-000330,-0.09588951366458652
ACH-000331,-0.23911657484123536
ACH-000332,-0.048161968447334384
ACH-000334,-0.2957104014047832
ACH-000335,-0.06871208913028545
ACH-000336,0.004596146669783
ACH-000337,-0.03069499612100825
ACH-000338,0.21115460380866774
ACH-000339,-0.09975878749852296
ACH-000341,-0.06672773841135335
ACH-000348,-0.21980301903014968
ACH-000350,-0.15699643136373467
ACH-000352,-0.2161805444921328
ACH-000356,-0.1387852750351107
ACH-000361,-0.10932189428965414
ACH-000362,-0.1247263536752249
ACH-000363,-0.032349446744122844
ACH-000364,-0.2081928844615797
ACH-000365,-0.018017670608369063
ACH-000366,-0.08911883018552981
ACH-000368,-0.11564897957848905
ACH-000374,-0.009018571337920635
ACH-000375,-0.22474060574081925
ACH-000376,-0.09774389149916386
ACH-000381,-0.15185504869412667
ACH-000383,-0.06108272197129337
ACH-000387,-0.13239364092230574
ACH-000389,-0.267097301204644
ACH-000390,-0.09218526826854467
ACH-000393,-0.023806603254214784
ACH-000395,-0.09715998114077676
ACH-000396,-0.05568630343658966
ACH-000397,-0.011917008547274986
ACH-000401,0.0689690633924908
ACH-000402,0.2172754111083276
ACH-000403,-0.19334268464467516
ACH-000404,0.03565756651652146
ACH-000406,-0.09171171017253403
ACH-000407,-0.15243135706898067
ACH-000408,-0.14302538719517865
ACH-000410,-0.09846076259495568
ACH-000411,-0.09131537914305933
ACH-000414,-0.028247612103816662
ACH-000415,-0.035575044063207766
ACH-000416,-0.1659046483629327
ACH-000420,-0.19041863188704067
ACH-000421,-0.14850110273042813
ACH-000424,0.007494000172863013
ACH-000425,-0.05980277017514686
ACH-000426,-0.08088860250153246
ACH-000427,-0.08492246105425284
ACH-000433,-0.12249006559870408
ACH-000435,-0.301169377724639
ACH-000436,0.20740878877499372
ACH-000444,-0.040171633769342484
ACH-000445,-0.5029580771232182
ACH-000448,-0.2114001697884103
ACH-000450,-0.05174518628255145
ACH-000452,-0.13870709868245787
ACH-000454,-0.3252786306725254
ACH-000458,-0.32172338980449144
ACH-000459,-0.1923632096795435
ACH-000460,-0.17334914583855582
ACH-000461,-0.019864584619347803
ACH-000463,-0.07044141044080825
ACH-000464,-0.11898640322523266
ACH-000466,-0.0666207572107899
ACH-000467,-0.08322478335692123
ACH-000468,-0.07564281194743791
ACH-000469,-0.09494256930344226
ACH-000470,-0.17601475385131912
ACH-000471,-0.08009838643421238
ACH-000472,-0.07528021154575766
ACH-000473,-0.054698297186660035
ACH-000475,-0.07711289013127128
ACH-000476,-0.1862023901628066
ACH-000477,-0.21079424216571868
ACH-000479,0.01389167535335707
ACH-000480,0.018723555778285137
ACH-000481,-0.08450971542365178
ACH-000483,-0.22445840202901535
ACH-000484,-0.3719151172413706
ACH-000485,-0.09811900841419358
ACH-000486,-0.13403081680898676
ACH-000487,-0.12058831359734865
ACH-000488,-0.17374348185535238
ACH-000490,0.07803737689825208
ACH-000491,-0.11762325169143027
ACH-000495,0.13327058400557226
ACH-000496,-0.19950361970211186
ACH-000499,0.2872059609575269
ACH-000500,0.02725227760617937
ACH-000502,-0.11802688955454847
ACH-000503,0.0716325449256401
ACH-000505,-0.09143180250450347
ACH-000507,-0.10124739370069363
ACH-000510,-0.07824023002910513
ACH-000511,-0.1037260740713755
ACH-000512,0.018008140315958904
ACH-000516,-0.049950953935273004
ACH-000517,-0.06987003619842527
ACH-000518,-0.17007557075044388
ACH-000520,-0.13101961968178966
ACH-000521,-0.05209194027503502
ACH-000522,-0.0375286007013593
ACH-000524,-0.12555974537441092
ACH-000527,-0.1939055868808585
ACH-000528,-0.08367803245323373
ACH-000537,-0.182805394663814
ACH-000541,-0.18712367040254613
ACH-000542,-0.08023704643535785
ACH-000544,-0.24872580057613586
