,EMX1 (2016)
ACH-000004,-0.12377476228010055
ACH-000005,-0.16022661464625645
ACH-000007,-0.020245109333734083
ACH-000009,-0.1094712259069052
ACH-000011,0.015149341601669888
ACH-000012,-0.05738912195770698
ACH-000013,-0.06531588279331549
ACH-000014,-0.07480574882455081
ACH-000015,-0.11790597374265735
ACH-000017,-0.00886821417606732
ACH-000018,-0.37087469823637936
ACH-000019,-0.16756384943487695
ACH-000021,-0.2373401908916243
ACH-000022,0.004522189813978088
ACH-000025,-0.05714148605402052
ACH-000028,-0.33435073871646365
ACH-000030,-0.18987946442375672
ACH-000035,-0.0320187526653807
ACH-000036,-0.14395977938442248
ACH-000037,-0.2611463211985345
ACH-000039,-0.10937634942608968
ACH-000040,0.03343927329974973
ACH-000041,0.02219139901873153
ACH-000042,-0.07883988286042759
ACH-000045,-0.03203978158702004
ACH-000047,-0.011695695506150369
ACH-000052,-0.16464933183260996
ACH-000053,-0.08477525742993937
ACH-000054,-0.00029935415200998185
ACH-000055,-0.04144077964296096
ACH-000060,-0.0996003542206061
ACH-000067,-0.06968763353105288
ACH-000070,-0.17974479222148282
ACH-000075,-0.4141850584138408
ACH-000078,0.08558264109198795
ACH-000082,0.019343898215303374
ACH-000085,-0.027225862317998124
ACH-000086,0.03377372226622225
ACH-000087,-0.04954131911065005
ACH-000092,-0.05779258498768217
ACH-000095,-0.11838950789485853
ACH-000097,-0.14988277028055955
ACH-000098,-0.053254657572882086
ACH-000099,0.02872933274011433
ACH-000108,-0.13840662004030688
ACH-000113,-0.10571213416882384
ACH-000116,-0.21550357535167475
ACH-000118,-0.1750148763986378
ACH-000120,-0.17521035758605247
ACH-000123,-0.09145241874085
ACH-000127,-0.19791626536384374
ACH-000128,-0.3405468087976407
ACH-000132,-0.18039097747506824
ACH-000133,-0.17437277944637164
ACH-000137,-0.1910571752772294
ACH-000138,0.0770949465656002
ACH-000142,-0.14855462471801184
ACH-000143,0.08190719034036463
ACH-000146,0.008812228047552322
ACH-000148,-0.05735882611531781
ACH-000150,0.04497931412187018
ACH-000152,-0.15770597599390884
ACH-000153,-0.17370102671673476
ACH-000159,-0.14866542767429222
ACH-000160,-0.048966252572478684
ACH-000163,-0.10776011346059357
ACH-000167,-0.14288663997504442
ACH-000168,-0.0697820347521096
ACH-000169,-0.11250651271229163
ACH-000178,-0.11013072773126373
ACH-000183,-0.17596916444258726
ACH-000188,-0.034724847123746086
ACH-000189,0.20365841636777945
ACH-000190,-0.033713381923378784
ACH-000198,-0.17904645834106656
ACH-000203,-0.19083600906272524
ACH-000204,-0.2041351564751008
ACH-000206,-0.3034618570838163
ACH-000207,-0.0714154137966578
ACH-000208,-0.2965802237083561
ACH-000210,-0.15550000542086484
ACH-000211,-0.1285742627897539
ACH-000215,-0.08296583113270216
ACH-000221,-0.25089284622879665
ACH-000222,-0.12235500472080847
ACH-000223,-0.10673000577112994
ACH-000226,-0.24604415534332064
