,TFB2M (64216)
ACH-000004,-0.5895971929733027
ACH-000005,-0.5276865771119944
ACH-000007,-0.5789231374491751
ACH-000009,-0.6932298457347388
ACH-000011,-0.3242732645838425
ACH-000012,-0.7330777582793156
ACH-000013,-0.5967945898465927
ACH-000014,-0.4220156030910153
ACH-000015,-0.6274847270182113
ACH-000017,-0.3898855461377429
ACH-000018,-1.0637564091662337
ACH-000019,-0.4010199147939947
ACH-000021,-0.549948995726933
ACH-000022,-0.6964794235437216
ACH-000025,-0.6092228208005447
ACH-000028,-0.591939638808287
ACH-000030,-0.5800547087755339
ACH-000035,-0.43404443441459606
ACH-000036,-0.2999925989798141
ACH-000037,-0.5603334380752845
ACH-000039,-0.5277810229710062
ACH-000040,-0.457351665356093
ACH-000041,-0.4389093224101322
ACH-000042,-0.4771139765406434
ACH-000045,-0.5404447896100784
ACH-000047,-0.6068143221594658
ACH-000052,-0.4229844858838349
ACH-000053,-0.382488303643648
ACH-000054,-0.5427194973333941
ACH-000055,-0.5914665515563606
ACH-000060,-0.42289727803823307
ACH-000067,-0.3261049285849971
ACH-000070,-0.5812418060529386
ACH-000075,-0.3673293109785309
ACH-000078,-0.5905944332975038
ACH-000082,-0.5535272042733654
ACH-000085,-0.4810456571806652
ACH-000086,-0.9325325978911524
ACH-000087,-0.8233949024081996
ACH-000092,-0.3689469539622571
ACH-000095,-0.2436481070986239
ACH-000097,-0.31940177552789656
ACH-000098,-0.44187586599854617
ACH-000099,-0.4764139421022308
ACH-000108,-0.4193441858008548
ACH-000113,-0.2537742797960372
ACH-000116,-0.5948831186951358
ACH-000118,-0.7935727093735674
ACH-000120,-0.4548526334454514
ACH-000123,-0.6200826689269823
ACH-000127,-0.9436807097460982
ACH-000128,-0.5526901455217733
ACH-000132,-0.4913490899803741
ACH-000133,-0.4682518315745536
ACH-000137,-0.4395517212898536
ACH-000138,-0.49176243919708795
ACH-000142,-0.4145609611788111
ACH-000143,-0.6206487929097879
ACH-000146,-0.4868129342505105
ACH-000148,-0.6176605323036659
ACH-000150,-0.8428709946535833
ACH-000152,-0.5357980018836207
ACH-000153,-0.7289509742626133
ACH-000159,-0.4875987327646301
ACH-000160,-0.6668668714851549
ACH-000163,-0.6224521734848306
ACH-000167,-0.4693314856370821
ACH-000168,-0.4094408020991306
ACH-000169,-0.6178770468062378
ACH-000178,-0.6757402597982078
ACH-000183,-0.4958366371899924
ACH-000188,-0.4709432069873162
ACH-000189,-0.7472929513918629
ACH-000190,-0.7364076991225316
ACH-000198,-0.48436568310929706
ACH-000203,-0.24889601138723064
ACH-000204,-0.663506991728408
ACH-000206,-0.4967849086571122
ACH-000207,-0.605876310217848
ACH-000208,-0.4537783334858986
ACH-000210,-0.6212869808115962
ACH-000211,-0.5124905119191381
ACH-000215,-0.6632514989579195
ACH-000221,-1.0626045517025795
ACH-000222,-0.6311374796003643
ACH-000223,-0.6662190768470008
ACH-000226,-0.41919947067119373
ACH-000227,-0.6215678261132168
ACH-000228,-0.5785416021406292
ACH-000231,-0.6081945795530678
ACH-000232,-0.6898469773231913
ACH-000233,-0.4091770944869616
ACH-000234,-0.4950504606881712
ACH-000235,-0.5002918882463611
ACH-000237,-0.3717938901787054
ACH-000238,-0.4977335130210058
ACH-000242,-0.8156048998171782
ACH-000243,-0.3811259609416094
ACH-000244,-0.3254671774013801
ACH-000246,-0.5799838147892927
ACH-000248,-0.5861879429392779
ACH-000250,-0.3338120280410948
ACH-000251,-0.5564750997347558
ACH-000252,-0.6083550289534131
ACH-000253,-0.33931926657423084
ACH-000255,-0.4598138789993474
ACH-000256,-0.5811173933131862
ACH-000257,-0.5705537466938712
ACH-000258,-0.5432961770299221
ACH-000259,-0.7458178105972697
ACH-000260,-0.3360476900616617
ACH-000261,-0.4769022079006977
ACH-000262,-0.4363533762848944
ACH-000263,-0.6793153700182297
ACH-000264,-0.4655309593923967
ACH-000265,-0.7044959763166665
ACH-000266,-0.328594254170018
ACH-000272,-0.44363791418523824
ACH-000274,-0.4785640704121271
ACH-000277,-0.5070298332574608
ACH-000278,-0.4724312041492195
ACH-000279,-0.704736234481691
ACH-000280,-0.4601648280963154
ACH-000281,-0.6880316453525874
ACH-000288,-0.7194504955343038
ACH-000291,-0.44139437873893306
ACH-000293,-0.3547984773729377
ACH-000294,-0.3069018628314349
ACH-000295,-0.4730013068052631
ACH-000296,-0.7685243168276745
ACH-000302,-0.3650263165396844
ACH-000304,-0.6165839452366308
ACH-000307,-0.6332794265245816
ACH-000308,-0.4909997708161098
ACH-000310,-0.4905456428868648
ACH-000311,-0.301730867772849
ACH-000312,-0.7321225913674482
ACH-000315,-0.14964817131610095
ACH-000316,-0.4905989957618676
ACH-000317,-1.0035137383764448
ACH-000318,-0.4953884232665267
ACH-000319,-0.3273688579240337
ACH-000320,-0.7087819218641496
ACH-000322,-0.3794918511027192
ACH-000323,-0.5510819819681257
ACH-000324,-0.5452368637746534
ACH-000329,-0.6105782723641071
ACH-000330,-0.2965059646401468
ACH-000331,-0.5300310643489822
ACH-000332,-0.28280197649980504
ACH-000334,-0.4087304811641846
ACH-000335,-0.834620197315912
ACH-000336,-0.4579135418157168
ACH-000337,-0.7184329388402232
ACH-000338,-0.4152739143585844
ACH-000339,-0.4658087067506211
ACH-000341,-0.7466125275327817
ACH-000348,-0.5722732887861204
ACH-000350,-0.5148336854798018
ACH-000352,-0.42911094872749705
ACH-000356,-0.6834222986316681
ACH-000361,-0.43656985670794224
ACH-000362,-0.4521060634324141
ACH-000363,-0.6018246905699649
ACH-000364,-0.32446567348164684
ACH-000365,-0.719757678342555
ACH-000366,-0.4634107513193954
ACH-000368,-0.5208308271302393
ACH-000374,-0.6831274212249432
ACH-000375,-0.7239241055980222
ACH-000376,-0.7410920484369956
ACH-000381,-0.6892690380464944
ACH-000383,-0.5603769453463068
ACH-000387,-0.498211743968539
ACH-000389,-0.30836012064068496
ACH-000390,-0.4821040828793743
ACH-000393,-0.42964590126940705
ACH-000395,-0.37887751608394105
ACH-000396,-0.6424088080729957
ACH-000397,-0.364715898717894
ACH-000401,-0.1447436858185645
ACH-000402,-0.2999287423323033
ACH-000403,-0.4315751287212556
ACH-000404,-0.2602934767769221
ACH-000406,-0.496048830945649
ACH-000407,-0.6325805560812814
ACH-000408,-0.6161049001634963
ACH-000410,-0.6448351442231355
ACH-000411,-0.498358743171146
ACH-000414,-0.3754268613908036
ACH-000415,-0.4851127238410125
ACH-000416,-0.2125936563124549
ACH-000420,-0.5945873358579727
ACH-000421,-0.5058046418283969
ACH-000424,-0.4535836679932669
ACH-000425,-0.30893437396976825
ACH-000426,-0.4111030887637081
ACH-000427,-0.566923895682296
ACH-000433,-0.3806406696827987
