,MRPS18B (28973)
ACH-000004,-0.451135092876601
ACH-000005,-0.3184259137463042
ACH-000007,-0.7074265942385607
ACH-000009,-0.4201744412900126
ACH-000011,-0.3689739711625098
ACH-000012,-0.7489429328113317
ACH-000013,-0.7138186001014732
ACH-000014,-0.4434841778273385
ACH-000015,-0.6239269960564034
ACH-000017,-0.05634626853283825
ACH-000018,-0.7801061069966904
ACH-000019,-0.7316433168616889
ACH-000021,-0.3697196230484521
ACH-000022,-0.5572084500509267
ACH-000025,-0.4228127897373937
ACH-000028,-0.6578436574730304
ACH-000030,-0.4720573524781356
ACH-000035,-0.7717492967124964
ACH-000036,-0.2515497103111805
ACH-000037,-0.42421245281655295
ACH-000039,-0.4288716935999442
ACH-000040,-0.22459580276453375
ACH-000041,-0.4312312805855428
ACH-000042,-0.494592700273875
ACH-000045,-0.6598380365631289
ACH-000047,-0.5347854330705207
ACH-000052,-0.4107292028922173
ACH-000053,-0.4826701825763031
ACH-000054,-0.5107646551491382
ACH-000055,-0.5784858222444449
ACH-000060,-0.4155618735716101
ACH-000067,-0.506407157566276
ACH-000070,-0.6202795612446931
ACH-000075,-0.3740596789908964
ACH-000078,-0.4925943586150249
ACH-000082,-0.4876544492180305
ACH-000085,-0.4905715166866854
ACH-000086,-0.6068191036269629
ACH-000087,-0.7787434684180363
ACH-000092,-0.4126582697273786
ACH-000095,-0.255577855954182
ACH-000097,-0.5444851495410964
ACH-000098,-0.4570025878014511
ACH-000099,-0.3593448255612561
ACH-000108,-0.4412806929087673
ACH-000113,-0.3065321327700027
ACH-000116,-0.6686282857374762
ACH-000118,-0.6318851301173944
ACH-000120,-0.4169218515190178
ACH-000123,-0.4845619369570765
ACH-000127,-0.5602609572149032
ACH-000128,-0.3964644992262126
ACH-000132,-0.5250945267927443
ACH-000133,-0.4718954364066174
ACH-000137,-0.4064298931088125
ACH-000138,-0.4761568619254899
ACH-000142,-0.3335565165537656
ACH-000143,-0.5872214319928214
ACH-000146,-0.7684662748380798
ACH-000148,-0.4679517070612944
ACH-000150,-0.622870220558644
ACH-000152,-0.4547180635841884
ACH-000153,-0.8198280483865669
ACH-000159,-0.4897301053515236
ACH-000160,-0.6817232105366777
ACH-000163,-0.5765914382650617
ACH-000167,-0.6349651502012315
ACH-000168,-0.2695454996505037
ACH-000169,-0.5278562297778194
ACH-000178,-0.6309475535762813
ACH-000183,-0.34142509791617515
ACH-000188,-0.5084639536115231
ACH-000189,-0.6737317385447715
ACH-000190,-0.8564667968109
ACH-000198,-0.31121553781984257
ACH-000203,-0.0969965523929561
ACH-000204,-0.36517161425428013
ACH-000206,-0.6249124050658718
ACH-000207,-0.6721367587845201
ACH-000208,-0.5141188103243605
ACH-000210,-0.8201147081459407
ACH-000211,-0.4077289751136732
ACH-000215,-0.4648300867549325
ACH-000221,-0.5974319941583084
ACH-000222,-0.5857314320930851
ACH-000223,-0.5420414686836504
ACH-000226,-0.6457301105685331
ACH-000227,-0.3544170615041505
ACH-000228,-0.6126671993693853
ACH-000231,-0.477717046368584
ACH-000232,-0.4643536281309271
ACH-000233,-0.472132159453423
ACH-000234,-0.4116534664486948
ACH-000235,-0.5095818658168649
ACH-000237,-0.2795894563806754
ACH-000238,-0.6369459999531124
ACH-000242,-0.32723174814844586
ACH-000243,-0.4629676698856438
ACH-000244,-0.3303204548207185
ACH-000246,-0.5501815341394584
ACH-000248,-0.5723356173197486
ACH-000250,-0.3407803515604359
ACH-000251,-0.3878139865841397
ACH-000252,-0.645295503629052
ACH-000253,-0.4063427818650428
ACH-000255,-0.5106536030186865
ACH-000256,-0.5183129653846464
ACH-000257,-0.3980372977346061
ACH-000258,-0.2287416849718089
ACH-000259,-0.7229664418663135
ACH-000260,-0.4356852439110397
ACH-000261,-0.43862334582831175
ACH-000262,-0.42300142068104063
ACH-000263,-0.3780838035768245
ACH-000264,-0.4567722967678496
ACH-000265,-0.6350331265086846
ACH-000266,-0.4183142830941085
ACH-000272,-0.4045250294606285
ACH-000274,-0.3891122637850116
ACH-000277,-0.5944693721684589
ACH-000278,-0.22516543803570932
ACH-000279,-0.5169257647927894
